timestamp,ltz1000-p17-back-in-town
1514446589.306,7071176.1
1514446592.659,7071174.4
1514446596.010,7071175.6
1514446599.363,7071176.9
1514446602.714,7071174.4
1514446606.067,7071176.4
1514446609.419,7071173.3
1514446612.771,7071174.9
1514446616.124,7071174.1
1514446619.475,7071173.9
1514446622.828,7071175.9
1514446626.179,7071175.4
1514446629.532,7071173.3
1514446632.883,7071172.3
1514446636.236,7071169.8
1514446639.588,7071169.5
1514446642.940,7071169.5
1514446646.292,7071172.1
1514446649.644,7071171.3
1514446652.996,7071170.6
1514446656.349,7071171.6
1514446659.916,7071172.3
1514446663.053,7071172.1
1514446666.405,7071172.6
1514446669.757,7071170.8
1514446673.109,7071170.8
1514446676.461,7071171.6
1514446679.814,7071171.3
1514446683.165,7071171.3
1514446686.518,7071172.1
1514446689.870,7071170.6
1514446693.221,7071172.1
1514446696.574,7071170.8
1514446699.925,7071171.8
1514446703.278,7071173.3
1514446706.630,7071174.9
1514446709.982,7071173.1
1514446713.334,7071173.6
1514446716.687,7071172.1
1514446720.038,7071173.1
1514446723.391,7071170.8
1514446726.742,7071173.3
1514446730.094,7071172.8
1514446733.447,7071172.3
1514446736.799,7071172.1
1514446740.151,7071171.3
1514446743.503,7071171.6
1514446746.855,7071170.6
1514446750.207,7071172.1
1514446753.559,7071171.1
1514446756.911,7071172.1
1514446760.263,7071170.8
1514446763.616,7071170.0
1514446766.968,7071175.9
1514446770.320,7071176.4
1514446773.672,7071177.4
1514446777.024,7071176.1
1514446780.377,7071174.6
1514446783.728,7071173.1
1514446787.080,7071175.6
1514446790.433,7071177.1
1514446793.785,7071177.1
1514446797.136,7071176.9
1514446800.489,7071178.4
1514446803.841,7071177.4
1514446807.193,7071177.7
1514446810.545,7071176.6
1514446813.897,7071175.9
1514446817.250,7071175.9
1514446820.602,7071175.9
1514446823.953,7071175.6
1514446827.306,7071177.9
1514446830.658,7071178.4
1514446834.010,7071175.9
1514446837.362,7071173.9
1514446840.714,7071170.6
1514446844.067,7071172.3
1514446847.418,7071173.9
1514446850.771,7071174.1
1514446854.233,7071174.4
1514446857.475,7071175.9
1514446860.827,7071176.4
1514446864.179,7071174.6
1514446867.531,7071175.1
1514446870.883,7071175.1
1514446874.236,7071174.9
1514446877.587,7071176.1
1514446880.940,7071173.9
1514446884.291,7071174.9
1514446887.644,7071175.6
1514446890.995,7071175.1
1514446894.348,7071174.4
1514446897.700,7071175.9
1514446901.052,7071174.9
1514446904.405,7071174.4
1514446907.756,7071175.1
1514446911.109,7071176.4
1514446914.461,7071175.9
1514446917.813,7071175.1
1514446921.165,7071173.3
1514446924.517,7071175.4
1514446927.869,7071175.4
1514446931.221,7071175.6
1514446934.574,7071175.6
1514446937.925,7071175.6
1514446941.277,7071173.6
1514446944.630,7071172.1
1514446947.981,7071172.6
1514446951.334,7071174.1
1514446954.686,7071173.1
1514446958.038,7071173.6
1514446961.390,7071172.6
1514446964.742,7071172.1
1514446968.094,7071171.1
1514446971.446,7071174.4
1514446974.798,7071173.9
1514446978.150,7071171.1
1514446981.503,7071172.8
1514446984.855,7071170.6
1514446988.207,7071171.8
1514446991.559,7071170.8
1514446994.911,7071171.3
1514446998.263,7071171.1
1514447001.615,7071166.2
1514447004.968,7071164.7
1514447008.319,7071164.7
1514447011.672,7071164.5
1514447015.024,7071165.2
1514447018.376,7071164.0
1514447021.728,7071164.5
1514447025.081,7071165.0
1514447028.432,7071164.7
1514447031.784,7071166.8
1514447035.136,7071168.5
1514447038.489,7071168.8
1514447041.840,7071169.5
1514447045.193,7071171.6
