timestamp,value
1500155368.204,999402
1500155368.340,999405
1500155368.475,999394
1500155368.613,999406
1500155368.749,999412
1500155368.884,999411
1500155369.019,999395
1500155369.155,999412
1500155369.290,999400
1500155369.425,999404
1500155369.560,999411
1500155369.699,999390
1500155369.834,999402
1500155369.970,999414
1500155370.105,999407
1500155370.240,999404
1500155370.375,999395
1500155370.510,999395
1500155370.645,999396
1500155370.784,999398
1500155370.920,999394
1500155371.055,999406
1500155371.190,999409
1500155371.325,999419
1500155371.460,999402
1500155371.595,999408
1500155371.734,999409
1500155371.870,999407
1500155372.005,999390
1500155372.140,999421
1500155372.275,999394
1500155372.410,999405
1500155372.545,999398
1500155372.681,999396
1500155372.820,999397
1500155372.955,999391
1500155373.091,999412
1500155373.226,999396
1500155373.361,999386
1500155373.496,999400
1500155373.631,999396
1500155373.766,999399
1500155373.905,999426
1500155374.041,999405
1500155374.176,999398
1500155374.311,999405
1500155374.446,999385
1500155374.581,999406
1500155374.717,999384
1500155374.856,999405
1500155374.991,999402
1500155375.126,999403
1500155375.262,999407
1500155375.397,999405
1500155375.532,999404
1500155375.667,999384
1500155375.802,999400
1500155375.941,999401
1500155376.076,999400
1500155376.212,999407
1500155376.349,999402
1500155376.482,999414
1500155376.617,999416
1500155376.752,999386
1500155376.887,999408
1500155377.026,999394
1500155377.162,999399
1500155377.297,999387
1500155377.432,999409
1500155377.567,999399
1500155377.703,999399
1500155377.838,999404
1500155377.977,999405
1500155378.112,999398
1500155378.247,999393
1500155378.382,999406
1500155378.518,999393
1500155378.653,999392
1500155378.788,999387
1500155378.923,999406
1500155379.062,999401
1500155379.198,999405
1500155379.333,999401
1500155379.468,999407
1500155379.603,999398
1500155379.738,999394
1500155379.873,999405
1500155380.008,999405
1500155380.148,999396
1500155380.283,999400
1500155380.418,999396
1500155380.553,999392
1500155380.688,999411
1500155380.824,999410
1500155380.959,999417
1500155381.098,999401
1500155381.233,999394
1500155381.368,999399
1500155381.504,999405
1500155381.639,999406
1500155381.774,999401
1500155381.909,999397
1500155382.044,999399
1500155382.183,999407
1500155382.318,999394
1500155382.454,999412
1500155382.589,999396
1500155382.724,999393
1500155382.859,999408
1500155382.994,999410
1500155383.129,999396
1500155383.268,999390
1500155383.403,999398
1500155383.539,999407
1500155383.674,999400
1500155383.809,999394
1500155383.944,999416
1500155384.080,999396
1500155384.218,999398
1500155384.354,999408
1500155384.489,999401
1500155384.624,999396
1500155384.759,999402
1500155384.894,999397
1500155385.030,999404
1500155385.165,999386
1500155385.304,999390
1500155385.440,999410
1500155385.575,999391
1500155385.710,999400
1500155385.845,999407
1500155385.980,999405
1500155386.115,999407
1500155386.254,999385
1500155386.390,999398
1500155386.525,999392
1500155386.660,999408
1500155386.795,999408
1500155386.930,999401
1500155387.066,999406
1500155387.201,999414
1500155387.340,999401
1500155387.475,999395
1500155387.610,999393
1500155387.746,999414
1500155387.881,999392
1500155388.016,999403
1500155388.151,999396
1500155388.286,999410
1500155388.425,999399
1500155388.561,999393
1500155388.696,999407
1500155388.831,999396
1500155388.966,999395
1500155389.101,999413
1500155389.236,999411
1500155389.371,999390
1500155389.511,999395
1500155389.646,999399
1500155389.781,999401
1500155389.916,999385
1500155390.051,999405
1500155390.187,999404
1500155390.322,999410
1500155390.461,999390
1500155390.596,999401
1500155390.731,999403
1500155390.866,999403
1500155391.002,999401
1500155391.137,999398
1500155391.272,999405
1500155391.407,999405
1500155391.546,999395
1500155391.682,999386
1500155391.817,999402
1500155391.952,999402
1500155392.087,999409
1500155392.222,999400
1500155392.357,999404
1500155392.493,999393
1500155392.632,999388
1500155392.767,999413
1500155392.902,999400
1500155393.037,999392
1500155393.173,999392
1500155393.308,999408
1500155393.443,999402
1500155393.582,999397
1500155393.717,999417
1500155393.852,999409
1500155393.988,999402
1500155394.123,999403
1500155394.258,999391
1500155394.393,999405
1500155394.528,999401
1500155394.667,999400
1500155394.803,999403
1500155394.938,999393
1500155395.073,999396
1500155395.208,999405
1500155395.343,999410
1500155395.478,999405
1500155395.617,999398
1500155395.752,999393
1500155395.888,999415
1500155396.023,999397
1500155396.158,999417
1500155396.293,999399
1500155396.428,999391
1500155396.563,999394
1500155396.703,999394
1500155396.838,999388
1500155396.973,999393
1500155397.108,999401
1500155397.244,999406
1500155397.379,999404
1500155397.514,999407
1500155397.649,999404
1500155397.788,999401
1500155397.924,999404
1500155398.058,999404
1500155398.194,999391
1500155398.329,999401
1500155398.464,999389
1500155398.599,999403
1500155398.738,999401
1500155398.874,999414
1500155399.009,999408
1500155399.144,999405
1500155399.279,999394
1500155399.415,999408
1500155399.550,999397
1500155399.685,999400
