timestamp,r,humidity,temp_c
1516426463.65,80003.208,51.297,20.463
1516426467.65,80003.208,51.297,20.484
1516426470.64,80003.172,51.297,20.495
1516426473.65,80003.225,51.281,20.495
1516426477.64,80003.197,51.281,20.484
1516426480.64,80003.223,51.289,20.484
1516426483.65,80003.195,51.266,20.495
1516426487.64,80003.243,51.297,20.484
1516426490.64,80003.213,51.266,20.505
1516426494.64,80003.195,51.281,20.505
1516426497.64,80003.213,51.289,20.495
1516426500.64,80003.230,51.281,20.495
1516426504.64,80003.215,51.266,20.495
1516426507.64,80003.235,51.266,20.484
1516426510.64,80003.235,51.266,20.473
1516426514.64,80003.213,51.266,20.484
1516426517.64,80003.202,51.274,20.484
1516426520.64,80003.190,51.274,20.473
1516426524.64,80003.210,51.259,20.484
1516426527.64,80003.197,51.274,20.484
1516426530.64,80003.185,51.251,20.473
1516426534.64,80003.180,51.259,20.484
1516426537.64,80003.190,51.243,20.505
1516426540.63,80003.180,51.243,20.505
1516426544.64,80003.182,51.251,20.505
1516426547.64,80003.182,51.243,20.484
1516426551.63,80003.162,51.243,20.505
1516426554.63,80003.164,51.243,20.505
1516426557.63,80003.162,51.213,20.505
1516426561.63,80003.124,51.243,20.505
1516426564.63,80003.103,51.228,20.527
1516426567.63,80003.142,51.213,20.527
1516426571.63,80003.159,51.228,20.516
1516426574.63,80003.136,51.198,20.537
1516426577.63,80003.098,51.198,20.527
1516426581.63,80003.111,51.198,20.516
1516426584.63,80003.124,51.198,20.473
1516426587.63,80003.103,51.198,20.484
1516426591.63,80003.088,51.213,20.484
1516426594.63,80003.096,51.205,20.473
1516426597.63,80003.131,51.198,20.484
1516426601.62,80003.154,51.213,20.484
1516426604.62,80003.142,51.220,20.495
1516426608.63,80003.157,51.220,20.516
1516426611.62,80003.192,51.213,20.516
1516426614.62,80003.200,51.228,20.516
1516426618.62,80003.187,51.198,20.495
1516426621.62,80003.218,51.198,20.527
1516426624.62,80003.205,51.190,20.495
1516426628.62,80003.167,51.213,20.495
1516426631.62,80003.185,51.198,20.516
1516426634.62,80003.205,51.190,20.495
1516426638.62,80003.157,51.182,20.527
1516426641.62,80003.142,51.182,20.516
1516426644.62,80003.121,51.182,20.505
1516426648.62,80003.131,51.198,20.527
1516426651.62,80003.167,51.167,20.505
1516426654.62,80003.157,51.167,20.516
1516426658.62,80003.147,51.167,20.495
1516426661.62,80003.152,51.175,20.484
1516426665.61,80003.152,51.167,20.495
1516426668.62,80003.192,51.182,20.495
1516426671.62,80003.167,51.198,20.495
1516426675.61,80003.192,51.198,20.505
1516426678.61,80003.190,51.175,20.505
1516426681.61,80003.197,51.198,20.527
1516426685.61,80003.208,51.182,20.495
1516426688.61,80003.213,51.198,20.516
1516426691.61,80003.218,51.182,20.516
1516426695.61,80003.187,51.190,20.473
1516426698.61,80003.213,51.198,20.495
1516426701.61,80003.187,51.182,20.484
1516426705.61,80003.200,51.205,20.495
1516426708.61,80003.186,51.198,20.495
1516426711.61,80003.200,51.198,20.484
1516426715.61,80003.208,51.190,20.516
1516426718.61,80003.251,51.213,20.495
1516426722.61,80003.182,51.228,20.495
1516426725.6,80003.190,51.228,20.484
1516426728.61,80003.187,51.213,20.484
1516426732.61,80003.223,51.228,20.473
1516426735.6,80003.215,51.259,20.463
1516426738.6,80003.205,51.236,20.484
1516426742.6,80003.192,51.259,20.463
1516426745.6,80003.205,51.266,20.473
1516426748.6,80003.225,51.266,20.463
1516426752.6,80003.225,51.274,20.463
1516426755.6,80003.197,51.289,20.452
1516426758.6,80003.197,51.289,20.452
1516426762.6,80003.205,51.281,20.463
1516426765.6,80003.208,51.297,20.463
1516426768.6,80003.218,51.297,20.463
1516426772.6,80003.243,51.312,20.484
1516426775.6,80003.251,51.304,20.452
1516426779.6,80003.233,51.304,20.463
1516426782.6,80003.197,51.312,20.484
1516426785.6,80003.225,51.304,20.473
1516426789.59,80003.215,51.304,20.430
1516426792.6,80003.233,51.289,20.430
1516426795.59,80003.190,51.304,20.420
1516426799.59,80003.218,51.304,20.409
1516426802.59,80003.215,51.335,20.420
1516426805.59,80003.253,51.350,20.420
1516426809.59,80003.251,51.343,20.420
1516426812.59,80003.220,51.350,20.430
1516426815.59,80003.248,51.350,20.409
1516426819.59,80003.218,51.350,20.409
1516426822.59,80003.253,51.358,20.409
1516426825.59,80003.230,51.350,20.420
1516426829.59,80003.253,51.365,20.420
1516426832.59,80003.213,51.373,20.420
1516426836.59,80003.180,51.381,20.409
1516426839.59,80003.197,51.373,20.409
1516426842.59,80003.218,51.388,20.420
1516426846.59,80003.213,51.388,20.409
1516426849.58,80003.180,51.373,20.409
1516426852.58,80003.187,51.381,20.409
1516426856.59,80003.157,51.388,20.409
1516426859.58,80003.190,51.381,20.409
1516426862.58,80003.169,51.381,20.420
1516426866.58,80003.175,51.388,20.420
1516426869.58,80003.162,51.388,20.420
1516426872.58,80003.169,51.381,20.409
1516426876.58,80003.185,51.365,20.409
1516426879.58,80003.190,51.373,20.398
1516426882.58,80003.167,51.365,20.430
1516426886.58,80003.173,51.388,20.430
1516426889.58,80003.187,51.373,20.409
1516426892.58,80003.167,51.388,20.430
1516426896.58,80003.169,51.388,20.452
1516426899.58,80003.182,51.388,20.409
1516426903.58,80003.195,51.365,20.441
1516426906.58,80003.172,51.388,20.430
1516426909.58,80003.185,51.373,20.398
1516426913.58,80003.167,51.373,20.420
1516426916.58,80003.192,51.388,20.441
1516426919.57,80003.195,51.404,20.420
1516426923.57,80003.210,51.373,20.409
1516426926.58,80003.197,51.373,20.409
1516426929.57,80003.190,51.419,20.409
1516426933.57,80003.182,51.396,20.441
1516426936.57,80003.177,51.396,20.430
1516426939.57,80003.177,51.373,20.430
1516426943.57,80003.197,51.373,20.441
1516426946.57,80003.208,51.381,20.441
1516426949.57,80003.190,51.381,20.452
1516426953.57,80003.195,51.358,20.441
1516426956.57,80003.154,51.381,20.430
1516426960.57,80003.162,51.381,20.452
1516426963.57,80003.159,51.373,20.430
1516426966.57,80003.177,51.358,20.452
1516426970.57,80003.180,51.365,20.430
1516426973.56,80003.202,51.373,20.452
1516426976.57,80003.180,51.343,20.430
