si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c
20.857,25.030,407,407.071,25.0008,0.0008,160.31,4.1435
20.868,25.019,407,407.195,25.0022,0.0022,158.68,4.1341
20.857,25.051,407,407.154,25.0018,0.0018,158.78,4.1444
20.932,25.008,407,407.185,25.0021,0.0021,158.10,4.0697
20.965,25.008,407,406.827,24.9980,-0.0020,162.03,4.0334
20.965,25.008,407,407.112,25.0013,0.0013,158.95,4.0367
21.007,25.008,407,407.300,25.0034,0.0034,156.47,3.9959
21.029,25.008,407,407.285,25.0032,0.0032,156.06,3.9743
21.007,25.008,407,407.378,25.0043,0.0043,154.36,3.9968
21.029,25.019,407,407.347,25.0039,0.0039,153.98,3.9750
21.061,25.030,407,407.198,25.0023,0.0023,155.08,3.9411
21.061,25.008,407,407.037,25.0004,0.0004,156.61,3.9393
21.072,25.019,407,407.129,25.0015,0.0015,155.43,3.9296
21.072,25.008,407,407.127,25.0014,0.0014,155.20,3.9296
21.125,25.030,407,406.694,24.9965,-0.0035,160.14,3.8710
21.125,25.008,407,406.817,24.9979,-0.0021,159.27,3.8725
21.136,25.019,407,406.816,24.9979,-0.0021,159.65,3.8617
21.168,25.019,407,407.211,25.0024,0.0024,155.28,3.8340
21.190,25.008,407,407.677,25.0077,0.0077,149.26,3.8179
21.190,25.019,407,407.725,25.0082,0.0082,147.33,3.8184
21.211,25.008,407,407.408,25.0046,0.0046,149.69,3.7934
21.211,25.019,407,407.182,25.0021,0.0021,151.59,3.7908
21.243,25.008,407,407.236,25.0027,0.0027,150.57,3.7592
21.243,25.030,407,406.944,24.9994,-0.0006,153.61,3.7559
21.276,25.019,407,406.658,24.9961,-0.0039,157.15,3.7205
21.297,25.008,407,406.547,24.9949,-0.0051,159.16,3.6978
21.308,24.987,407,406.536,24.9947,-0.0053,160.21,3.6869
21.351,24.997,407,406.976,24.9997,-0.0003,155.85,3.6490
21.361,25.008,407,406.900,24.9989,-0.0011,156.81,3.6374
21.404,25.008,407,407.049,25.0006,0.0006,155.22,3.5962
21.436,25.019,407,407.179,25.0020,0.0020,153.57,3.5655
21.458,24.997,407,407.464,25.0053,0.0053,149.78,3.5473
21.458,25.008,407,407.672,25.0076,0.0076,146.36,3.5497
21.469,25.030,407,407.452,25.0051,0.0051,147.66,3.5365
21.479,25.008,407,407.366,25.0042,0.0042,147.79,3.5248
21.512,25.008,407,407.176,25.0020,0.0020,149.33,3.4904
21.522,25.019,407,406.895,24.9988,-0.0012,152.36,3.4765
21.533,24.997,407,406.860,24.9984,-0.0016,152.98,3.4654
21.533,25.008,407,406.880,24.9986,-0.0014,153.03,3.4656
21.533,25.008,407,407.018,25.0002,0.0002,151.61,3.4672
