timestamps,resistance,ppm,temp_c,ambient_c,savgol_151_2
1517941297.53,70003.325,-0.15,25.933,20.89,-0.13421694559
1517941298.54,70003.307,-0.41,25.932,20.911,-0.124811438243
1517941299.54,70003.307,-0.41,25.933,20.933,-0.115493777937
1517941300.54,70003.307,-0.41,25.933,20.954,-0.105880993404
1517941301.54,70003.325,-0.15,25.935,20.933,-0.09638481536
1517941302.54,70003.325,-0.15,25.934,20.943,-0.0870062896042
1517941303.54,70003.325,-0.15,25.936,20.954,-0.0836290153201
1517941304.54,70003.35,0.21,25.935,20.954,-0.0806134128837
1517941305.54,70003.35,0.21,25.936,20.943,-0.0779655827841
1517941306.54,70003.35,0.21,25.936,20.976,-0.077036905344
1517941307.54,70003.35,0.21,25.936,20.976,-0.0759866190132
1517941308.54,70003.297,-0.55,25.935,20.976,-0.0752060614459
1517941309.54,70003.297,-0.55,25.935,20.976,-0.0747022046296
1517941310.54,70003.297,-0.55,25.935,20.986,-0.0669579650163
1517941311.54,70003.335,-0.01,25.936,20.976,-0.0597542723032
1517941312.54,70003.335,-0.01,25.936,20.986,-0.0530913879397
1517941313.54,70003.335,-0.01,25.937,20.976,-0.054063204552
1517941314.54,70003.317,-0.26,25.937,20.976,-0.0552603035081
1517941315.54,70003.317,-0.26,25.939,20.954,-0.0566893081959
1517941316.54,70003.317,-0.26,25.939,20.943,-0.0556662823359
1517941317.54,70003.317,-0.26,25.94,20.954,-0.0542488337172
1517941318.54,70003.322,-0.19,25.94,20.933,-0.0532091796673
1517941319.54,70003.322,-0.19,25.941,20.943,-0.0525508061796
1517941320.54,70003.322,-0.19,25.941,20.943,-0.0511438416871
1517941321.54,70003.325,-0.15,25.942,20.943,-0.0502425205826
1517941322.54,70003.325,-0.15,25.941,20.943,-0.0498492830618
1517941323.54,70003.325,-0.15,25.943,20.933,-0.0515632503057
1517941324.54,70003.32,-0.22,25.942,20.933,-0.0538047355482
1517941325.54,70003.32,-0.22,25.942,20.922,-0.0565775733824
1517941326.54,70003.32,-0.22,25.941,20.933,-0.0598855984013
1517941327.54,70003.32,-0.22,25.943,20.943,-0.0615923147783
1517941328.54,70003.33,-0.08,25.943,20.965,-0.0639320876135
1517941329.54,70003.33,-0.08,25.946,20.965,-0.0669068342036
1517941330.54,70003.33,-0.08,25.945,20.986,-0.0712371704538
1517941331.54,70003.348,0.18,25.949,20.986,-0.0762529837928
1517941332.54,70003.348,0.18,25.949,20.986,-0.0819568015659
1517941333.54,70003.348,0.18,25.951,20.997,-0.0896017077884
1517941334.54,70003.348,0.18,25.95,20.997,-0.0974606540247
1517941335.54,70003.312,-0.33,25.951,20.986,-0.105537474868
1517941336.54,70003.312,-0.33,25.95,20.986,-0.113836004912
1517941337.54,70003.312,-0.33,25.95,20.976,-0.119329843854
1517941338.54,70003.307,-0.41,25.949,20.954,-0.125747558279
