timestamp,ltz1000-p17-hammond
1514573298.426,7071442.6
1514573301.777,7071443.1
1514573305.130,7071443.1
1514573308.482,7071443.6
1514573311.835,7071443.9
1514573315.186,7071442.9
1514573318.539,7071443.1
1514573321.890,7071442.9
1514573325.243,7071442.4
1514573328.595,7071443.9
1514573331.947,7071442.6
1514573335.299,7071442.9
1514573338.651,7071443.1
1514573342.003,7071443.1
1514573345.355,7071442.4
1514573348.708,7071442.9
1514573352.060,7071443.6
1514573355.411,7071443.4
1514573358.764,7071443.6
1514573362.116,7071443.6
1514573365.468,7071442.1
1514573368.820,7071443.1
1514573372.172,7071443.4
1514573375.524,7071442.1
1514573378.876,7071443.6
1514573382.229,7071442.6
1514573385.581,7071442.9
1514573388.933,7071442.6
1514573392.285,7071442.4
1514573395.637,7071444.9
1514573398.989,7071442.4
1514573402.342,7071441.4
1514573405.693,7071443.1
1514573409.046,7071442.6
1514573412.398,7071443.4
1514573415.750,7071442.9
1514573419.102,7071440.6
1514573422.454,7071443.1
1514573425.807,7071442.4
1514573429.159,7071441.6
1514573432.510,7071441.1
1514573435.863,7071442.9
1514573439.215,7071443.1
1514573442.567,7071441.4
1514573445.919,7071442.9
1514573449.271,7071443.4
1514573452.623,7071443.9
1514573455.975,7071443.9
1514573459.328,7071441.1
1514573462.679,7071441.1
1514573466.032,7071444.1
1514573469.383,7071442.9
1514573472.736,7071443.6
1514573476.088,7071443.1
1514573479.440,7071443.4
1514573482.793,7071444.4
1514573486.144,7071443.6
1514573489.497,7071443.9
1514573492.849,7071444.9
1514573496.201,7071445.7
1514573499.552,7071442.6
1514573502.905,7071441.6
1514573506.257,7071442.4
1514573509.609,7071440.3
1514573512.961,7071442.4
1514573516.313,7071441.4
1514573519.666,7071442.1
1514573523.017,7071441.9
1514573526.370,7071440.9
1514573529.722,7071440.9
1514573533.074,7071441.4
1514573536.426,7071441.4
1514573539.778,7071442.9
1514573543.130,7071443.6
1514573546.482,7071443.9
1514573549.835,7071442.6
1514573553.187,7071443.4
1514573556.539,7071442.1
1514573559.891,7071443.4
1514573563.243,7071443.6
1514573566.595,7071442.6
1514573569.947,7071444.1
1514573573.299,7071443.4
1514573576.651,7071444.7
1514573580.004,7071446.4
1514573583.356,7071443.4
1514573586.708,7071443.1
1514573590.059,7071442.6
1514573593.412,7071443.1
1514573596.764,7071443.4
1514573600.116,7071441.4
1514573603.469,7071442.1
1514573606.821,7071441.6
1514573610.172,7071441.4
1514573613.525,7071442.4
1514573616.877,7071442.6
1514573620.229,7071443.4
1514573623.713,7071442.6
1514573626.933,7071442.9
1514573630.285,7071443.4
1514573633.637,7071442.6
1514573636.990,7071442.9
1514573640.342,7071443.9
1514573643.694,7071443.9
1514573647.046,7071443.1
1514573650.398,7071442.4
1514573653.751,7071443.4
1514573657.102,7071443.4
1514573660.454,7071442.6
1514573663.807,7071442.9
1514573667.158,7071444.1
1514573670.511,7071443.9
1514573673.863,7071442.6
1514573677.215,7071444.7
1514573680.567,7071443.9
1514573683.920,7071442.4
1514573687.271,7071443.9
1514573690.623,7071444.1
1514573693.976,7071443.6
1514573697.328,7071443.4
1514573700.680,7071443.1
1514573704.031,7071442.6
1514573707.384,7071444.4
1514573710.737,7071443.6
1514573714.088,7071443.6
1514573717.441,7071443.1
1514573720.792,7071443.1
1514573724.145,7071443.1
1514573727.496,7071442.6
1514573730.849,7071443.4
1514573734.201,7071440.9
1514573737.553,7071441.6
1514573740.905,7071441.6
1514573744.257,7071442.4
1514573747.610,7071442.6
1514573750.961,7071441.6
1514573754.313,7071441.4
1514573757.666,7071440.3
1514573761.017,7071441.4
1514573764.370,7071440.6
1514573767.722,7071440.9
1514573771.074,7071442.1
1514573774.427,7071441.4
1514573777.778,7071442.1
1514573781.131,7071441.4
1514573784.482,7071440.6
1514573787.835,7071441.4
1514573791.186,7071442.4
1514573794.539,7071441.6
1514573797.891,7071442.4
1514573801.243,7071440.9
1514573804.596,7071441.4
1514573807.947,7071440.9
1514573811.300,7071441.9
1514573814.652,7071442.6
1514573818.003,7071443.1
1514573821.356,7071441.6
1514573824.708,7071442.6
1514573828.060,7071441.4
1514573831.412,7071442.1
1514573834.764,7071442.9
1514573838.116,7071441.6
1514573841.469,7071443.1
1514573844.820,7071443.6
1514573848.173,7071443.1
1514573851.525,7071443.4
1514573854.877,7071444.1
1514573858.230,7071443.4
1514573861.581,7071443.9
1514573864.934,7071442.4
1514573868.285,7071443.9
1514573871.638,7071443.9
1514573874.989,7071443.9
1514573878.342,7071442.1
1514573881.694,7071442.6
1514573885.046,7071443.4
1514573888.398,7071444.4
1514573891.751,7071443.1
1514573895.102,7071444.1
1514573898.454,7071442.9
1514573901.807,7071444.4
1514573905.159,7071442.9
1514573908.511,7071443.6
1514573911.863,7071442.9
1514573915.215,7071445.2
1514573918.568,7071444.1
1514573921.919,7071444.1
1514573925.272,7071445.4
1514573928.624,7071444.1
1514573931.975,7071442.9
1514573935.328,7071441.4
1514573938.680,7071443.9
1514573942.032,7071444.4
1514573945.384,7071445.4
1514573948.736,7071444.7
1514573952.088,7071444.9
1514573955.441,7071443.1
1514573958.792,7071443.4
1514573962.145,7071442.4
1514573965.497,7071442.1
1514573968.849,7071441.6
1514573972.201,7071440.9
1514573975.553,7071442.4
1514573978.906,7071443.4
1514573982.258,7071442.4
1514573985.609,7071442.9
1514573988.962,7071442.4
1514573992.314,7071440.9
1514573995.666,7071442.6
1514573999.018,7071441.1
1514574002.370,7071442.6
1514574005.722,7071441.4
1514574009.075,7071441.6
1514574012.426,7071440.9
1514574015.779,7071441.4
1514574019.131,7071441.1
1514574022.482,7071441.6
1514574025.835,7071442.6
1514574029.187,7071442.1
1514574032.540,7071442.4
1514574035.891,7071441.6
1514574039.243,7071442.6
1514574042.596,7071441.9
1514574045.947,7071442.4
1514574049.300,7071442.1
1514574052.652,7071440.9
1514574056.004,7071441.4
1514574059.356,7071442.4
1514574062.708,7071441.9
1514574066.060,7071442.6
1514574069.413,7071442.9
1514574072.765,7071443.4
1514574076.117,7071444.1
1514574079.469,7071442.9
1514574082.821,7071443.1
1514574086.173,7071443.1
1514574089.525,7071442.9
1514574092.878,7071441.9
1514574096.229,7071442.4
1514574099.581,7071442.4
1514574102.934,7071443.4
1514574106.286,7071442.1
1514574109.638,7071442.6
1514574112.990,7071443.6
1514574116.342,7071444.1
1514574119.695,7071443.4
1514574123.046,7071443.1
1514574126.398,7071443.1
1514574129.751,7071442.9
1514574133.103,7071442.9
1514574136.454,7071442.6
1514574139.807,7071443.4
1514574143.159,7071442.9
1514574146.512,7071442.1
1514574149.863,7071443.9
1514574153.215,7071442.6
1514574156.568,7071443.1
1514574159.920,7071442.9
1514574163.272,7071441.9
1514574166.624,7071443.4
1514574169.976,7071444.7
1514574173.328,7071444.4
1514574176.680,7071447.2
1514574180.033,7071447.7
1514574183.385,7071445.7
1514574186.736,7071445.4
1514574190.089,7071445.7
1514574193.441,7071445.7
1514574197.041,7071444.7
1514574200.145,7071445.7
1514574203.498,7071443.4
1514574206.849,7071443.4
1514574210.202,7071443.6
1514574213.553,7071444.9
1514574216.906,7071443.1
1514574220.257,7071443.6
1514574223.610,7071444.1
1514574226.962,7071444.9
1514574230.315,7071445.7
1514574233.666,7071444.4
1514574237.018,7071443.4
1514574240.370,7071442.4
1514574243.722,7071444.1
1514574247.075,7071444.4
1514574250.427,7071442.9
1514574253.779,7071443.9
1514574257.132,7071443.9
1514574260.483,7071445.4
1514574263.835,7071444.7
1514574267.188,7071443.6
1514574270.539,7071444.7
1514574273.892,7071444.4
1514574277.244,7071444.9
1514574280.596,7071444.4
1514574283.948,7071444.9
1514574287.300,7071444.4
1514574290.653,7071443.9
1514574294.005,7071443.9
1514574297.357,7071446.2
1514574300.709,7071444.7
1514574304.061,7071444.9
1514574307.413,7071444.1
1514574310.765,7071444.4
1514574314.117,7071444.1
1514574317.469,7071444.4
1514574320.822,7071444.1
1514574324.173,7071444.4
1514574327.526,7071444.4
1514574330.878,7071443.6
1514574334.230,7071445.9
1514574337.582,7071444.4
1514574340.935,7071446.7
1514574344.286,7071445.2
1514574347.639,7071443.9
1514574350.990,7071445.4
1514574354.343,7071444.9
1514574357.694,7071445.4
1514574361.047,7071444.4
1514574364.399,7071444.1
1514574367.751,7071443.9
1514574371.103,7071447.2
1514574374.456,7071444.9
