timestamp,ltz1000-p17-powercycle
1514589404.204,7071447.7
1514589407.556,7071449.0
1514589410.908,7071445.7
1514589414.260,7071452.5
1514589417.613,7071456.6
1514589420.964,7071458.9
1514589424.317,7071452.8
1514589427.668,7071456.6
1514589431.021,7071453.8
1514589434.373,7071453.3
1514589437.726,7071453.5
1514589441.077,7071453.3
1514589444.430,7071454.0
1514589447.781,7071454.8
1514589451.133,7071454.5
1514589454.486,7071454.0
1514589457.837,7071455.1
1514589461.190,7071454.3
1514589464.541,7071453.5
1514589467.894,7071454.0
1514589471.246,7071454.5
1514589474.598,7071454.5
1514589477.950,7071453.8
1514589481.303,7071456.1
1514589484.654,7071455.1
1514589488.007,7071455.8
1514589491.359,7071455.8
1514589494.710,7071455.8
1514589498.063,7071454.3
1514589501.415,7071456.1
1514589504.767,7071454.8
1514589508.120,7071454.8
1514589511.471,7071454.8
1514589514.823,7071454.8
1514589518.176,7071456.3
1514589521.527,7071456.8
1514589524.880,7071449.2
1514589528.232,7071449.7
1514589531.584,7071450.2
1514589534.936,7071448.7
1514589538.288,7071448.7
1514589541.641,7071448.5
1514589544.992,7071449.7
1514589548.345,7071448.7
1514589551.697,7071448.2
1514589555.049,7071449.0
1514589558.401,7071449.0
1514589561.753,7071449.2
1514589565.106,7071450.0
1514589568.457,7071450.7
1514589571.809,7071452.3
1514589575.161,7071451.5
1514589578.514,7071450.7
1514589581.866,7071454.3
1514589585.218,7071456.6
1514589588.570,7071457.6
1514589591.922,7071457.1
1514589595.274,7071454.3
1514589598.626,7071455.3
1514589601.978,7071455.6
1514589605.331,7071456.3
1514589608.682,7071456.1
1514589612.035,7071456.8
1514589615.387,7071456.1
1514589618.739,7071456.4
1514589622.091,7071455.3
1514589625.443,7071456.3
1514589628.795,7071452.8
1514589632.148,7071452.8
1514589635.500,7071451.8
1514589638.852,7071450.7
1514589642.203,7071451.0
1514589645.556,7071451.5
1514589648.907,7071451.0
1514589652.260,7071451.8
1514589655.612,7071451.2
1514589658.964,7071451.8
1514589662.316,7071451.0
1514589665.669,7071451.8
1514589669.020,7071451.5
1514589672.373,7071451.0
1514589675.724,7071457.1
1514589679.077,7071467.5
1514589682.429,7071467.5
1514589685.781,7071466.2
1514589689.133,7071467.7
1514589692.486,7071468.5
1514589695.837,7071461.9
1514589699.190,7071461.6
1514589702.541,7071461.1
1514589705.902,7071458.1
1514589709.246,7071449.5
1514589712.598,7071449.7
1514589715.950,7071449.2
1514589719.302,7071449.7
1514589722.654,7071450.0
1514589726.006,7071450.5
1514589729.359,7071451.5
1514589732.710,7071449.7
1514589736.063,7071450.7
1514589739.414,7071450.7
1514589742.767,7071450.5
1514589746.118,7071449.7
1514589749.471,7071449.7
1514589752.823,7071449.5
1514589756.175,7071449.7
1514589759.527,7071449.7
1514589762.880,7071450.0
1514589766.232,7071449.5
1514589769.583,7071446.9
1514589772.936,7071442.1
1514589776.288,7071445.2
1514589779.640,7071445.7
1514589782.992,7071445.7
1514589786.344,7071446.7
1514589789.696,7071447.4
1514589793.048,7071445.7
1514589796.401,7071444.7
1514589799.753,7071443.6
1514589803.105,7071444.7
1514589806.457,7071444.4
