timestamp,LTC2400
1500054801.801,2498634
1500054801.936,2498693
1500054802.071,2498642
1500054802.206,2498584
1500054802.341,2498693
1500054802.477,2498684
1500054802.615,2498656
1500054802.751,2498615
1500054802.886,2498634
1500054803.021,2498646
1500054803.156,2498639
1500054803.292,2498677
1500054803.427,2498675
1500054803.566,2498639
1500054803.701,2498645
1500054803.836,2498664
1500054803.971,2498670
1500054804.107,2498654
1500054804.242,2498641
1500054804.377,2498665
1500054804.512,2498631
1500054804.651,2498637
1500054804.787,2498650
1500054804.922,2498646
1500054805.057,2498633
1500054805.192,2498592
1500054805.327,2498660
1500054805.462,2498675
1500054805.602,2498616
1500054805.737,2498682
1500054805.872,2498640
1500054806.007,2498648
1500054806.142,2498669
1500054806.278,2498671
1500054806.413,2498685
1500054806.552,2498623
1500054806.687,2498605
1500054806.822,2498684
1500054806.957,2498634
1500054807.093,2498647
1500054807.228,2498694
1500054807.363,2498614
1500054807.502,2498663
1500054807.637,2498696
1500054807.772,2498621
1500054807.908,2498622
1500054808.043,2498711
1500054808.178,2498629
1500054808.313,2498598
1500054808.448,2498644
1500054808.587,2498639
1500054808.723,2498658
1500054808.858,2498657
1500054808.993,2498671
1500054809.128,2498693
1500054809.263,2498638
1500054809.398,2498627
1500054809.538,2498673
1500054809.673,2498679
1500054809.808,2498690
1500054809.943,2498607
1500054810.078,2498658
1500054810.214,2498624
1500054810.349,2498644
1500054810.488,2498579
1500054810.623,2498612
1500054810.758,2498643
1500054810.893,2498586
1500054811.029,2498646
1500054811.164,2498620
1500054811.299,2498612
1500054811.434,2498639
1500054811.573,2498687
1500054811.709,2498702
1500054811.844,2498640
1500054811.979,2498622
1500054812.114,2498619
1500054812.249,2498594
1500054812.384,2498612
1500054812.523,2498623
1500054812.659,2498691
1500054812.794,2498698
1500054812.929,2498687
1500054813.064,2498647
1500054813.199,2498704
1500054813.335,2498658
1500054813.473,2498612
1500054813.609,2498672
1500054813.744,2498561
1500054813.879,2498632
1500054814.014,2498660
1500054814.150,2498648
1500054814.285,2498635
1500054814.420,2498668
1500054814.559,2498732
1500054814.694,2498628
1500054814.829,2498618
1500054814.965,2498596
1500054815.100,2498676
1500054815.235,2498662
1500054815.377,2498666
1500054815.509,2498629
1500054815.644,2498594
1500054815.780,2498596
