timestamp,ltz1000-p17-cotton-rounds
1514634082.839,7071493.6
1514634086.192,7071493.6
1514634089.543,7071492.8
1514634092.896,7071494.1
1514634096.248,7071494.1
1514634099.600,7071492.8
1514634102.952,7071492.8
1514634106.305,7071493.1
1514634109.656,7071493.8
1514634113.009,7071493.8
1514634116.360,7071493.8
1514634119.713,7071492.8
1514634123.065,7071493.3
1514634126.417,7071492.8
1514634129.769,7071492.8
1514634133.121,7071493.8
1514634136.473,7071493.6
1514634139.825,7071493.6
1514634143.178,7071493.6
1514634146.529,7071494.1
1514634149.882,7071493.3
1514634153.233,7071493.3
1514634156.586,7071493.1
1514634159.938,7071493.8
1514634163.290,7071492.1
1514634166.642,7071493.3
1514634169.995,7071494.4
1514634173.346,7071493.1
1514634176.699,7071493.1
1514634180.050,7071492.8
1514634183.403,7071492.8
1514634186.755,7071493.1
1514634190.106,7071493.6
1514634193.459,7071493.6
1514634196.811,7071493.3
1514634200.163,7071493.1
1514634203.515,7071494.1
1514634206.867,7071492.8
1514634210.219,7071493.1
1514634213.572,7071492.6
1514634216.924,7071491.1
1514634220.275,7071492.6
1514634223.628,7071491.3
1514634226.980,7071492.8
1514634230.332,7071492.6
1514634233.684,7071491.6
1514634237.036,7071491.3
1514634240.388,7071491.8
1514634243.741,7071492.8
1514634247.092,7071492.1
1514634250.445,7071492.1
1514634253.797,7071493.6
1514634257.148,7071492.8
1514634260.501,7071492.1
1514634263.853,7071492.8
1514634267.205,7071492.1
1514634270.557,7071491.8
1514634273.910,7071493.6
1514634277.261,7071494.1
1514634280.614,7071494.4
1514634283.965,7071493.6
1514634287.318,7071494.1
1514634290.670,7071492.6
1514634294.022,7071493.8
1514634297.374,7071494.4
1514634300.726,7071493.8
1514634304.078,7071492.8
1514634307.430,7071494.9
1514634310.783,7071494.1
1514634314.134,7071494.9
1514634317.487,7071493.6
1514634320.839,7071493.3
1514634324.191,7071494.6
1514634327.543,7071493.6
1514634330.896,7071493.6
1514634334.247,7071495.1
1514634337.599,7071495.1
1514634340.952,7071494.9
1514634344.303,7071494.4
1514634347.655,7071492.8
1514634351.008,7071494.1
1514634354.359,7071493.6
1514634357.712,7071493.3
1514634361.064,7071493.8
1514634364.416,7071494.6
1514634367.768,7071493.1
1514634371.120,7071493.3
1514634374.472,7071494.4
1514634377.825,7071495.1
1514634381.176,7071493.8
1514634384.529,7071493.3
1514634387.881,7071495.9
1514634391.233,7071495.6
1514634394.585,7071496.6
1514634397.937,7071495.1
1514634401.289,7071494.1
1514634404.641,7071494.4
1514634407.993,7071494.9
1514634411.345,7071495.6
1514634414.698,7071494.4
1514634418.049,7071495.1
1514634421.402,7071495.4
1514634424.753,7071494.9
1514634428.106,7071494.9
1514634431.458,7071494.1
1514634434.810,7071495.6
1514634438.162,7071494.6
1514634441.515,7071494.9
1514634444.866,7071494.1
1514634448.219,7071493.8
1514634451.571,7071493.8
1514634454.922,7071494.4
1514634458.275,7071494.6
1514634461.627,7071494.4
1514634464.979,7071494.1
1514634468.331,7071495.1
1514634471.683,7071494.1
1514634475.036,7071494.1
1514634478.387,7071494.9
1514634481.740,7071494.4
1514634485.091,7071494.4
1514634488.444,7071495.1
1514634491.796,7071495.1
1514634495.148,7071495.1
1514634498.500,7071495.4
1514634501.852,7071495.6
1514634505.204,7071495.1
1514634508.557,7071494.6
1514634511.909,7071494.4
1514634515.261,7071494.4
1514634518.613,7071495.6
1514634521.964,7071495.6
1514634525.317,7071494.6
1514634528.669,7071496.1
1514634532.021,7071495.6
1514634535.373,7071494.6
1514634538.726,7071494.4
1514634542.077,7071495.1
1514634545.430,7071496.6
1514634548.782,7071494.6
1514634552.134,7071495.1
1514634555.486,7071495.1
1514634558.838,7071494.9
1514634562.190,7071494.1
1514634565.542,7071494.6
1514634568.894,7071494.4
1514634572.246,7071494.9
1514634575.599,7071495.4
1514634578.950,7071494.4
1514634582.303,7071494.6
1514634585.655,7071495.1
1514634589.007,7071494.4
1514634592.359,7071494.1
1514634595.712,7071496.9
1514634599.063,7071495.1
1514634602.416,7071494.1
1514634605.767,7071495.1
1514634609.120,7071494.6
1514634612.471,7071495.1
1514634615.824,7071495.9
1514634619.176,7071495.1
1514634622.527,7071494.6
1514634625.880,7071494.9
1514634629.232,7071494.9
