timestamp,332B
1500616033.004,9999055.8
1500616036.349,9999055.3
1500616039.695,9999054.5
1500616043.040,9999054.3
1500616046.386,9999056.1
1500616049.731,9999056.6
1500616053.077,9999056.6
1500616056.422,9999056.6
1500616059.767,9999055.3
1500616063.113,9999055.6
1500616066.458,9999055.8
1500616069.804,9999056.8
1500616073.149,9999056.6
1500616076.495,9999055.8
1500616079.840,9999056.6
1500616083.185,9999055.8
1500616086.531,9999056.1
1500616089.876,9999056.3
1500616093.222,9999054.0
1500616096.567,9999054.0
1500616099.913,9999053.8
1500616103.258,9999052.5
1500616106.604,9999052.8
1500616109.949,9999054.0
1500616113.294,9999053.8
1500616116.640,9999053.0
1500616119.985,9999052.8
1500616123.331,9999052.5
1500616126.676,9999051.7
1500616130.021,9999052.0
1500616133.367,9999052.3
1500616136.712,9999051.2
1500616140.058,9999051.2
1500616143.403,9999050.7
1500616146.749,9999051.5
1500616150.094,9999051.5
1500616153.439,9999052.0
1500616156.785,9999052.0
1500616160.130,9999051.2
1500616163.476,9999052.0
1500616166.821,9999052.5
1500616170.167,9999051.5
1500616173.512,9999053.5
1500616176.858,9999052.8
1500616180.203,9999053.3
1500616183.548,9999053.0
1500616186.894,9999053.0
1500616190.239,9999052.3
1500616193.585,9999052.0
1500616196.930,9999052.3
1500616200.275,9999052.8
1500616203.621,9999053.8
1500616206.966,9999053.5
1500616210.312,9999053.0
1500616213.657,9999053.8
1500616217.003,9999053.3
1500616220.348,9999053.3
1500616223.693,9999053.0
1500616227.039,9999053.0
1500616230.384,9999053.0
1500616233.730,9999051.7
1500616237.075,9999051.0
1500616240.421,9999050.7
1500616243.766,9999052.3
1500616247.111,9999053.0
1500616250.457,9999052.5
1500616253.802,9999051.0
1500616257.148,9999053.3
1500616260.493,9999053.8
1500616263.839,9999052.0
1500616267.184,9999054.5
1500616270.529,9999053.3
1500616273.875,9999052.5
1500616277.220,9999053.0
1500616280.566,9999053.0
1500616283.911,9999051.2
1500616287.257,9999051.2
1500616290.602,9999052.5
1500616293.947,9999052.3
1500616297.293,9999052.0
1500616300.638,9999051.5
1500616303.984,9999052.0
1500616307.329,9999052.0
1500616310.674,9999050.5
1500616314.020,9999052.0
1500616317.365,9999052.0
1500616320.711,9999053.3
1500616324.056,9999052.5
1500616327.402,9999052.5
1500616330.747,9999050.7
1500616334.093,9999050.7
1500616337.438,9999050.5
1500616340.783,9999051.7
1500616344.129,9999051.5
1500616347.474,9999051.7
1500616350.820,9999052.5
1500616354.165,9999053.3
1500616357.511,9999053.3
1500616360.856,9999053.3
1500616364.201,9999052.5
1500616367.547,9999053.3
1500616370.892,9999052.0
1500616374.238,9999052.5
1500616377.583,9999051.7
1500616380.928,9999052.3
1500616384.274,9999052.0
1500616387.619,9999050.2
1500616390.965,9999051.7
1500616394.310,9999051.7
1500616397.656,9999051.7
1500616401.001,9999052.0
1500616404.347,9999050.7
1500616407.692,9999050.2
1500616411.037,9999050.7
1500616414.383,9999051.0
1500616417.728,9999049.7
1500616421.074,9999052.0
1500616424.419,9999050.7
1500616427.765,9999051.0
1500616431.110,9999050.0
1500616434.455,9999051.0
1500616437.801,9999050.7
1500616441.146,9999050.7
1500616444.492,9999049.5
1500616447.837,9999050.5
1500616451.183,9999050.7
1500616454.528,9999050.0
1500616457.873,9999051.5
1500616461.219,9999050.2
1500616464.564,9999049.2
1500616467.910,9999049.7
1500616471.255,9999050.2
1500616474.601,9999049.0
1500616477.946,9999049.7
1500616481.291,9999051.5
1500616484.637,9999052.0
1500616487.982,9999051.5
1500616491.328,9999050.7
1500616494.673,9999051.5
1500616498.019,9999051.5
1500616501.364,9999051.5
1500616504.709,9999050.0
1500616508.055,9999051.7
1500616511.400,9999051.0
1500616514.746,9999051.7
1500616518.091,9999051.2
1500616521.437,9999050.7
1500616524.782,9999051.2
1500616528.127,9999050.7
1500616531.473,9999050.0
1500616534.818,9999050.5
1500616538.164,9999049.5
1500616541.509,9999049.0
1500616544.855,9999049.0
1500616548.200,9999048.7
1500616551.545,9999048.7
1500616554.891,9999049.2
1500616558.236,9999046.9
1500616561.582,9999048.7
1500616564.927,9999049.2
1500616568.273,9999049.2
1500616571.618,9999050.0
1500616574.963,9999050.5
1500616578.309,9999050.5
1500616581.654,9999048.5
1500616585.000,9999047.2
1500616588.345,9999049.2
1500616591.691,9999049.2
1500616595.036,9999049.5
1500616598.382,9999047.2
1500616601.727,9999047.7
1500616605.072,9999049.2
1500616608.418,9999048.7
1500616611.763,9999047.2
1500616615.109,9999046.9
1500616618.454,9999048.7
1500616621.800,9999048.2
1500616625.145,9999049.5
1500616628.490,9999049.5
1500616631.836,9999050.0
1500616635.181,9999048.2
1500616638.527,9999050.0
1500616641.872,9999049.0
1500616645.217,9999050.2
1500616648.563,9999049.2
1500616651.908,9999048.5
1500616655.254,9999050.2
1500616658.599,9999047.4
1500616661.945,9999047.4
1500616665.290,9999047.9
1500616668.636,9999048.2
1500616671.981,9999048.5
1500616675.326,9999048.2
1500616678.672,9999048.7
1500616682.017,9999049.0
1500616685.363,9999050.2
1500616688.708,9999047.4
1500616692.054,9999048.5
1500616695.399,9999049.0
1500616698.744,9999047.7
1500616702.090,9999047.4
1500616705.435,9999048.2
1500616708.781,9999047.4
1500616712.126,9999047.7
1500616715.471,9999048.5
1500616718.817,9999047.9
1500616722.162,9999047.4
1500616725.508,9999049.7
1500616728.853,9999047.7
1500616732.199,9999047.2
1500616735.544,9999047.9
1500616738.890,9999047.9
1500616742.235,9999048.7
1500616745.580,9999046.9
1500616748.926,9999046.4
1500616752.271,9999045.7
1500616755.617,9999046.2
1500616758.962,9999046.9
1500616762.308,9999045.9
1500616765.653,9999045.9
1500616768.998,9999046.2
1500616772.344,9999045.9
1500616775.689,9999047.7
1500616779.035,9999045.4
1500616782.380,9999045.7
