si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c
21.319,-46.582,406,405.476,24.9940,-0.0060,155.93,3.6755
21.308,-46.582,406,405.637,24.9959,-0.0041,154.54,3.6881
21.297,-46.582,406,405.501,24.9943,-0.0057,156.20,3.6973
21.254,-46.582,406,405.418,24.9934,-0.0066,157.38,3.7392
21.222,-46.582,406,405.619,24.9957,-0.0043,155.60,3.7737
21.222,-46.582,406,405.797,24.9977,-0.0023,153.94,3.7757
21.222,-46.582,406,405.919,24.9991,-0.0009,152.77,3.7771
21.179,-46.582,406,405.776,24.9974,-0.0026,154.34,3.8184
21.201,-46.582,406,405.892,24.9988,-0.0012,153.24,3.7982
21.179,-46.582,406,406.011,25.0001,0.0001,152.04,3.8210
21.179,-46.582,406,406.071,25.0008,0.0008,151.40,3.8217
21.147,-46.582,406,405.891,24.9988,-0.0012,153.27,3.8518
21.136,-46.582,406,406.029,25.0003,0.0003,151.87,3.8641
21.125,-46.582,406,406.232,25.0026,0.0026,149.70,3.8772
21.104,-46.582,406,406.287,25.0033,0.0033,148.98,3.8992
21.104,-46.582,406,406.235,25.0027,0.0027,149.36,3.8986
21.072,-46.582,406,406.356,25.0040,0.0040,147.93,3.9322
21.061,-46.582,406,406.047,25.0005,0.0005,150.99,3.9394
21.040,-46.582,406,405.924,24.9991,-0.0009,152.27,3.9595
21.007,-46.582,406,405.976,24.9997,-0.0003,151.76,3.9922
21.007,-46.582,406,405.611,24.9956,-0.0044,155.64,3.9881
20.997,-46.582,406,405.628,24.9958,-0.0042,155.70,3.9990
20.965,-46.582,406,405.645,24.9960,-0.0040,155.74,4.0314
20.954,-46.582,406,405.800,24.9977,-0.0023,154.31,4.0439
20.954,-46.582,406,405.582,24.9952,-0.0048,156.75,4.0414
20.954,-46.582,406,405.713,24.9967,-0.0033,155.61,4.0429
20.954,-46.582,406,405.700,24.9966,-0.0034,155.92,4.0427
20.932,-46.582,406,405.645,24.9960,-0.0040,156.68,4.0635
20.922,-46.582,406,405.776,24.9975,-0.0025,155.50,4.0758
20.932,-46.582,406,405.778,24.9975,-0.0025,155.62,4.0651
20.922,-46.582,406,405.722,24.9968,-0.0032,156.35,4.0751
20.922,-46.582,406,405.650,24.9960,-0.0040,157.27,4.0743
20.911,-46.582,406,405.744,24.9971,-0.0029,156.49,4.0861
20.900,-46.582,406,405.757,24.9972,-0.0028,156.51,4.0970
20.879,-46.582,406,406.019,25.0002,0.0002,153.87,4.1214
20.857,-46.582,406,405.868,24.9985,-0.0015,155.47,4.1412
20.825,-46.582,406,405.680,24.9964,-0.0036,157.54,4.1712
20.825,-46.582,406,405.640,24.9959,-0.0041,158.14,4.1707
20.836,-46.582,406,405.782,24.9975,-0.0025,156.86,4.1616
20.793,-46.582,406,405.704,24.9966,-0.0034,157.82,4.2036
20.793,-46.582,406,405.659,24.9961,-0.0039,158.48,4.2031
20.761,-46.582,406,405.500,24.9943,-0.0057,160.36,4.2335
20.772,-46.582,406,405.623,24.9957,-0.0043,159.36,4.2242
20.772,-46.582,406,405.915,24.9990,-0.0010,156.49,4.2275
20.750,-46.582,406,405.823,24.9980,-0.0020,157.52,4.2479
20.729,-46.582,406,405.950,24.9994,-0.0006,156.27,4.2708
20.707,-46.582,406,405.975,24.9997,-0.0003,156.04,4.2925
20.686,-46.582,406,405.948,24.9994,-0.0006,156.35,4.3137
20.675,-46.582,406,405.893,24.9988,-0.0012,156.95,4.3238
20.664,-46.582,406,405.812,24.9979,-0.0021,157.87,4.3336
20.621,-46.582,406,405.633,24.9958,-0.0042,159.89,4.3744
20.611,-46.582,406,405.755,24.9972,-0.0028,158.81,4.3865
20.621,-46.582,406,405.656,24.9961,-0.0039,160.02,4.3747
20.578,-46.582,406,405.475,24.9940,-0.0060,162.14,4.4155
20.600,-46.582,406,405.389,24.9931,-0.0069,163.36,4.3931
20.589,-46.582,406,405.348,24.9926,-0.0074,164.16,4.4034
20.568,-46.582,406,405.497,24.9943,-0.0057,162.98,4.4265
20.578,-46.582,406,405.610,24.9956,-0.0044,162.09,4.4171
20.578,-46.582,406,405.593,24.9954,-0.0046,162.49,4.4169
20.546,-46.582,406,405.360,24.9927,-0.0073,165.21,4.4464
20.546,-46.582,406,405.406,24.9932,-0.0068,165.10,4.4469
20.536,-46.582,406,405.474,24.9940,-0.0060,164.74,4.4584
20.525,-46.582,406,405.476,24.9940,-0.0060,165.04,4.4692
20.536,-46.582,406,405.296,24.9920,-0.0080,167.26,4.4564
20.514,-46.582,406,405.702,24.9966,-0.0034,163.38,4.4825
20.493,-46.582,406,405.689,24.9965,-0.0035,163.69,4.5038
20.503,-46.582,406,405.641,24.9959,-0.0041,164.39,4.4925
20.482,-46.582,406,405.643,24.9959,-0.0041,164.58,4.5140
20.503,-46.582,406,405.541,24.9948,-0.0052,165.88,4.4914
20.482,-46.582,406,405.665,24.9962,-0.0038,164.84,4.5142
20.503,-46.582,406,405.646,24.9960,-0.0040,165.24,4.4926
20.493,-46.582,406,405.496,24.9943,-0.0057,167.05,4.5016
20.493,-46.582,406,405.670,24.9962,-0.0037,165.50,4.5036
20.482,-46.582,406,405.653,24.9961,-0.0039,165.89,4.5141
20.471,-46.582,406,405.648,24.9960,-0.0040,166.14,4.5248
20.471,-46.582,406,405.425,24.9935,-0.0065,168.72,4.5222
20.471,-46.582,406,405.217,24.9911,-0.0089,171.26,4.5199
20.482,-46.582,406,405.433,24.9936,-0.0064,169.45,4.5116
20.471,-46.582,406,405.364,24.9928,-0.0072,170.51,4.5215
20.503,-46.582,406,405.554,24.9949,-0.0051,168.88,4.4915
20.493,-46.582,406,405.341,24.9925,-0.0075,171.41,4.4998
20.471,-46.582,406,405.413,24.9933,-0.0067,171.04,4.5221
20.503,-46.582,406,405.537,24.9947,-0.0053,170.08,4.4913
20.514,-46.582,406,405.420,24.9934,-0.0066,171.60,4.4793
20.482,-46.582,406,405.681,24.9964,-0.0036,169.18,4.5144
20.503,-46.582,406,405.484,24.9941,-0.0059,171.46,4.4907
20.525,-46.582,406,405.377,24.9929,-0.0071,172.91,4.4681
20.503,-46.582,406,405.680,24.9964,-0.0036,170.06,4.4930
20.514,-46.582,406,405.818,24.9979,-0.0021,168.79,4.4838
20.514,-46.582,406,405.485,24.9941,-0.0059,172.44,4.4800
20.503,-46.582,406,405.600,24.9955,-0.0045,171.53,4.4920
20.503,-46.582,406,405.618,24.9957,-0.0043,171.57,4.4922
20.514,-46.582,406,405.723,24.9969,-0.0031,170.69,4.4827
20.493,-46.582,406,405.741,24.9971,-0.0029,170.67,4.5044
20.493,-46.582,406,405.651,24.9960,-0.0040,171.78,4.5033
20.525,-46.582,406,405.503,24.9944,-0.0056,173.55,4.4695
20.525,-46.582,406,405.772,24.9974,-0.0026,171.00,4.4725
20.503,-46.582,406,405.695,24.9965,-0.0035,171.95,4.4931
20.525,-46.582,406,405.671,24.9963,-0.0037,172.39,4.4714
20.493,-46.582,406,405.735,24.9970,-0.0030,171.91,4.5043
20.503,-46.582,406,405.651,24.9960,-0.0040,172.96,4.4926
20.525,-46.582,406,405.815,24.9979,-0.0021,171.43,4.4730
20.536,-46.582,406,405.934,24.9993,-0.0007,170.28,4.4637
20.525,-46.582,406,405.819,24.9979,-0.0021,171.54,4.4731
20.514,-46.582,406,405.686,24.9964,-0.0036,173.06,4.4823
20.536,-46.582,406,406.062,25.0007,0.0007,169.26,4.4651
20.568,-46.582,406,406.114,25.0013,0.0013,168.67,4.4335
20.536,-46.582,406,406.183,25.0021,0.0021,167.87,4.4665
20.546,-46.582,406,406.171,25.0019,0.0019,167.89,4.4556
20.557,-46.582,406,406.526,25.0060,0.0060,164.03,4.4489
20.557,-46.582,406,406.184,25.0021,0.0021,167.33,4.4450
20.557,-46.582,406,406.081,25.0009,0.0009,168.32,4.4439
20.557,-46.582,406,406.453,25.0052,0.0052,164.32,4.4481
20.557,-46.582,406,406.419,25.0048,0.0048,164.41,4.4477
20.557,-46.582,406,406.086,25.0010,0.0010,167.69,4.4439
20.578,-46.582,406,406.222,25.0025,0.0025,166.20,4.4240
20.557,-46.582,406,406.248,25.0028,0.0028,165.79,4.4458
