resistance,temp_c
10000.421,27.095
10000.421,27.162
10000.421,27.254
10000.421,27.334
10000.421,27.462
10000.421,27.561
10000.421,27.657
10000.421,27.768
10000.421,27.861
10000.421,27.938
10000.421,28.004
10000.421,28.081
10000.421,28.117
10000.413,28.183
10000.413,28.173
10000.413,28.209
10000.413,28.228
10000.413,28.202
10000.413,28.192
10000.413,28.18
10000.413,28.169
10000.413,28.152
10000.413,28.124
10000.413,28.108
10000.413,28.078
10000.413,28.04
10000.413,28.01
10000.417,28.0
10000.417,27.972
10000.417,27.959
10000.417,27.949
10000.417,27.931
10000.417,27.928
10000.417,27.93
10000.417,27.921
10000.417,27.917
10000.417,27.928
10000.417,27.938
10000.417,27.935
10000.417,27.947
10000.425,27.954
10000.425,27.969
10000.425,27.973
10000.425,27.961
10000.425,27.976
10000.425,27.991
10000.425,27.997
10000.425,28.01
10000.425,28.01
10000.425,28.017
10000.425,28.015
10000.425,28.005
10000.425,28.021
10000.425,28.019
10000.424,28.025
10000.424,28.015
10000.424,28.024
10000.424,28.029
10000.424,28.011
10000.424,28.007
10000.424,28.005
10000.424,28.01
10000.424,28.005
10000.424,27.987
10000.424,28.0
10000.424,27.996
10000.424,28.019
10000.429,27.996
10000.429,28.001
10000.429,28.003
10000.429,28.004
10000.429,28.003
10000.429,28.01
10000.429,28.014
10000.429,28.012
10000.429,28.001
10000.429,28.003
10000.429,28.017
10000.429,28.004
10000.429,28.021
10000.429,28.021
10000.429,28.014
10000.429,28.018
10000.429,28.012
10000.429,28.01
10000.429,28.015
10000.429,28.007
10000.429,28.021
10000.429,28.017
10000.429,28.017
10000.429,28.017
10000.429,28.007
10000.429,28.014
10000.429,28.008
10000.431,28.017
10000.431,28.029
10000.431,28.029
10000.431,28.028
10000.431,28.021
10000.431,28.017
10000.431,28.035
10000.431,28.015
10000.431,28.015
10000.431,28.032
10000.431,28.019
10000.431,28.022
10000.431,28.014
10000.428,28.0
10000.428,28.017
10000.428,28.014
10000.428,28.015
10000.428,28.012
10000.428,28.033
10000.428,28.029
10000.428,28.032
10000.428,28.033
10000.428,28.022
10000.428,28.026
10000.428,28.019
10000.428,28.024
10000.428,28.022
10000.432,28.018
10000.432,28.015
10000.432,28.017
10000.432,28.018
10000.432,28.022
10000.432,28.029
10000.432,28.024
10000.432,28.015
10000.432,28.017
10000.432,28.024
10000.432,28.025
10000.432,28.032
10000.432,28.015
10000.433,28.031
10000.433,28.031
10000.433,28.021
10000.433,28.032
10000.433,28.008
10000.433,28.025
10000.433,28.025
10000.433,28.029
10000.433,28.033
10000.433,28.019
10000.433,28.029
10000.433,28.014
10000.433,28.025
10000.433,28.021
10000.433,28.012
10000.433,28.025
10000.433,28.022
10000.433,28.014
10000.433,28.032
10000.433,28.032
10000.433,28.031
10000.433,28.031
10000.433,28.036
10000.433,28.032
10000.433,28.022
10000.433,28.015
10000.433,28.032
10000.432,28.024
10000.432,28.028
10000.432,28.025
10000.432,28.038
10000.432,28.022
10000.432,28.021
10000.432,28.036
10000.432,28.024
10000.432,28.011
10000.432,28.004
10000.432,28.029
10000.432,28.032
10000.432,28.021
10000.432,28.018
10000.432,28.011
10000.432,28.026
10000.432,28.026
10000.432,28.049
10000.432,28.017
10000.432,28.032
10000.432,28.026
10000.432,28.035
10000.432,28.029
10000.432,28.035
10000.432,28.014
10000.432,28.018
10000.432,28.038
10000.43,28.028
10000.43,28.029
10000.43,28.029
10000.43,28.035
10000.43,28.024
10000.43,28.018
10000.43,28.035
10000.43,28.017
10000.43,28.028
10000.43,28.005
10000.43,28.017
10000.43,28.018
10000.43,28.019
10000.433,28.032
10000.433,28.019
10000.433,28.017
10000.433,28.029
10000.433,28.026
10000.433,28.029
10000.433,28.035
10000.433,28.011
10000.433,28.021
10000.433,28.024
10000.433,28.017
10000.433,28.005
10000.433,28.029
10000.433,28.024
10000.434,28.031
10000.434,28.033
10000.434,28.022
10000.434,28.007
10000.434,28.012
10000.434,28.029
10000.434,28.026
10000.434,28.018
10000.434,28.026
10000.434,28.024
10000.434,28.031
10000.434,28.007
10000.434,28.014
10000.432,28.021
10000.432,28.026
10000.432,28.022
10000.432,28.028
10000.432,28.036
10000.432,28.026
10000.432,28.01
10000.432,28.033
10000.432,28.022
10000.432,28.024
10000.432,28.025
10000.432,28.017
10000.432,28.018
10000.432,28.01
10000.432,28.024
10000.432,28.021
10000.432,28.015
10000.432,28.01
10000.432,28.008
10000.432,28.025
10000.432,28.021
10000.432,28.017
10000.432,28.01
10000.432,28.01
10000.432,28.033
10000.432,28.022
10000.432,28.035
10000.434,28.022
10000.434,28.018
10000.434,28.012
10000.434,28.017
10000.434,28.029
10000.434,28.026
10000.434,28.021
10000.434,28.014
10000.434,28.032
10000.434,28.035
10000.434,28.014
10000.434,28.019
10000.434,28.014
10000.432,28.007
10000.432,28.018
10000.432,28.021
10000.432,28.026
10000.432,28.008
10000.432,28.019
10000.432,28.026
10000.432,28.01
