timestamp,ambient_c,ambient_rh,set_c,err_c,duty_cycle
1521588825.91,24.847,53.273,25.000,-0.153,0.284
1521588826.33,24.847,53.288,25.000,-0.153,0.255
1521588826.74,24.858,53.296,25.000,-0.142,0.248
1521588827.14,24.858,53.296,25.000,-0.142,0.262
1521588827.55,24.837,53.288,25.000,-0.163,0.255
1521588827.98,24.847,53.273,25.000,-0.153,0.206
1521588828.38,24.847,53.296,25.000,-0.153,0.219
1521588828.79,24.847,53.296,25.000,-0.153,0.212
1521588829.21,24.858,53.288,25.000,-0.142,0.205
1521588829.61,24.858,53.296,25.000,-0.142,0.219
1521588830.02,24.837,53.303,25.000,-0.163,0.212
1521588830.44,24.847,53.296,25.000,-0.153,0.162
1521588830.85,24.837,53.311,25.000,-0.163,0.176
1521588831.27,24.837,53.303,25.000,-0.163,0.147
1521588831.68,24.826,53.288,25.000,-0.174,0.139
1521588832.10,24.837,53.303,25.000,-0.163,0.110
1521588832.50,24.837,53.319,25.000,-0.163,0.123
1521588832.91,24.815,53.341,25.000,-0.185,0.115
1521588833.34,24.826,53.311,25.000,-0.174,0.064
1521588833.75,24.837,53.319,25.000,-0.163,0.077
1521588834.15,24.815,53.341,25.000,-0.185,0.090
1521588834.58,24.826,53.311,25.000,-0.174,0.039
1521588834.98,24.815,53.341,25.000,-0.185,0.052
1521588835.40,24.794,53.341,25.000,-0.206,0.022
1521588835.82,24.826,53.326,25.000,-0.174,0.000
1521588836.21,24.837,53.334,25.000,-0.163,0.025
1521588836.62,24.815,53.326,25.000,-0.185,0.038
1521588837.04,24.815,53.334,25.000,-0.185,0.000
1521588837.45,24.804,53.357,25.000,-0.196,0.000
1521588837.85,24.794,53.341,25.000,-0.206,0.000
1521588838.26,24.815,53.364,25.000,-0.185,0.000
1521588838.67,24.815,53.357,25.000,-0.185,0.000
1521588839.08,24.804,53.357,25.000,-0.196,0.000
1521588839.49,24.815,53.380,25.000,-0.185,0.000
1521588839.89,24.826,53.387,25.000,-0.174,0.000
1521588840.30,24.815,53.387,25.000,-0.185,0.000
1521588840.71,24.804,53.380,25.000,-0.196,0.000
1521588841.12,24.837,53.402,25.000,-0.163,0.000
1521588841.53,24.804,53.372,25.000,-0.196,0.000
1521588841.93,24.826,53.410,25.000,-0.174,0.000
1521588842.34,24.815,53.402,25.000,-0.185,0.000
1521588842.75,24.826,53.410,25.000,-0.174,0.000
1521588843.16,24.837,53.418,25.000,-0.163,0.000
1521588843.56,24.826,53.418,25.000,-0.174,0.000
1521588843.98,24.815,53.425,25.000,-0.185,0.000
1521588844.38,24.837,53.433,25.000,-0.163,0.000
1521588844.79,24.826,53.418,25.000,-0.174,0.000
1521588845.20,24.837,53.448,25.000,-0.163,0.000
1521588845.61,24.826,53.448,25.000,-0.174,0.000
1521588846.02,24.826,53.441,25.000,-0.174,0.000
1521588846.42,24.837,53.448,25.000,-0.163,0.000
1521588846.83,24.826,53.464,25.000,-0.174,0.000
1521588847.24,24.847,53.456,25.000,-0.153,0.000
1521588847.65,24.826,53.448,25.000,-0.174,0.000
1521588848.06,24.837,53.464,25.000,-0.163,0.000
1521588848.46,24.837,53.464,25.000,-0.163,0.000
1521588848.87,24.826,53.456,25.000,-0.174,0.000
1521588849.28,24.826,53.479,25.000,-0.174,0.000
1521588849.69,24.837,53.448,25.000,-0.163,0.000
1521588850.10,24.826,53.486,25.000,-0.174,0.000
1521588850.50,24.826,53.494,25.000,-0.174,0.000
1521588850.91,24.837,53.471,25.000,-0.163,0.000
1521588851.32,24.837,53.494,25.000,-0.163,0.000
1521588851.73,24.837,53.479,25.000,-0.163,0.000
1521588852.14,24.826,53.486,25.000,-0.174,0.000
1521588852.54,24.837,53.502,25.000,-0.163,0.000
1521588852.95,24.847,53.502,25.000,-0.153,0.000
1521588853.36,24.826,53.502,25.000,-0.174,0.000
1521588853.77,24.847,53.517,25.000,-0.153,0.000
1521588854.17,24.847,53.509,25.000,-0.153,0.000
1521588854.58,24.847,53.532,25.000,-0.153,0.000
1521588854.99,24.837,53.517,25.000,-0.163,0.000
1521588855.40,24.837,53.502,25.000,-0.163,0.000
1521588855.81,24.837,53.517,25.000,-0.163,0.000
1521588856.21,24.837,53.532,25.000,-0.163,0.000
1521588856.62,24.837,53.532,25.000,-0.163,0.000
1521588857.03,24.837,53.532,25.000,-0.163,0.000
1521588857.44,24.847,53.547,25.000,-0.153,0.000
1521588857.85,24.847,53.532,25.000,-0.153,0.000
1521588858.25,24.815,53.532,25.000,-0.185,0.000
1521588858.66,24.837,53.547,25.000,-0.163,0.000
1521588859.07,24.847,53.555,25.000,-0.153,0.000
1521588859.48,24.837,53.555,25.000,-0.163,0.000
1521588859.89,24.847,53.563,25.000,-0.153,0.000
1521588860.29,24.869,53.555,25.000,-0.131,0.000
1521588860.70,24.837,53.570,25.000,-0.163,0.000
1521588861.11,24.837,53.578,25.000,-0.163,0.000
1521588861.52,24.847,53.563,25.000,-0.153,0.000
1521588861.93,24.847,53.570,25.000,-0.153,0.000
1521588862.33,24.837,53.578,25.000,-0.163,0.000
1521588862.74,24.847,53.586,25.000,-0.153,0.000
1521588863.15,24.847,53.586,25.000,-0.153,0.000
1521588863.56,24.837,53.601,25.000,-0.163,0.000
1521588863.96,24.837,53.563,25.000,-0.163,0.000
1521588864.37,24.837,53.578,25.000,-0.163,0.000
1521588864.78,24.847,53.586,25.000,-0.153,0.000
1521588865.19,24.837,53.593,25.000,-0.163,0.000
1521588865.60,24.858,53.608,25.000,-0.142,0.000
1521588866.00,24.858,53.616,25.000,-0.142,0.000
1521588866.41,24.837,53.608,25.000,-0.163,0.000
1521588866.82,24.847,53.601,25.000,-0.153,0.000
1521588867.23,24.837,53.601,25.000,-0.163,0.000
1521588867.64,24.837,53.616,25.000,-0.163,0.000
1521588868.04,24.858,53.608,25.000,-0.142,0.000
1521588868.45,24.837,53.608,25.000,-0.163,0.000
1521588868.86,24.847,53.616,25.000,-0.153,0.000
1521588869.27,24.858,53.624,25.000,-0.142,0.000
1521588869.68,24.847,53.601,25.000,-0.153,0.000
1521588870.08,24.847,53.631,25.000,-0.153,0.000
1521588870.49,24.869,53.624,25.000,-0.131,0.000
1521588870.90,24.858,53.624,25.000,-0.142,0.000
1521588871.31,24.847,53.616,25.000,-0.153,0.000
1521588871.72,24.847,53.616,25.000,-0.153,0.000
1521588872.12,24.847,53.616,25.000,-0.153,0.000
1521588872.53,24.847,53.608,25.000,-0.153,0.000
1521588872.94,24.847,53.631,25.000,-0.153,0.000
1521588873.35,24.837,53.631,25.000,-0.163,0.000
1521588873.75,24.837,53.624,25.000,-0.163,0.000
1521588874.16,24.847,53.631,25.000,-0.153,0.000
1521588874.57,24.869,53.639,25.000,-0.131,0.000
1521588874.98,24.837,53.639,25.000,-0.163,0.000
1521588875.39,24.847,53.647,25.000,-0.153,0.000
1521588875.79,24.858,53.654,25.000,-0.142,0.000
1521588876.20,24.847,53.662,25.000,-0.153,0.000
1521588876.61,24.847,53.647,25.000,-0.153,0.000
1521588877.02,24.847,53.662,25.000,-0.153,0.000
1521588877.43,24.858,53.669,25.000,-0.142,0.000
1521588877.83,24.858,53.669,25.000,-0.142,0.000
1521588878.24,24.869,53.677,25.000,-0.131,0.000
1521588878.65,24.847,53.669,25.000,-0.153,0.000
1521588879.06,24.869,53.662,25.000,-0.131,0.000
1521588879.47,24.858,53.669,25.000,-0.142,0.000
1521588879.87,24.858,53.669,25.000,-0.142,0.000
1521588880.28,24.858,53.685,25.000,-0.142,0.000
1521588880.69,24.858,53.669,25.000,-0.142,0.000
