si7021_c,si7021_h,set,input,output
23.185,58.407,405,242.416,255.00
23.163,58.400,405,242.193,255.00
23.174,58.392,405,242.178,255.00
23.153,58.392,405,242.328,255.00
23.163,58.392,405,242.799,255.00
23.185,58.407,405,242.689,255.00
23.174,58.362,405,242.504,255.00
23.163,58.377,405,243.137,255.00
23.185,58.392,405,242.896,255.00
23.185,58.377,405,243.293,255.00
23.174,58.369,405,243.412,255.00
23.174,58.362,405,243.279,255.00
23.206,58.362,405,244.057,255.00
23.217,58.369,405,243.918,255.00
23.174,58.354,405,243.955,255.00
23.228,58.362,405,243.934,255.00
23.196,58.377,405,244.395,255.00
23.196,58.346,405,244.480,255.00
23.217,58.354,405,244.701,255.00
23.206,58.362,405,244.916,255.00
23.206,58.346,405,245.236,255.00
23.206,58.346,405,244.523,255.00
23.196,58.331,405,245.234,255.00
23.217,58.339,405,245.600,255.00
23.196,58.346,405,245.180,255.00
23.228,58.339,405,245.422,255.00
23.217,58.323,405,245.379,255.00
23.217,58.316,405,246.049,255.00
23.228,58.323,405,245.994,255.00
23.196,58.323,405,246.432,255.00
23.228,58.331,405,246.506,255.00
23.228,58.301,405,246.287,255.00
23.206,58.308,405,246.350,255.00
23.206,58.323,405,246.773,255.00
23.217,58.308,405,247.168,255.00
23.217,58.278,405,247.057,255.00
23.217,58.301,405,247.154,255.00
23.228,58.293,405,247.064,255.00
23.228,58.293,405,247.646,255.00
23.249,58.293,405,247.430,255.00
23.228,58.278,405,247.557,255.00
23.249,58.278,405,248.064,255.00
23.217,58.278,405,247.799,255.00
23.260,58.278,405,248.061,255.00
23.260,58.270,405,248.203,255.00
23.239,58.262,405,248.893,255.00
23.239,58.262,405,248.760,255.00
23.239,58.262,405,248.857,255.00
23.239,58.262,405,249.059,255.00
23.249,58.247,405,248.939,255.00
23.249,58.240,405,249.211,255.00
23.249,58.247,405,249.236,255.00
23.260,58.255,405,249.240,255.00
23.260,58.232,405,249.676,255.00
23.249,58.240,405,249.938,255.00
23.249,58.247,405,250.029,255.00
23.260,58.247,405,250.705,255.00
23.271,58.240,405,250.393,255.00
23.249,58.240,405,250.893,255.00
23.249,58.209,405,251.080,255.00
23.271,58.232,405,250.713,255.00
23.260,58.224,405,251.564,255.00
23.281,58.232,405,251.025,255.00
23.271,58.224,405,251.012,255.00
23.271,58.209,405,251.359,255.00
23.271,58.209,405,251.314,255.00
23.281,58.209,405,251.836,255.00
23.281,58.201,405,252.025,255.00
23.271,58.194,405,251.982,255.00
23.281,58.178,405,252.676,255.00
23.281,58.194,405,251.957,255.00
23.292,58.178,405,252.295,255.00
23.281,58.186,405,253.061,255.00
23.281,58.178,405,252.465,255.00
23.303,58.186,405,253.055,255.00
23.292,58.178,405,253.244,255.00
23.281,58.178,405,253.496,255.00
23.303,58.178,405,253.125,255.00
23.292,58.171,405,253.633,255.00
23.303,58.178,405,253.879,255.00
23.303,58.163,405,253.947,255.00
23.314,58.171,405,253.646,255.00
23.292,58.163,405,253.967,255.00
23.303,58.148,405,253.820,255.00
23.303,58.148,405,254.309,255.00
23.324,58.125,405,254.535,255.00
23.324,58.156,405,254.152,255.00
23.314,58.125,405,254.252,255.00
23.303,58.140,405,254.625,255.00
23.292,58.117,405,255.098,255.00
23.324,58.117,405,254.715,255.00
23.281,58.102,405,254.787,255.00
23.303,58.110,405,255.160,255.00
23.314,58.110,405,255.238,255.00
23.314,58.125,405,255.439,255.00
23.324,58.095,405,255.250,255.00
23.314,58.095,405,255.580,255.00
23.335,58.087,405,255.455,255.00
23.335,58.110,405,255.813,255.00
23.346,58.095,405,255.750,255.00
23.324,58.102,405,255.807,255.00
23.324,58.102,405,256.150,255.00
23.324,58.095,405,256.381,255.00
23.314,58.079,405,256.482,255.00
23.356,58.072,405,256.936,255.00
23.335,58.072,405,257.348,255.00
23.356,58.072,405,256.840,255.00
23.356,58.095,405,257.240,255.00
23.346,58.056,405,257.648,255.00
23.346,58.079,405,257.625,255.00
23.356,58.064,405,257.654,255.00
23.356,58.072,405,258.299,255.00
23.335,58.049,405,257.623,255.00
23.356,58.056,405,257.602,255.00
23.367,58.064,405,258.031,255.00
23.367,58.049,405,257.963,255.00
23.346,58.049,405,257.984,255.00
23.356,58.049,405,258.037,255.00
23.356,58.049,405,259.238,255.00
23.356,58.026,405,258.875,255.00
23.356,58.026,405,259.314,255.00
23.356,58.026,405,259.336,255.00
23.356,58.011,405,259.277,255.00
23.356,58.041,405,259.457,255.00
23.378,58.018,405,259.168,255.00
23.378,58.018,405,259.482,255.00
23.356,58.018,405,259.367,255.00
23.389,58.018,405,259.811,255.00
23.367,58.018,405,260.029,255.00
23.378,58.011,405,260.096,255.00
23.378,57.995,405,260.777,255.00
23.367,57.995,405,260.721,255.00
23.378,57.995,405,260.732,255.00
23.378,57.988,405,261.045,255.00
23.378,57.980,405,261.121,255.00
23.378,57.995,405,261.080,255.00
23.378,57.988,405,261.240,255.00
23.378,57.972,405,261.879,255.00
23.389,57.980,405,261.768,255.00
23.389,57.957,405,261.678,255.00
23.389,57.965,405,262.129,255.00
23.399,57.980,405,262.350,255.00
23.410,57.950,405,262.186,255.00
23.389,57.950,405,262.453,255.00
23.421,57.965,405,262.184,255.00
23.410,57.950,405,262.633,255.00
23.399,57.957,405,262.770,255.00
23.399,57.942,405,262.537,255.00
23.389,57.957,405,262.672,255.00
23.399,57.942,405,263.008,255.00
23.410,57.934,405,262.873,255.00
23.378,57.927,405,262.867,255.00
23.410,57.927,405,263.133,255.00
23.410,57.919,405,263.131,255.00
23.410,57.927,405,263.385,255.00
23.421,57.919,405,263.500,255.00
23.399,57.934,405,263.262,255.00
23.410,57.934,405,264.098,255.00
23.421,57.911,405,264.232,255.00
23.432,57.927,405,264.086,255.00
23.421,57.919,405,264.742,255.00
23.432,57.911,405,264.793,255.00
23.421,57.904,405,264.547,255.00
23.421,57.896,405,265.307,255.00
23.432,57.904,405,265.264,255.00
23.432,57.911,405,264.916,255.00
23.410,57.889,405,265.279,255.00
23.432,57.889,405,264.854,255.00
23.432,57.881,405,265.697,255.00
23.453,57.911,405,265.514,255.00
23.442,57.896,405,265.771,255.00
23.442,57.866,405,265.949,255.00
23.453,57.873,405,266.439,255.00
23.442,57.881,405,266.008,255.00
23.432,57.866,405,266.389,255.00
23.453,57.858,405,266.641,255.00
23.453,57.850,405,266.643,255.00
23.432,57.858,405,267.223,255.00
23.453,57.858,405,267.180,255.00
23.432,57.858,405,267.094,255.00
23.464,57.858,405,266.787,255.00
23.453,57.843,405,267.098,255.00
23.474,57.843,405,267.115,255.00
