temp_c,ppm,resistance
26.02,-119.21,9774.355
26.025,-119.21,9774.355
26.023,-119.21,9774.355
26.029,-119.21,9774.355
26.018,-119.21,9774.355
26.014,-119.21,9774.355
26.011,-119.21,9774.355
26.027,-116.82,9774.3784
26.019,-116.82,9774.3784
26.005,-116.82,9774.3784
26.014,-116.82,9774.3784
26.016,-116.82,9774.3784
26.008,-116.82,9774.3784
26.034,-116.82,9774.3784
25.996,-116.82,9774.3784
26.012,-116.82,9774.3784
26.016,-116.82,9774.3784
26.02,-116.82,9774.3784
26.015,-116.82,9774.3784
26.016,-116.82,9774.3784
26.018,-114.49,9774.4012
26.018,-114.49,9774.4012
26.022,-114.49,9774.4012
26.008,-114.49,9774.4012
26.009,-114.49,9774.4012
26.005,-114.49,9774.4012
26.015,-114.49,9774.4012
26.018,-114.49,9774.4012
26.008,-114.49,9774.4012
26.014,-114.49,9774.4012
26.008,-114.49,9774.4012
26.015,-114.49,9774.4012
26.015,-114.49,9774.4012
26.02,-112.26,9774.423
26.033,-112.26,9774.423
26.015,-112.26,9774.423
26.025,-112.26,9774.423
26.02,-112.26,9774.423
26.016,-112.26,9774.423
26.009,-112.26,9774.423
26.008,-112.26,9774.423
26.015,-112.26,9774.423
26.014,-112.26,9774.423
26.014,-112.26,9774.423
26.016,-112.26,9774.423
26.007,-112.26,9774.423
26.011,-112.26,9774.423
26.018,-110.06,9774.4445
26.011,-110.06,9774.4445
26.019,-110.06,9774.4445
26.011,-110.06,9774.4445
26.016,-110.06,9774.4445
26.008,-110.06,9774.4445
26.031,-110.06,9774.4445
26.018,-110.06,9774.4445
26.022,-110.06,9774.4445
26.007,-110.06,9774.4445
26.004,-110.06,9774.4445
26.008,-110.06,9774.4445
26.003,-110.06,9774.4445
26.004,-107.79,9774.4667
26.009,-107.79,9774.4667
26.0,-107.79,9774.4667
26.004,-107.79,9774.4667
26.005,-107.79,9774.4667
26.011,-107.79,9774.4667
26.005,-107.79,9774.4667
25.993,-107.79,9774.4667
26.009,-107.79,9774.4667
26.015,-107.79,9774.4667
26.009,-107.79,9774.4667
26.02,-107.79,9774.4667
26.014,-107.79,9774.4667
26.02,-107.79,9774.4667
26.018,-105.46,9774.4894
26.023,-105.46,9774.4894
26.005,-105.46,9774.4894
26.012,-105.46,9774.4894
26.003,-105.46,9774.4894
26.022,-105.46,9774.4894
26.0,-105.46,9774.4894
26.011,-105.46,9774.4894
26.018,-105.46,9774.4894
26.008,-105.46,9774.4894
26.014,-105.46,9774.4894
26.003,-105.46,9774.4894
26.009,-105.46,9774.4894
26.001,-103.91,9774.5046
26.007,-103.91,9774.5046
26.02,-103.91,9774.5046
26.012,-103.91,9774.5046
26.012,-103.91,9774.5046
26.012,-103.91,9774.5046
26.011,-103.91,9774.5046
26.007,-103.91,9774.5046
26.015,-103.91,9774.5046
25.997,-103.91,9774.5046
26.008,-103.91,9774.5046
26.012,-103.91,9774.5046
26.003,-103.91,9774.5046
26.001,-103.91,9774.5046
26.003,-101.78,9774.5254
25.998,-101.78,9774.5254
26.025,-101.78,9774.5254
26.003,-101.78,9774.5254
26.007,-101.78,9774.5254
26.003,-101.78,9774.5254
26.007,-101.78,9774.5254
26.0,-101.78,9774.5254
26.007,-101.78,9774.5254
26.009,-101.78,9774.5254
26.009,-101.78,9774.5254
26.019,-101.78,9774.5254
26.007,-101.78,9774.5254
26.004,-100.12,9774.5416
26.014,-100.12,9774.5416
26.011,-100.12,9774.5416
26.023,-100.12,9774.5416
26.02,-100.12,9774.5416
26.001,-100.12,9774.5416
26.005,-100.12,9774.5416
26.004,-100.12,9774.5416
26.003,-100.12,9774.5416
26.018,-100.12,9774.5416
26.004,-100.12,9774.5416
26.016,-100.12,9774.5416
26.009,-100.12,9774.5416
26.023,-99.24,9774.5502
26.018,-99.24,9774.5502
26.007,-99.24,9774.5502
26.011,-99.24,9774.5502
26.015,-99.24,9774.5502
26.003,-99.24,9774.5502
