resistance,ppm,temp_c
9984.8554,-0.07,25.018
9984.8554,-0.07,24.997
9984.8554,-0.07,25.012
9984.8564,0.03,25.005
9984.8564,0.03,24.999
9984.8564,0.03,24.986
9984.8564,0.03,24.951
9984.8564,0.03,25.001
9984.8564,0.03,24.99
9984.8564,0.03,24.995
9984.8564,0.03,24.999
9984.8564,0.03,25.0
9984.8564,0.03,25.007
9984.8564,0.03,25.001
9984.8564,0.03,25.005
9984.8564,0.03,25.014
9984.8564,0.03,25.008
9984.8544,-0.17,25.015
9984.8544,-0.17,25.01
9984.8544,-0.17,25.007
9984.8544,-0.17,25.005
9984.8544,-0.17,25.004
9984.8544,-0.17,25.011
9984.8544,-0.17,25.011
9984.8544,-0.17,25.011
9984.8544,-0.17,24.993
9984.8544,-0.17,25.019
9984.8544,-0.17,25.008
9984.8544,-0.17,25.004
9984.8544,-0.17,25.004
9984.8557,-0.04,24.99
9984.8557,-0.04,24.999
9984.8557,-0.04,25.01
9984.8557,-0.04,24.993
9984.8557,-0.04,24.993
9984.8557,-0.04,24.986
9984.8557,-0.04,24.99
9984.8557,-0.04,24.99
9984.8557,-0.04,24.999
9984.8557,-0.04,25.0
9984.8557,-0.04,24.989
9984.8557,-0.04,24.988
9984.8557,-0.04,24.996
9984.8557,-0.04,24.997
9984.8557,-0.04,25.003
9984.8557,-0.04,24.999
9984.8557,-0.04,25.001
9984.8557,-0.04,25.004
9984.8557,-0.04,24.992
9984.8557,-0.04,25.015
9984.8557,-0.04,25.008
9984.8557,-0.04,25.004
9984.8557,-0.04,24.995
9984.8557,-0.04,24.999
9984.8557,-0.04,24.999
9984.8557,-0.04,25.004
9984.8557,-0.04,25.004
9984.8551,-0.10,24.999
9984.8551,-0.10,25.018
9984.8551,-0.10,25.011
9984.8551,-0.10,25.003
9984.8551,-0.10,25.004
9984.8551,-0.10,25.012
9984.8551,-0.10,25.004
9984.8551,-0.10,24.999
9984.8551,-0.10,24.995
9984.8551,-0.10,24.995
9984.8551,-0.10,24.988
9984.8551,-0.10,25.005
9984.8551,-0.10,24.999
9984.8572,0.11,24.997
9984.8572,0.11,25.001
9984.8572,0.11,25.007
9984.8572,0.11,24.988
9984.8572,0.11,24.973
9984.8572,0.11,24.995
9984.8572,0.11,24.993
9984.8572,0.11,24.993
9984.8572,0.11,25.007
9984.8572,0.11,25.0
9984.8572,0.11,25.003
9984.8572,0.11,25.016
9984.8572,0.11,25.021
9984.8572,0.11,25.03
9984.8549,-0.12,25.001
9984.8549,-0.12,25.018
9984.8549,-0.12,25.015
9984.8549,-0.12,25.014
9984.8549,-0.12,24.993
9984.8549,-0.12,25.023
9984.8549,-0.12,25.005
9984.8549,-0.12,25.011
9984.8549,-0.12,25.008
9984.8549,-0.12,24.995
9984.8549,-0.12,24.997
9984.8549,-0.12,25.004
9984.8549,-0.12,24.996
9984.8562,0.01,24.993
9984.8562,0.01,24.993
9984.8562,0.01,25.003
9984.8562,0.01,25.005
9984.8562,0.01,24.993
9984.8562,0.01,24.988
9984.8562,0.01,25.003
9984.8562,0.01,24.99
9984.8562,0.01,24.988
