timestamp,lm399,temp_c,humidity
1516251960.84,6.885884,20.516,53.410
1516251963.84,6.885884,20.505,53.418
1516251966.84,6.885885,20.516,53.395
1516251970.84,6.885885,20.505,53.380
1516251973.84,6.885883,20.505,53.380
1516251976.84,6.885884,20.516,53.349
1516251980.84,6.885885,20.516,53.334
1516251983.84,6.885885,20.484,53.357
1516251986.84,6.885885,20.495,53.334
1516251990.83,6.885884,20.495,53.288
1516251993.84,6.885885,20.484,53.258
1516251996.83,6.885884,20.505,53.242
1516252000.83,6.885884,20.495,53.242
1516252003.84,6.885886,20.484,53.212
1516252007.83,6.885888,20.505,53.212
1516252010.83,6.885884,20.484,53.204
1516252013.83,6.885885,20.484,53.204
1516252017.83,6.885886,20.505,53.212
1516252020.83,6.885885,20.484,53.204
1516252023.83,6.885885,20.473,53.189
1516252027.83,6.885885,20.463,53.166
1516252030.83,6.885884,20.473,53.174
1516252033.83,6.885885,20.463,53.174
1516252037.83,6.885884,20.452,53.196
1516252040.83,6.885884,20.452,53.196
1516252043.83,6.885885,20.441,53.242
1516252047.83,6.885886,20.452,53.280
1516252050.82,6.885885,20.452,53.303
1516252053.83,6.885885,20.441,53.334
1516252057.82,6.885886,20.430,53.319
1516252060.82,6.885887,20.452,53.273
1516252064.83,6.885886,20.430,53.273
1516252067.82,6.885886,20.420,53.280
1516252070.82,6.885887,20.420,53.242
1516252074.82,6.885887,20.409,53.219
1516252077.82,6.885887,20.420,53.196
1516252080.82,6.885886,20.430,53.158
1516252084.82,6.885886,20.409,53.143
1516252087.82,6.885887,20.409,53.143
1516252090.82,6.885888,20.409,53.189
1516252094.82,6.885888,20.388,53.212
1516252097.82,6.885891,20.388,53.227
1516252100.82,6.885891,20.366,53.258
1516252104.82,6.885891,20.388,53.311
1516252107.82,6.885890,20.388,53.372
1516252110.82,6.885884,20.366,53.425
1516252114.82,6.885886,20.366,53.494
1516252117.82,6.885885,20.356,53.525
1516252120.81,6.885884,20.356,53.563
1516252124.82,6.885884,20.366,53.570
1516252127.81,6.885884,20.366,53.555
1516252131.81,6.885884,20.356,53.517
1516252134.81,6.885883,20.388,53.441
1516252137.81,6.885884,20.356,53.418
1516252141.81,6.885883,20.366,53.349
1516252144.81,6.885882,20.377,53.319
1516252147.81,6.885883,20.377,53.258
1516252151.81,6.885883,20.388,53.227
1516252154.81,6.885883,20.377,53.212
1516252157.81,6.885881,20.366,53.166
1516252161.81,6.885882,20.398,53.128
1516252164.81,6.885884,20.388,53.105
1516252167.81,6.885885,20.366,53.059
1516252171.81,6.885885,20.388,53.044
1516252174.81,6.885887,20.377,53.013
1516252177.81,6.885883,20.377,53.006
1516252181.8,6.885884,20.377,52.983
1516252184.81,6.885885,20.377,52.983
1516252188.81,6.885886,20.366,52.983
