timestamp,microvolts,temp_c,"Savitzky-Golay (151,2)"
1545283084.92,7045698.39,20.082,7045697.21633
1545283090.1,7045695.51,20.091,7045697.22363
1545283095.27,7045693.56,20.085,7045697.24878
1545283100.45,7045697.04,20.088,7045697.26237
1545283105.62,7045699.87,20.096,7045697.28102
1545283110.8,7045698.97,20.099,7045697.27596
1545283115.99,7045698.34,20.098,7045697.24629
1545283121.17,7045698.5,20.102,7045697.21192
1545283126.34,7045698.83,20.095,7045697.19402
1545283131.52,7045698.55,20.098,7045697.17985
1545283136.69,7045698.48,20.102,7045697.19138
1545283141.87,7045699.39,20.107,7045697.21062
1545283147.04,7045696.4,20.104,7045697.25171
1545283152.21,7045698.42,20.102,7045697.28914
1545283157.39,7045697.57,20.108,7045697.32836
1545283162.56,7045698.0,20.113,7045697.33919
1545283167.74,7045699.64,20.107,7045697.35001
1545283172.92,7045699.29,20.108,7045697.35211
1545283178.11,7045698.92,20.11,7045697.34988
1545283183.28,7045697.25,20.11,7045697.34463
1545283188.44,7045698.52,20.118,7045697.34837
1545283193.62,7045696.82,20.125,7045697.36664
1545283198.79,7045696.86,20.122,7045697.40167
1545283203.98,7045695.09,20.121,7045697.44714
1545283209.14,7045697.64,20.119,7045697.46016
1545283214.33,7045695.75,20.116,7045697.46318
1545283219.49,7045693.1,20.122,7045697.48384
1545283224.66,7045694.14,20.128,7045697.51628
1545283229.83,7045697.33,20.127,7045697.53939
1545283235.01,7045697.87,20.125,7045697.52155
1545283240.18,7045699.1,20.133,7045697.49281
1545283245.36,7045697.51,20.134,7045697.46029
1545283250.55,7045698.96,20.13,7045697.41696
1545283255.71,7045698.84,20.13,7045697.38879
1545283260.9,7045699.22,20.133,7045697.36039
1545283266.06,7045699.85,20.139,7045697.35684
1545283271.25,7045699.63,20.136,7045697.32316
1545283276.42,7045698.66,20.14,7045697.30896
1545283281.6,7045696.21,20.142,7045697.31492
1545283286.77,7045697.11,20.145,7045697.33639
1545283291.95,7045696.93,20.147,7045697.35793
1545283297.12,7045694.17,20.15,7045697.36816
1545283302.28,7045694.05,20.142,7045697.39917
1545283307.47,7045694.63,20.147,7045697.4366
1545283312.64,7045697.57,20.148,7045697.4899
1545283317.82,7045696.29,20.154,7045697.52087
