timestamp,v,temp_c
1545299139.15,7045696.12,20.311
1545299144.32,7045695.78,20.318
1545299149.49,7045696.03,20.311
1545299154.67,7045695.49,20.307
1545299159.84,7045695.16,20.307
1545299165.01,7045695.18,20.295
1545299170.19,7045696.41,20.303
1545299175.36,7045695.96,20.3
1545299180.54,7045696.21,20.295
1545299185.71,7045697.89,20.3
1545299190.89,7045698.62,20.295
1545299196.06,7045695.01,20.285
1545299201.24,7045696.61,20.289
1545299206.41,7045694.29,20.277
1545299211.59,7045694.02,20.278
1545299216.76,7045692.87,20.271
1545299221.93,7045692.26,20.263
1545299227.11,7045692.93,20.255
1545299232.28,7045693.89,20.249
1545299237.46,7045694.51,20.246
1545299242.63,7045695.51,20.242
1545299247.81,7045695.57,20.232
1545299252.98,7045696.15,20.231
1545299258.16,7045699.16,20.229
1545299263.35,7045697.82,20.213
1545299268.51,7045698.05,20.214
1545299273.7,7045695.75,20.208
1545299278.86,7045695.45,20.205
1545299284.05,7045694.65,20.2
1545299289.21,7045696.42,20.206
1545299294.38,7045696.84,20.203
1545299299.56,7045697.17,20.202
1545299304.73,7045694.96,20.208
1545299309.91,7045695.44,20.194
1545299315.08,7045694.87,20.19
1545299320.27,7045695.0,20.193
1545299325.43,7045694.93,20.19
1545299330.62,7045695.95,20.186
1545299335.79,7045695.84,20.177
1545299340.97,7045694.47,20.176
1545299346.14,7045694.75,20.182
1545299351.32,7045694.45,20.165
1545299356.49,7045694.72,20.17
1545299361.67,7045694.31,20.154
1545299366.84,7045694.7,20.167
1545299372.02,7045695.52,20.151
1545299377.19,7045695.24,20.154
1545299382.37,7045695.69,20.154
1545299387.55,7045696.87,20.153
1545299392.74,7045696.5,20.144
1545299397.92,7045696.22,20.14
1545299403.09,7045694.99,20.137
1545299408.26,7045695.61,20.136
1545299413.44,7045695.34,20.134
1545299418.62,7045695.88,20.136
1545299423.79,7045696.72,20.124
1545299428.97,7045695.15,20.122
1545299434.14,7045695.55,20.116
1545299439.32,7045696.65,20.11
1545299444.49,7045695.62,20.11
1545299449.67,7045696.48,20.107
1545299454.84,7045697.4,20.101
1545299460.02,7045696.29,20.093
1545299465.19,7045695.15,20.088
1545299470.37,7045695.21,20.087
1545299475.56,7045695.24,20.078
1545299480.74,7045695.89,20.068
1545299485.91,7045695.98,20.064
1545299491.09,7045695.91,20.061
1545299496.26,7045696.02,20.058
1545299501.44,7045696.1,20.061
1545299506.61,7045696.28,20.055
1545299511.79,7045695.75,20.055
1545299516.96,7045697.44,20.056
1545299522.14,7045696.64,20.05
1545299527.31,7045696.75,20.055
1545299532.49,7045696.93,20.058
1545299537.66,7045697.56,20.053
1545299542.84,7045696.03,20.052
1545299548.01,7045698.95,20.05
1545299553.19,7045698.98,20.042
1545299558.38,7045698.75,20.042
1545299563.56,7045700.6,20.036
1545299568.73,7045697.5,20.038
1545299573.91,7045695.94,20.029
1545299579.09,7045698.77,20.023
1545299584.26,7045701.19,20.013
1545299589.44,7045700.65,20.015
1545299594.61,7045697.46,20.009
1545299599.79,7045696.0,20.006
1545299604.96,7045694.68,20.0
1545299610.15,7045695.95,20.001
1545299615.32,7045694.26,19.99
1545299620.5,7045695.0,20.001
1545299625.67,7045693.54,19.993
1545299630.85,7045694.31,19.989
1545299636.02,7045693.48,19.992
1545299641.2,7045695.64,19.993
1545299646.37,7045695.96,19.989
1545299651.55,7045695.76,19.99
1545299656.72,7045695.19,19.99
1545299661.9,7045695.36,19.992
1545299667.07,7045698.11,19.992
1545299672.24,7045698.63,19.983
1545299677.42,7045696.91,19.996
1545299682.59,7045698.18,19.996
1545299687.77,7045695.87,20.001
1545299692.94,7045695.18,19.996
1545299698.12,7045693.38,19.993
1545299703.29,7045693.25,19.989
1545299708.45,7045692.45,19.995
1545299713.64,7045693.15,19.995
1545299718.81,7045695.86,19.984
1545299723.99,7045695.22,19.995
1545299729.16,7045695.48,19.987
1545299734.34,7045697.17,19.983
1545299739.51,7045696.11,19.983
1545299744.69,7045696.74,19.98
1545299749.86,7045696.23,19.981
1545299755.04,7045696.05,19.975
1545299760.21,7045695.0,19.981
1545299765.39,7045695.52,19.977
1545299770.56,7045695.64,19.975
1545299775.74,7045697.57,19.97
1545299780.91,7045695.58,19.963
1545299786.09,7045694.34,19.963
1545299791.26,7045695.77,19.972
1545299796.44,7045695.37,19.958
1545299801.61,7045694.77,19.96
1545299806.79,7045694.06,19.958
1545299811.96,7045695.44,19.96
1545299817.14,7045695.39,19.96
1545299822.31,7045695.59,19.958
1545299827.49,7045696.5,19.951
1545299832.66,7045696.02,19.955
1545299837.84,7045695.95,19.947
1545299843.01,7045694.75,19.947
1545299848.19,7045695.63,19.941
1545299853.36,7045697.26,19.951
1545299858.54,7045696.52,19.943
1545299863.71,7045692.97,19.935
1545299868.89,7045693.33,19.935
1545299874.06,7045694.5,19.949
1545299879.25,7045695.22,19.94
1545299884.41,7045696.78,19.943
1545299889.6,7045695.42,19.94
1545299894.76,7045695.17,19.941
1545299899.93,7045694.25,19.946
1545299905.11,7045694.94,19.947
1545299910.28,7045695.27,19.952
1545299915.46,7045695.73,19.949
1545299920.65,7045695.21,19.958
1545299925.82,7045696.32,19.951
1545299931.0,7045695.75,19.957
1545299936.17,7045695.46,19.958
1545299941.33,7045696.07,19.969
1545299946.52,7045696.14,19.964
1545299951.68,7045696.57,19.958
1545299956.85,7045695.07,19.967
1545299962.03,7045696.6,19.969
1545299967.2,7045695.61,19.973
1545299972.37,7045696.09,19.964
1545299977.55,7045695.72,19.96
1545299982.72,7045695.6,19.967
1545299987.89,7045694.48,19.969
1545299993.07,7045693.05,19.97
1545299998.24,7045693.14,19.966
1545300003.42,7045694.34,19.975
1545300008.59,7045695.41,19.978
1545300013.77,7045694.85,19.977
1545300018.94,7045694.57,19.978
1545300024.12,7045693.06,19.983
1545300029.29,7045691.79,19.977
1545300034.47,7045692.55,19.983
1545300039.64,7045693.81,19.986
1545300044.82,7045695.99,19.981
