timestamp,resistance,ppm,temp_c,ambient_c,savgol_151_2
1518020032.58,119.97821,1.15,24.995,19.474,-0.0832056239537
1518020033.58,119.97821,1.15,24.997,19.474,-0.0783634653915
1518020034.58,119.97821,1.15,24.998,19.495,-0.0738730871699
1518020035.57,119.97806,-0.1,25.002,19.485,-0.0697272558519
1518020036.58,119.97806,-0.1,25.0,19.506,-0.0659187380006
1518020037.58,119.97806,-0.1,25.002,19.495,-0.0506449001219
1518020038.58,119.97813,0.48,24.996,19.463,-0.0353481418346
1518020039.58,119.97813,0.48,24.997,19.485,-0.0200110331701
1518020040.58,119.97813,0.48,24.994,19.453,-0.0264023150484
1518020041.58,119.9781,0.23,24.998,19.463,-0.0331781456082
1518020042.58,119.9781,0.23,24.997,19.485,-0.0403400063968
1518020043.58,119.9781,0.23,25.003,19.485,-0.0374154145413
1518020044.58,119.9781,0.23,25.003,19.485,-0.0355875163079
1518020045.58,119.97787,-1.68,25.005,19.485,-0.0348482939111
1518020046.58,119.97787,-1.68,25.002,19.485,-0.0351897295653
1518020047.58,119.97787,-1.68,25.001,19.463,-0.0297248330863
1518020048.58,119.97811,0.32,24.996,19.474,-0.0248778725678
1518020049.58,119.97811,0.32,24.995,19.485,-0.0206349911848
1518020050.58,119.97811,0.32,24.993,19.474,-0.0307826230186
1518020051.58,119.97791,-1.35,24.997,19.453,-0.0406966061237
1518020052.58,119.97791,-1.35,24.997,19.474,-0.0503755461027
1518020053.58,119.97791,-1.35,25.002,19.474,-0.0653913507267
1518020054.58,119.97791,-1.35,25.001,19.453,-0.0883144610349
1518020055.58,119.97816,0.73,25.003,19.495,-0.111180183172
1518020056.58,119.97816,0.73,24.997,19.474,-0.133999410867
1518020057.58,119.97816,0.73,24.996,19.495,-0.161752104015
1518020058.58,119.97807,-0.02,24.992,19.474,-0.189484447675
1518020059.58,119.97807,-0.02,24.996,19.474,-0.217211693069
1518020060.58,119.97807,-0.02,24.994,19.485,-0.223976211579
1518020061.58,119.97796,-0.93,24.999,19.474,-0.231734281872
1518020062.58,119.97796,-0.93,24.999,19.474,-0.240482330805
1518020063.58,119.97796,-0.93,25.003,19.474,-0.266167960406
1518020064.58,119.97796,-0.93,25.001,19.485,-0.284058298016
1518020065.58,119.97813,0.48,25.001,19.485,-0.301364557379
1518020066.58,119.97813,0.48,24.996,19.485,-0.318091095988
1518020067.58,119.97813,0.48,24.995,19.495,-0.326870919753
1518020068.58,119.9781,0.23,24.991,19.474,-0.335237696839
1518020069.58,119.9781,0.23,24.995,19.495,-0.343189248498
1518020070.58,119.9781,0.23,24.996,19.463,-0.341002397492
1518020071.58,119.97798,-0.77,25.002,19.495,-0.338821516251
1518020072.58,119.97798,-0.77,25.002,19.474,-0.336635711043
1518020073.58,119.97798,-0.77,25.004,19.474,-0.344811961142
1518020074.58,119.97798,-0.77,24.998,19.453,-0.341993169195
1518020075.58,119.97807,-0.02,24.998,19.453,-0.337778280342
1518020076.58,119.97807,-0.02,24.994,19.485,-0.33215709805
1518020077.58,119.97807,-0.02,24.996,19.485,-0.347287225838
1518020078.58,119.97812,0.4,24.996,19.474,-0.362213684443
1518020079.58,119.97812,0.4,25.0,19.474,-0.37694518885
1518020080.59,119.97812,0.4,24.999,19.474,-0.38428359779
1518020081.59,119.97789,-1.52,25.005,19.474,-0.391931432247
1518020082.58,119.97789,-1.52,25.004,19.463,-0.399890870967
1518020083.58,119.97789,-1.52,25.004,19.474,-0.408164092696
1518020084.58,119.97789,-1.52,24.999,19.474,-0.410029613517
1518020085.58,119.97803,-0.35,24.997,19.495,-0.411878532292
1518020086.59,119.97803,-0.35,24.993,19.474,-0.413707275879
1518020087.59,119.97803,-0.35,24.996,19.453,-0.425613791986
1518020088.59,119.97805,-0.18,24.996,19.474,-0.436239074678
1518020089.59,119.97805,-0.18,25.001,19.453,-0.445588962995
1518020090.58,119.97805,-0.18,25.0,19.463,-0.447889152372
1518020091.58,119.97805,-0.18,25.003,19.453,-0.45067659652
1518020092.59,119.97812,0.4,25.001,19.453,-0.453951295439
1518020093.59,119.97812,0.4,25.001,19.485,-0.457713249129
1518020094.59,119.97812,0.4,24.996,19.453,-0.469938045177
1518020095.59,119.97797,-0.85,24.997,19.474,-0.482111204943
1518020096.59,119.97797,-0.85,24.993,19.474,-0.494239961863
1518020097.59,119.97797,-0.85,24.995,19.495,-0.487430857494
1518020098.59,119.97807,-0.02,24.995,19.495,-0.479148049282
1518020099.59,119.97807,-0.02,25.001,19.495,-0.469382822243
1518020100.59,119.97807,-0.02,25.001,19.485,-0.474832816099
1518020101.59,119.97807,-0.02,25.006,19.485,-0.480606266597
1518020102.59,119.97807,-0.02,25.005,19.495,-0.486708315577
1518020103.59,119.97807,-0.02,25.005,19.485,-0.49314410488
1518020104.59,119.97807,-0.02,24.999,19.506,-0.496703199881
1518020105.59,119.97801,-0.52,24.997,19.485,-0.499340728869
1518020106.59,119.97801,-0.52,24.992,19.495,-0.501059567789
1518020107.59,119.97801,-0.52,24.994,19.485,-0.497376720011
1518020108.59,119.97797,-0.85,24.994,19.474,-0.49195488427
1518020109.59,119.97797,-0.85,24.999,19.495,-0.484793363365
1518020110.59,119.97797,-0.85,25.0,19.485,-0.464648764346
1518020111.59,119.97797,-0.85,25.006,19.485,-0.456356631101
1518020112.59,119.97793,-1.18,25.003,19.506,-0.447905536543
1518020113.59,119.97793,-1.18,25.005,19.495,-0.439295480671
1518020114.59,119.97793,-1.18,24.999,19.495,-0.417364675903
1518020115.59,119.97802,-0.43,24.999,19.474,-0.395375175716
1518020116.59,119.97802,-0.43,24.994,19.506,-0.373315389181
1518020117.59,119.97802,-0.43,24.997,19.485,-0.357776345616
1518020118.59,119.97789,-1.52,24.996,19.474,-0.34203781606
1518020119.59,119.97789,-1.52,25.0,19.495,-0.326094048625
1518020120.59,119.97789,-1.52,25.0,19.495,-0.321085895757
1518020121.59,119.97789,-1.52,25.005,19.495,-0.334718057186
1518020122.59,119.97789,-1.52,25.004,19.495,-0.348658075435
1518020123.59,119.97789,-1.52,25.005,19.495,-0.362926953616
1518020124.59,119.97789,-1.52,24.999,19.506,-0.344231290454
1518020125.59,119.97805,-0.18,24.998,19.474,-0.32543662507
1518020126.59,119.97805,-0.18,24.995,19.506,-0.306534939679
1518020127.59,119.97805,-0.18,24.997,19.495,-0.307066597296
1518020128.6,119.97812,0.4,24.997,19.485,-0.308426265568
1518020129.59,119.97812,0.4,25.002,19.495,-0.310622659482
1518020130.59,119.97812,0.4,25.0,19.495,-0.312895762688
1518020131.59,119.97812,0.4,25.005,19.485,-0.294719347004
1518020132.59,119.97815,0.65,25.001,19.485,-0.276070317722
1518020133.59,119.97815,0.65,25.003,19.485,-0.256938565461
1518020134.59,119.97815,0.65,25.0,19.474,-0.248954071161
1518020135.59,119.97793,-1.18,25.0,19.485,-0.240700458147
1518020136.6,119.97793,-1.18,24.997,19.474,-0.232177726418
1518020137.6,119.97793,-1.18,25.0,19.474,-0.240800636891
1518020138.59,119.97813,0.48,24.998,19.495,-0.249215738565
1518020139.59,119.97813,0.48,25.002,19.485,-0.25743828266
1518020140.59,119.97813,0.48,25.0,19.474,-0.265483520401
1518020141.6,119.97813,0.48,25.003,19.485,-0.253220666017
1518020142.6,119.97807,-0.02,25.001,19.463,-0.240254033077
1518020143.6,119.97807,-0.02,25.002,19.463,-0.226581442835
1518020144.6,119.97807,-0.02,24.999,19.453,-0.217169782709
1518020145.6,119.97797,-0.85,24.999,19.463,-0.207052165282
1518020146.59,119.97797,-0.85,24.996,19.474,-0.196230769298
1518020147.59,119.97797,-0.85,24.999,19.495,-0.186230577568
1518020148.6,119.9781,0.23,24.998,19.485,-0.176788493432
1518020149.6,119.9781,0.23,25.003,19.495,-0.167907479984
1518020150.6,119.9781,0.23,25.0,19.485,-0.159590500319
1518020151.6,119.9781,0.23,25.001,19.474,-0.140873067125
1518020152.6,119.97812,0.4,24.999,19.485,-0.122446322233
1518020153.6,119.97812,0.4,25.0,19.474,-0.104303729403
1518020154.6,119.97812,0.4,24.997,19.485,-0.0837601148287
1518020155.6,119.97803,-0.35,25.0,19.485,-0.0630971921192
1518020156.6,119.97803,-0.35,24.998,19.506,-0.0423062462907
1518020157.6,119.97803,-0.35,25.0,19.495,-0.0538715969076
1518020158.6,119.97803,-0.35,24.997,19.495,-0.0657080271106
1518020159.6,119.97802,-0.43,25.0,19.528,-0.0778351456143
1518020160.6,119.97802,-0.43,24.998,19.485,-0.0902725611335
1518020161.6,119.97802,-0.43,25.0,19.485,-0.0790159214048
1518020162.6,119.9782,1.07,24.998,19.506,-0.0681403443639
1518020163.6,119.9782,1.07,25.001,19.463,-0.0576443484634
1518020164.6,119.9782,1.07,25.0,19.495,-0.0514504348342
1518020165.6,119.978,-0.6,25.003,19.485,-0.0451367337459
1518020166.6,119.978,-0.6,25.002,19.506,-0.0387054239448
1518020167.6,119.978,-0.6,25.003,19.506,-0.0273541133419
1518020168.6,119.978,-0.6,24.999,19.506,-0.0102592533524
1518020169.6,119.9781,0.23,25.001,19.506,0.0070130872919
1518020170.6,119.9781,0.23,24.998,19.495,0.0244701420281
1518020171.6,119.9781,0.23,25.001,19.517,0.018138636227
1518020172.6,119.97812,0.4,24.999,19.495,0.0119260899613
1518020173.6,119.97812,0.4,25.004,19.506,0.00581873355592
