timestamp,LM399-P15-slow6-no-R7-alkaline15V
1500870712.780,6890115.5
1500870716.125,6890117.5
1500870719.471,6890118.8
1500870722.816,6890119.3
1500870726.161,6890117.3
1500870729.507,6890118.8
1500870732.852,6890120.3
1500870736.198,6890123.4
1500870739.543,6890122.9
1500870742.889,6890123.1
1500870746.234,6890122.4
1500870749.580,6890121.1
1500870752.925,6890123.4
1500870756.270,6890122.4
1500870759.616,6890123.1
1500870762.961,6890123.6
1500870766.306,6890124.4
1500870769.652,6890124.4
1500870772.997,6890123.6
1500870776.343,6890123.1
1500870779.688,6890122.6
1500870783.033,6890122.9
1500870786.379,6890122.6
1500870789.724,6890121.4
1500870793.070,6890123.1
1500870796.415,6890122.1
1500870799.761,6890122.9
1500870803.106,6890121.1
1500870806.451,6890118.1
1500870809.797,6890120.3
1500870813.142,6890120.8
1500870816.487,6890119.6
1500870819.833,6890120.8
1500870823.178,6890120.3
1500870826.524,6890120.1
1500870829.869,6890119.1
1500870833.214,6890119.6
1500870836.560,6890119.3
1500870839.905,6890119.6
1500870843.250,6890118.3
1500870846.596,6890120.8
1500870849.942,6890120.1
1500870853.287,6890119.3
1500870856.632,6890122.9
1500870859.978,6890121.1
1500870863.323,6890121.1
1500870866.668,6890121.6
1500870870.014,6890119.1
1500870873.359,6890120.6
1500870876.705,6890119.1
1500870880.050,6890117.5
1500870883.395,6890119.1
1500870886.741,6890115.0
1500870890.086,6890114.3
1500870893.432,6890116.3
1500870896.777,6890116.8
1500870900.122,6890116.3
1500870903.468,6890119.6
1500870906.813,6890118.1
1500870910.159,6890120.3
1500870913.504,6890119.6
1500870916.849,6890118.3
1500870920.195,6890116.8
1500870923.540,6890118.1
1500870926.886,6890119.6
1500870930.231,6890120.6
1500870933.576,6890118.8
1500870936.922,6890119.6
1500870940.267,6890119.3
1500870943.613,6890119.6
1500870946.958,6890119.6
1500870950.303,6890120.3
1500870953.649,6890120.8
1500870956.994,6890120.1
1500870960.340,6890121.6
1500870963.685,6890120.8
1500870967.031,6890121.1
1500870970.376,6890120.6
1500870973.721,6890120.6
1500870977.067,6890120.6
1500870980.412,6890122.9
1500870983.757,6890120.6
1500870987.103,6890120.3
1500870990.448,6890119.6
1500870993.793,6890120.8
1500870997.139,6890119.1
1500871000.485,6890121.4
1500871003.830,6890118.6
1500871007.175,6890120.6
1500871010.521,6890122.1
1500871013.866,6890123.6
1500871017.211,6890123.1
1500871020.557,6890122.1
1500871023.902,6890121.9
1500871027.248,6890119.8
1500871030.593,6890118.8
1500871033.939,6890119.3
1500871037.284,6890118.1
1500871040.629,6890118.6
1500871043.975,6890117.8
1500871047.320,6890116.5
1500871050.666,6890117.5
1500871054.011,6890117.5
1500871057.356,6890117.8
1500871060.702,6890116.5
1500871064.047,6890117.5
1500871067.393,6890116.8
1500871070.738,6890117.8
1500871074.083,6890116.8
1500871077.429,6890116.5
1500871080.774,6890118.1
1500871084.120,6890118.8
1500871087.465,6890118.1
1500871090.810,6890117.5
1500871094.156,6890115.8
1500871097.501,6890118.6
1500871100.847,6890117.8
1500871104.192,6890118.3
1500871107.537,6890119.1
1500871110.883,6890118.3
1500871114.228,6890118.6
1500871117.573,6890119.1
1500871120.919,6890118.6
1500871124.264,6890116.8
1500871127.610,6890116.5
1500871130.955,6890117.0
1500871134.301,6890118.3
1500871137.646,6890117.0
1500871140.991,6890120.6
1500871144.337,6890119.6
1500871147.682,6890117.8
1500871151.027,6890115.0
1500871154.373,6890115.8
1500871157.718,6890117.5
1500871161.064,6890118.8
1500871164.409,6890118.8
1500871167.754,6890116.5
1500871171.100,6890117.5
1500871174.445,6890118.3
1500871177.791,6890116.8
1500871181.136,6890118.8
1500871184.482,6890118.6
1500871187.827,6890117.5
1500871191.172,6890117.8
1500871194.518,6890118.6
1500871197.863,6890117.8
1500871201.209,6890118.3
1500871204.554,6890118.3
1500871207.899,6890116.0
1500871211.245,6890114.8
1500871214.590,6890115.3
1500871217.936,6890118.8
1500871221.281,6890118.6
1500871224.626,6890117.8
1500871227.972,6890117.8
1500871231.317,6890118.1
1500871234.662,6890116.8
1500871238.008,6890113.7
1500871241.353,6890112.2
1500871244.699,6890111.5
1500871248.044,6890110.7
1500871251.390,6890112.5
