Timestamp,Resistance,PPM,Oven (C),Ambient (C),"Savitzky-Golay (151,2)"
1518254264.01,1000.0796,0.02,25.001,21.758,-0.140389786387
1518254265.01,1000.0795,-0.08,24.999,21.737,-0.139260150124
1518254266.01,1000.0795,-0.08,25.003,21.758,-0.13806515148
1518254267.01,1000.0795,-0.08,25.001,21.748,-0.139883184351
1518254268.01,1000.0795,-0.08,25.003,21.737,-0.141832377735
1518254269.01,1000.0795,-0.08,24.999,21.748,-0.143913603132
1518254270.01,1000.0795,-0.08,25.0,21.737,-0.143047595144
1518254271.01,1000.0795,-0.08,24.998,21.737,-0.142115353275
1518254272.01,1000.0795,-0.08,25.003,21.769,-0.141115134529
1518254273.01,1000.0795,-0.08,25.002,21.748,-0.141006110076
1518254274.01,1000.0795,-0.08,25.006,21.758,-0.13973398382
1518254275.01,1000.0796,0.02,25.003,21.737,-0.138257926932
1518254276.01,1000.0796,0.02,25.005,21.748,-0.136576196415
1518254277.01,1000.0796,0.02,25.001,21.737,-0.135647963439
1518254278.01,1000.0795,-0.08,25.002,21.758,-0.134445644207
1518254279.01,1000.0795,-0.08,24.998,21.758,-0.132968367222
1518254280.01,1000.0795,-0.08,25.002,21.758,-0.132373569544
1518254281.01,1000.0795,-0.08,24.998,21.769,-0.131831933271
1518254282.01,1000.0795,-0.08,25.004,21.758,-0.131343458402
1518254283.01,1000.0795,-0.08,25.002,21.758,-0.131869059104
1518254284.01,1000.0795,-0.08,25.004,21.748,-0.131356182279
1518254285.01,1000.0795,-0.08,25.001,21.748,-0.130765742094
1518254286.02,1000.0795,-0.08,25.003,21.78,-0.130097738549
1518254287.01,1000.0795,-0.08,24.999,21.769,-0.13031308581
1518254288.01,1000.0794,-0.18,24.999,21.769,-0.130385943079
1518254289.01,1000.0794,-0.18,24.997,21.748,-0.130317181853
1518254290.01,1000.0794,-0.18,25.0,21.737,-0.130239269894
1518254291.02,1000.0793,-0.28,25.0,21.78,-0.130284674962
1518254292.02,1000.0793,-0.28,25.001,21.78,-0.130454268556
1518254293.02,1000.0793,-0.28,24.998,21.758,-0.130748922174
1518254294.02,1000.0793,-0.28,25.0,21.769,-0.129116082719
1518254295.02,1000.0794,-0.18,24.997,21.748,-0.127476707026
1518254296.01,1000.0794,-0.18,24.999,21.748,-0.125829923596
1518254297.01,1000.0794,-0.18,24.997,21.748,-0.126162487396
1518254298.02,1000.0795,-0.08,25.0,21.748,-0.12648764346
1518254299.02,1000.0795,-0.08,24.999,21.758,-0.126806263285
1518254300.02,1000.0795,-0.08,25.004,21.748,-0.126092506072
1518254301.02,1000.0795,-0.08,25.002,21.758,-0.125307285988
1518254302.02,1000.0795,-0.08,25.005,21.758,-0.124450603033
1518254303.02,1000.0795,-0.08,25.002,21.758,-0.123522457207
1518254304.02,1000.0795,-0.08,25.003,21.748,-0.124576273107
1518254305.02,1000.0793,-0.28,24.999,21.78,-0.125691965395
1518254306.02,1000.0793,-0.28,25.0,21.748,-0.126871277068
1518254307.02,1000.0793,-0.28,24.998,21.748,-0.127155036956
1518254308.02,1000.0793,-0.28,25.001,21.748,-0.127570828856
1518254309.02,1000.0793,-0.28,24.998,21.769,-0.128119524266
1518254310.02,1000.0793,-0.28,25.001,21.78,-0.127775282387
1518254311.02,1000.0793,-0.28,24.999,21.748,-0.127499017386
1518254312.02,1000.0794,-0.18,25.002,21.737,-0.127290729261
1518254313.02,1000.0794,-0.18,25.0,21.769,-0.127150418014
1518254314.02,1000.0794,-0.18,25.003,21.758,-0.130987538444
1518254315.02,1000.0795,-0.08,25.0,21.758,-0.134764525482
1518254316.02,1000.0795,-0.08,25.003,21.748,-0.138484865123
1518254317.02,1000.0795,-0.08,24.999,21.737,-0.139137704595
1518254318.02,1000.0795,-0.08,25.0,21.758,-0.139672456031
