timestamp,svrt-no-tempco
1512919077.336,10000915.0
1512919080.688,10000873.0
1512919084.040,10000861.0
1512919087.392,10000826.0
1512919090.745,10000950.0
1512919094.097,10000868.0
1512919097.449,10000883.0
1512919100.800,10000797.0
1512919104.152,10000802.0
1512919107.505,10000806.0
1512919110.857,10000910.0
1512919114.209,10000928.0
1512919117.561,10000912.0
1512919120.913,10000877.0
1512919124.265,10000906.0
1512919127.617,10000898.0
1512919130.969,10000880.0
1512919134.321,10000833.0
1512919137.674,10000827.0
1512919141.026,10000806.0
1512919144.378,10000823.0
1512919147.729,10000896.0
1512919151.082,10000883.0
1512919154.434,10000833.0
1512919157.786,10000854.0
1512919161.138,10000818.0
1512919164.490,10000805.0
1512919167.842,10000796.0
1512919171.194,10000818.0
1512919174.546,10000843.0
1512919177.898,10000812.0
1512919181.251,10000888.0
1512919184.603,10000872.0
1512919187.955,10000805.0
1512919191.307,10000836.0
1512919194.659,10000822.0
1512919198.011,10000794.0
1512919201.363,10000834.0
1512919204.714,10000793.0
1512919208.067,10000808.0
1512919211.419,10000837.0
1512919214.771,10000819.0
1512919218.123,10000824.0
1512919221.476,10000816.0
1512919224.828,10000823.0
1512919228.179,10000820.0
1512919231.531,10000899.0
1512919234.883,10000869.0
1512919238.236,10000862.0
1512919241.588,10000885.0
1512919244.940,10000898.0
1512919248.292,10000834.0
1512919251.644,10000839.0
1512919254.996,10000867.0
1512919258.348,10000830.0
1512919261.700,10000843.0
1512919265.052,10000839.0
1512919268.404,10000838.0
1512919271.757,10000805.0
1512919275.109,10000813.0
1512919278.461,10000810.0
1512919281.812,10000802.0
1512919285.164,10000822.0
1512919288.517,10000834.0
1512919291.869,10000809.0
1512919295.221,10000843.0
1512919298.573,10000849.0
1512919301.925,10000806.0
1512919305.277,10000804.0
1512919308.629,10000822.0
1512919311.982,10000804.0
1512919315.333,10000806.0
1512919318.685,10000800.0
1512919322.038,10000808.0
1512919325.390,10000811.0
1512919328.742,10000824.0
1512919332.094,10000821.0
1512919335.446,10000854.0
1512919338.798,10000870.0
1512919342.150,10000818.0
1512919345.502,10000809.0
1512919348.854,10000806.0
1512919352.206,10000807.0
1512919355.559,10000837.0
1512919358.911,10000888.0
1512919362.263,10000950.0
1512919365.614,10000907.0
1512919368.966,10000854.0
1512919372.318,10000795.0
1512919375.671,10000809.0
1512919379.023,10000843.0
1512919382.375,10000836.0
1512919385.727,10000850.0
1512919389.080,10000912.0
1512919392.431,10000806.0
1512919395.783,10000815.0
1512919399.135,10000797.0
1512919402.487,10000879.0
1512919405.839,10000875.0
1512919409.192,10000881.0
1512919412.544,10000931.0
1512919415.895,10000925.0
1512919419.248,10000862.0
1512919422.600,10000862.0
1512919425.952,10000895.0
1512919429.304,10000862.0
1512919432.656,10000865.0
1512919436.008,10000826.0
1512919439.360,10000840.0
1512919442.712,10000823.0
1512919446.065,10000813.0
1512919449.417,10000822.0
1512919452.768,10000883.0
1512919456.120,10000844.0
1512919459.472,10000825.0
1512919462.825,10000880.0
1512919466.177,10000830.0
1512919469.529,10000836.0
1512919472.881,10000837.0
1512919476.233,10000812.0
1512919479.585,10000818.0
