timestamp,ltz1000-p17-foam-under
1514117673.555,7071111.6
1514117676.907,7071112.0
1514117680.259,7071111.2
1514117683.611,7071110.7
1514117686.963,7071110.2
1514117690.316,7071112.9
1514117693.667,7071114.3
1514117697.019,7071113.6
1514117700.372,7071114.3
1514117703.724,7071113.5
1514117707.076,7071112.7
1514117710.428,7071114.1
1514117713.780,7071114.5
1514117717.133,7071114.0
1514117720.484,7071115.2
1514117723.837,7071113.8
1514117727.188,7071116.2
1514117730.541,7071116.0
1514117733.892,7071114.3
1514117737.245,7071115.7
1514117740.597,7071115.5
1514117743.949,7071114.3
1514117747.302,7071116.7
1514117750.653,7071115.0
1514117754.005,7071115.3
1514117757.358,7071115.0
1514117760.710,7071117.8
1514117764.062,7071116.8
1514117767.414,7071117.2
1514117770.766,7071118.3
1514117774.118,7071117.1
1514117777.470,7071115.5
1514117781.143,7071116.8
1514117784.174,7071115.2
1514117787.527,7071117.8
1514117790.879,7071118.8
1514117794.231,7071118.8
1514117797.582,7071118.3
1514117800.935,7071116.5
1514117804.287,7071118.1
1514117807.639,7071117.2
1514117810.992,7071118.6
1514117814.343,7071119.3
1514117817.696,7071117.9
1514117821.047,7071115.0
1514117824.400,7071109.4
1514117827.752,7071110.5
1514117831.104,7071111.9
1514117834.456,7071111.0
1514117837.808,7071108.3
1514117841.161,7071109.3
1514117844.512,7071107.2
1514117847.865,7071111.5
1514117851.216,7071111.2
1514117854.569,7071109.4
1514117857.921,7071106.9
1514117861.273,7071109.7
1514117864.626,7071107.4
1514117867.977,7071106.7
1514117871.330,7071105.8
1514117874.681,7071107.2
1514117878.034,7071105.1
1514117881.385,7071106.2
1514117884.738,7071104.0
1514117888.090,7071104.9
1514117891.442,7071105.9
1514117894.794,7071106.0
1514117898.147,7071106.9
1514117901.498,7071105.6
1514117904.851,7071106.9
1514117908.203,7071108.9
1514117911.555,7071106.9
1514117914.907,7071106.9
1514117918.260,7071107.7
1514117921.611,7071109.4
1514117924.963,7071107.9
1514117928.315,7071107.5
1514117931.668,7071108.1
1514117935.019,7071106.9
1514117938.372,7071107.7
1514117941.724,7071108.4
1514117945.076,7071108.7
1514117948.428,7071110.0
1514117951.780,7071109.2
1514117955.133,7071109.7
1514117958.484,7071109.6
1514117961.837,7071109.4
1514117965.188,7071108.7
1514117968.541,7071104.9
1514117971.893,7071105.9
1514117975.245,7071105.0
1514117978.597,7071105.9
1514117981.949,7071105.9
1514117985.302,7071105.4
1514117988.653,7071103.6
1514117992.006,7071105.8
1514117995.357,7071104.1
1514117998.710,7071102.1
1514118002.063,7071106.4
1514118005.414,7071104.9
1514118008.766,7071105.6
1514118012.118,7071104.9
1514118015.470,7071106.4
1514118018.823,7071104.1
1514118022.175,7071104.1
1514118025.527,7071105.6
1514118028.879,7071104.8
1514118032.231,7071101.8
1514118035.584,7071102.3
1514118038.935,7071106.4
1514118042.288,7071105.1
1514118045.640,7071106.9
1514118048.992,7071105.4
1514118052.344,7071104.1
1514118055.696,7071106.4
1514118059.048,7071108.9
1514118062.400,7071108.1
1514118065.752,7071107.4
1514118069.105,7071108.1
1514118072.456,7071107.5
1514118075.809,7071107.4
1514118079.160,7071106.5
1514118082.513,7071106.3
1514118085.865,7071106.7
1514118089.217,7071104.5
1514118092.569,7071108.4
1514118095.922,7071108.8
1514118099.273,7071106.7
1514118102.626,7071107.0
1514118105.978,7071106.0
1514118109.329,7071106.7
1514118112.682,7071106.9
1514118116.034,7071107.2
1514118119.386,7071106.2
1514118122.738,7071107.0
1514118126.091,7071108.4
1514118129.442,7071108.8
1514118132.795,7071107.9
1514118136.147,7071109.7
1514118139.499,7071109.6
1514118142.851,7071107.9
1514118146.203,7071108.3
1514118149.555,7071109.2
1514118152.907,7071106.9
1514118156.260,7071107.3
1514118159.612,7071106.5
1514118162.964,7071107.0
1514118166.316,7071107.9
1514118169.668,7071108.2
1514118173.020,7071106.4
1514118176.372,7071106.9
1514118179.725,7071105.3
1514118183.076,7071106.4
1514118186.429,7071105.0
1514118189.781,7071105.6
1514118193.133,7071105.9
1514118196.485,7071105.4
1514118199.837,7071105.9
1514118203.190,7071104.9
1514118206.541,7071104.8
1514118209.893,7071104.1
1514118213.245,7071105.6
1514118216.598,7071106.0
1514118219.950,7071105.1
1514118223.302,7071105.1
1514118226.654,7071105.8
1514118230.006,7071105.8
1514118233.359,7071105.9
1514118236.710,7071106.2
1514118240.062,7071106.9
1514118243.415,7071107.9
1514118246.767,7071107.3
1514118250.119,7071106.5
