si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c
22.091,22.981,228,226.711,22.9513,-0.0146,59.99,0.8605
22.091,22.960,228,226.742,22.9516,-0.0143,59.78,0.8609
22.091,22.927,228,226.804,22.9523,-0.0136,59.25,0.8616
22.069,22.970,228,226.780,22.9520,-0.0139,59.58,0.8828
22.101,22.960,228,226.761,22.9518,-0.0141,59.86,0.8504
22.080,22.970,228,226.552,22.9495,-0.0165,62.06,0.8694
22.091,22.960,228,226.575,22.9497,-0.0162,61.93,0.8590
22.101,22.960,228,226.487,22.9487,-0.0172,62.94,0.8473
22.091,22.960,228,226.464,22.9485,-0.0175,63.28,0.8577
22.091,22.960,228,226.889,22.9533,-0.0126,59.12,0.8626
22.101,22.949,228,227.008,22.9546,-0.0113,58.00,0.8532
22.080,22.949,228,226.857,22.9529,-0.0130,59.59,0.8729
22.101,22.938,228,226.989,22.9544,-0.0115,58.35,0.8530
22.101,22.949,228,226.840,22.9527,-0.0132,59.92,0.8513
22.101,22.949,228,226.820,22.9525,-0.0134,60.21,0.8510
22.112,22.970,228,226.850,22.9528,-0.0131,60.00,0.8407
22.112,22.970,228,226.576,22.9497,-0.0162,62.85,0.8375
22.101,22.970,228,226.461,22.9484,-0.0175,64.12,0.8470
22.112,22.960,228,226.433,22.9481,-0.0178,64.51,0.8359
22.101,22.938,228,226.635,22.9504,-0.0155,62.59,0.8489
22.112,22.960,228,226.537,22.9493,-0.0166,63.68,0.8371
22.091,22.960,228,226.947,22.9539,-0.0120,59.66,0.8632
22.101,22.970,228,226.759,22.9518,-0.0141,61.63,0.8504
22.101,22.970,228,226.638,22.9504,-0.0155,62.94,0.8490
22.101,22.949,228,226.817,22.9525,-0.0134,61.25,0.8510
22.101,22.970,228,227.017,22.9547,-0.0112,59.31,0.8533
22.101,22.960,228,226.942,22.9539,-0.0120,60.15,0.8524
22.101,22.960,228,226.791,22.9522,-0.0137,61.75,0.8507
22.101,22.949,228,226.597,22.9500,-0.0159,63.80,0.8485
22.123,22.970,228,226.844,22.9528,-0.0131,61.41,0.8299
22.091,22.970,228,226.827,22.9526,-0.0133,61.66,0.8619
22.112,22.949,228,227.016,22.9547,-0.0112,59.85,0.8425
22.123,22.970,228,227.030,22.9549,-0.0110,59.79,0.8320
22.101,22.992,228,226.985,22.9544,-0.0115,60.31,0.8529
22.123,22.970,228,227.301,22.9580,-0.0079,57.21,0.8351
22.112,22.938,228,227.286,22.9578,-0.0081,57.40,0.8456
22.134,22.970,228,227.243,22.9573,-0.0086,57.89,0.8237
22.155,22.949,228,226.978,22.9543,-0.0116,60.62,0.7992
22.123,22.938,228,227.036,22.9550,-0.0109,60.11,0.8321
22.123,22.970,228,227.247,22.9574,-0.0086,58.06,0.8344
22.112,22.949,228,227.246,22.9573,-0.0086,58.13,0.8452
22.101,22.960,228,227.414,22.9592,-0.0067,56.49,0.8578
22.101,22.960,228,227.330,22.9583,-0.0076,57.38,0.8568
22.123,22.960,228,227.263,22.9575,-0.0084,58.10,0.8346
22.112,22.960,228,227.280,22.9577,-0.0082,57.99,0.8455
22.112,22.960,228,227.474,22.9599,-0.0060,56.08,0.8478
22.101,22.960,228,227.624,22.9616,-0.0043,54.62,0.8602
22.091,22.970,228,227.743,22.9630,-0.0029,53.45,0.8723
22.101,22.960,228,227.720,22.9627,-0.0032,53.70,0.8613
22.091,22.960,228,227.610,22.9615,-0.0044,54.82,0.8708
22.101,22.970,228,227.463,22.9598,-0.0061,56.33,0.8584
22.101,22.960,228,227.268,22.9576,-0.0083,58.34,0.8561
22.091,22.949,228,227.291,22.9579,-0.0081,58.16,0.8671
22.112,22.960,228,227.260,22.9575,-0.0084,58.53,0.8453
22.091,22.960,228,227.325,22.9582,-0.0077,57.93,0.8675
22.091,22.949,228,227.393,22.9590,-0.0069,57.30,0.8683
22.069,22.981,228,227.240,22.9573,-0.0086,58.88,0.8880
22.101,22.938,228,227.634,22.9617,-0.0042,54.97,0.8603
22.080,22.981,228,227.784,22.9635,-0.0025,53.49,0.8834
22.091,22.970,228,227.607,22.9614,-0.0045,55.28,0.8707
22.080,22.960,228,227.625,22.9616,-0.0043,55.14,0.8816
22.091,22.949,228,227.713,22.9626,-0.0033,54.28,0.8719
22.091,22.992,228,227.622,22.9616,-0.0043,55.22,0.8709
22.091,22.970,228,227.571,22.9610,-0.0049,55.76,0.8703
22.101,22.970,228,227.373,22.9588,-0.0071,57.78,0.8573
22.080,22.970,228,227.215,22.9570,-0.0089,59.42,0.8770
22.080,22.970,228,227.148,22.9562,-0.0097,60.15,0.8762
22.091,22.981,228,227.301,22.9580,-0.0079,58.68,0.8672
22.080,22.960,228,227.358,22.9586,-0.0073,58.16,0.8786
22.101,22.970,228,227.461,22.9598,-0.0061,57.17,0.8583
22.091,22.970,228,227.761,22.9632,-0.0027,54.19,0.8725
22.112,22.960,228,227.825,22.9639,-0.0020,53.56,0.8517
22.091,22.981,228,227.629,22.9617,-0.0042,55.54,0.8710
22.112,22.970,228,227.501,22.9602,-0.0057,56.86,0.8481
22.069,22.970,228,227.644,22.9619,-0.0040,55.46,0.8926
22.091,22.970,228,227.573,22.9611,-0.0049,56.20,0.8703
22.059,22.949,228,227.389,22.9590,-0.0069,58.09,0.9004
22.059,22.970,228,227.294,22.9579,-0.0080,59.09,0.8993
22.080,22.981,228,227.521,22.9605,-0.0054,56.85,0.8805
22.069,22.960,228,227.765,22.9632,-0.0027,54.44,0.8940
22.069,22.981,228,227.478,22.9600,-0.0059,57.34,0.8907
22.101,22.960,228,227.455,22.9597,-0.0062,57.61,0.8583
22.080,22.970,228,227.596,22.9613,-0.0046,56.24,0.8813
22.091,22.981,228,227.705,22.9626,-0.0034,55.17,0.8718
22.080,22.970,228,227.439,22.9595,-0.0064,57.87,0.8795
22.101,22.970,228,227.772,22.9633,-0.0026,54.55,0.8619
22.059,22.960,228,227.553,22.9608,-0.0051,56.78,0.9023
22.080,22.949,228,227.495,22.9602,-0.0057,57.39,0.8802
22.069,22.970,228,227.514,22.9604,-0.0055,57.24,0.8911
22.080,22.970,228,227.427,22.9594,-0.0065,58.15,0.8794
22.069,22.970,228,227.699,22.9625,-0.0034,55.45,0.8932
22.080,22.970,228,227.838,22.9641,-0.0018,54.08,0.8841
22.069,22.960,228,227.644,22.9619,-0.0040,56.05,0.8926
22.069,22.970,228,227.593,22.9613,-0.0046,56.59,0.8920
22.059,22.970,228,227.743,22.9630,-0.0029,55.11,0.9044
22.059,22.970,228,227.840,22.9641,-0.0018,54.14,0.9055
22.080,22.970,228,227.683,22.9623,-0.0036,55.74,0.8823
22.059,22.970,228,227.570,22.9610,-0.0049,56.91,0.9025
22.059,22.960,228,227.619,22.9616,-0.0043,56.44,0.9030
22.059,22.981,228,227.674,22.9622,-0.0037,55.92,0.9036
22.080,22.981,228,227.882,22.9646,-0.0013,53.85,0.8846
22.080,22.981,228,227.546,22.9608,-0.0052,57.24,0.8807
22.080,22.981,228,227.408,22.9592,-0.0067,58.67,0.8792
22.069,22.970,228,227.588,22.9612,-0.0047,56.89,0.8920
22.048,22.970,228,227.401,22.9591,-0.0068,58.81,0.9113
22.048,22.949,228,227.551,22.9608,-0.0051,57.35,0.9130
22.069,22.960,228,227.658,22.9620,-0.0039,56.30,0.8927
22.069,22.960,228,227.931,22.9651,-0.0008,53.57,0.8958
22.037,22.992,228,227.725,22.9628,-0.0031,55.65,0.9257
22.059,22.970,228,227.747,22.9630,-0.0029,55.46,0.9045
22.037,22.970,228,227.601,22.9614,-0.0045,56.95,0.9243
22.037,22.970,228,227.622,22.9616,-0.0043,56.77,0.9245
22.048,22.970,228,227.708,22.9626,-0.0033,55.93,0.9148
22.059,22.970,228,227.750,22.9631,-0.0028,55.53,0.9045
22.048,22.970,228,227.856,22.9643,-0.0016,54.48,0.9164
22.059,22.970,228,227.716,22.9627,-0.0032,55.90,0.9041
22.048,22.960,228,227.582,22.9612,-0.0048,57.27,0.9133
22.059,22.981,228,227.537,22.9606,-0.0053,57.75,0.9021
22.069,22.970,228,227.729,22.9628,-0.0031,55.85,0.8936
22.080,22.970,228,227.723,22.9628,-0.0031,55.93,0.8828
22.059,22.970,228,227.648,22.9619,-0.0040,56.71,0.9034
22.059,22.981,228,227.734,22.9629,-0.0030,55.87,0.9043
22.059,23.003,228,227.745,22.9630,-0.0029,55.78,0.9045
22.059,22.992,228,227.810,22.9638,-0.0022,55.14,0.9052
22.059,22.970,228,228.340,22.9698,0.0039,49.82,0.9112
22.059,22.981,228,228.150,22.9676,0.0017,51.71,0.9091
22.059,22.970,228,228.229,22.9685,0.0026,50.89,0.9100
22.059,22.981,228,228.146,22.9676,0.0017,51.72,0.9090
22.069,22.981,228,228.337,22.9697,0.0038,49.79,0.9005
22.069,22.970,228,228.229,22.9685,0.0026,50.84,0.8992
22.080,22.992,228,228.163,22.9678,0.0019,51.49,0.8878
22.048,23.003,228,228.329,22.9697,0.0037,49.81,0.9218
22.069,22.970,228,228.036,22.9663,0.0004,52.74,0.8970
22.059,23.003,228,228.257,22.9688,0.0029,50.51,0.9103
22.059,22.981,228,228.158,22.9677,0.0018,51.49,0.9092
22.069,22.992,228,228.144,22.9675,0.0016,51.61,0.8983
22.080,22.981,228,228.363,22.9700,0.0041,49.39,0.8900
22.069,22.970,228,228.647,22.9733,0.0074,46.51,0.9040
22.059,22.960,228,228.596,22.9727,0.0068,46.97,0.9141
22.059,22.981,228,228.677,22.9736,0.0077,46.11,0.9150
22.059,22.970,228,228.368,22.9701,0.0042,49.18,0.9115
22.059,22.981,228,228.512,22.9717,0.0058,47.70,0.9132
22.059,22.970,228,228.537,22.9720,0.0061,47.41,0.9135
22.059,22.970,228,228.471,22.9713,0.0054,48.03,0.9127
22.080,22.970,228,228.431,22.9708,0.0049,48.40,0.8908
22.059,22.970,228,228.210,22.9683,0.0024,50.59,0.9097
22.048,22.970,228,228.385,22.9703,0.0044,48.81,0.9225
22.048,22.970,228,228.469,22.9712,0.0053,47.94,0.9234
22.059,22.981,228,228.644,22.9732,0.0073,46.14,0.9147
22.048,22.992,228,228.596,22.9727,0.0068,46.57,0.9249
22.059,22.981,228,228.505,22.9716,0.0057,47.45,0.9131
22.037,22.981,228,228.487,22.9714,0.0055,47.60,0.9343
21.994,22.970,228,228.494,22.9715,0.0056,47.48,0.9773
21.994,22.970,228,228.302,22.9693,0.0034,49.38,0.9751
