timestamp,lm399-cotton-rounds
1514605972.379,6885962.0
1514605975.731,6885963.5
1514605979.083,6885962.7
1514605982.435,6885962.7
1514605985.788,6885962.5
1514605989.139,6885962.5
1514605992.492,6885966.0
1514605995.844,6885966.0
1514605999.196,6885963.2
1514606002.549,6885963.7
1514606005.900,6885964.2
1514606009.253,6885966.5
1514606012.605,6885966.3
1514606015.957,6885965.5
1514606019.309,6885964.7
1514606022.661,6885965.5
1514606026.013,6885965.5
1514606029.365,6885964.2
1514606032.718,6885964.2
1514606036.069,6885964.0
1514606039.422,6885962.2
1514606042.773,6885963.5
1514606046.126,6885963.5
1514606049.478,6885963.2
1514606052.830,6885963.7
1514606056.182,6885963.7
1514606059.535,6885963.2
1514606062.887,6885963.0
1514606066.238,6885963.7
1514606069.591,6885963.5
1514606072.943,6885964.5
1514606076.295,6885964.0
1514606079.647,6885963.0
1514606082.999,6885963.5
1514606086.351,6885963.2
1514606089.704,6885963.5
1514606093.055,6885960.9
1514606096.408,6885962.7
1514606099.760,6885961.5
1514606103.112,6885962.2
1514606106.464,6885963.0
1514606109.817,6885962.7
1514606113.168,6885964.2
1514606116.521,6885966.5
1514606119.872,6885964.7
1514606123.225,6885965.5
1514606126.577,6885965.3
1514606129.929,6885964.2
1514606133.281,6885964.7
1514606136.634,6885965.3
1514606139.985,6885964.0
1514606143.338,6885963.7
1514606146.689,6885964.0
1514606150.042,6885961.5
1514606153.394,6885961.5
1514606156.746,6885961.5
1514606160.098,6885961.2
1514606163.450,6885961.5
1514606166.802,6885962.7
1514606170.155,6885964.0
1514606173.506,6885963.0
1514606176.859,6885962.7
1514606180.210,6885963.2
1514606183.563,6885961.7
1514606186.915,6885962.0
1514606190.267,6885962.7
1514606193.619,6885963.0
1514606196.972,6885962.2
1514606200.323,6885960.4
1514606203.676,6885963.2
1514606207.027,6885965.3
1514606210.380,6885963.5
1514606213.732,6885963.5
1514606217.084,6885963.2
1514606220.436,6885963.7
1514606223.789,6885963.2
1514606227.140,6885965.3
1514606230.493,6885964.7
1514606233.845,6885964.7
1514606237.197,6885963.7
1514606240.549,6885964.5
1514606243.901,6885964.0
1514606247.253,6885965.0
1514606250.605,6885963.7
1514606253.958,6885964.0
1514606257.309,6885964.2
1514606260.662,6885962.5
1514606264.014,6885963.5
1514606267.365,6885964.0
1514606270.718,6885962.7
1514606274.070,6885963.5
1514606277.423,6885962.7
1514606280.774,6885962.6
1514606284.127,6885962.5
1514606287.478,6885964.0
1514606290.831,6885963.5
1514606294.183,6885962.7
1514606297.535,6885963.5
1514606300.887,6885962.2
1514606304.239,6885962.5
1514606307.591,6885962.7
1514606310.944,6885962.5
1514606314.296,6885964.5
1514606317.648,6885964.0
1514606321.000,6885963.5
1514606324.352,6885963.0
1514606327.704,6885962.7
1514606331.057,6885962.5
1514606334.408,6885962.7
1514606337.760,6885962.2
1514606341.113,6885963.0
