setpoint,input,ouput
400.00,188.48,0.00
400.00,188.00,0.00
400.00,188.80,0.00
400.00,188.12,0.00
400.00,188.48,0.00
400.00,188.82,0.00
400.00,188.77,0.00
400.00,188.64,0.00
400.00,188.45,0.00
400.00,188.38,0.00
400.00,188.74,0.00
400.00,187.96,0.00
400.00,188.39,0.00
400.00,188.19,0.00
400.00,188.54,0.00
400.00,188.76,0.00
400.00,188.48,0.00
400.00,188.58,0.00
400.00,188.50,0.00
400.00,188.11,0.00
400.00,188.29,0.00
400.00,187.70,0.00
400.00,187.23,0.00
400.00,187.96,0.00
400.00,188.05,0.00
400.00,188.01,0.00
400.00,188.54,0.00
400.00,188.89,0.00
400.00,188.09,0.00
400.00,188.68,0.00
400.00,188.31,0.00
400.00,188.07,0.00
400.00,187.99,0.00
400.00,188.45,0.00
400.00,188.08,0.00
400.00,188.54,0.00
400.00,188.06,0.00
400.00,187.99,0.00
400.00,188.34,0.00
400.00,188.64,0.00
400.00,188.13,0.00
400.00,188.11,0.00
400.00,187.84,0.00
400.00,188.22,0.00
400.00,188.07,0.00
400.00,188.89,0.00
400.00,187.76,0.00
400.00,188.48,0.00
400.00,188.82,0.00
400.00,188.32,0.00
400.00,187.99,0.00
400.00,188.17,0.00
400.00,188.45,0.00
400.00,188.75,0.00
400.00,188.73,0.00
400.00,188.27,0.00
400.00,188.28,0.00
400.00,188.53,0.00
400.00,188.76,0.00
400.00,188.70,0.00
400.00,188.00,0.00
400.00,188.06,0.00
400.00,187.98,0.00
400.00,188.31,0.00
400.00,188.20,0.00
400.00,188.13,0.00
400.00,188.66,0.00
400.00,188.70,0.00
400.00,188.52,0.00
400.00,188.46,0.00
400.00,188.71,0.00
400.00,188.08,0.00
400.00,188.56,0.00
400.00,188.08,0.00
400.00,188.36,0.00
400.00,188.46,0.00
400.00,188.70,0.00
400.00,188.66,0.00
400.00,188.09,0.00
400.00,189.50,0.00
400.00,188.38,0.00
400.00,188.20,0.00
400.00,188.23,0.00
400.00,187.79,0.00
400.00,187.64,0.00
400.00,188.29,0.00
400.00,187.69,0.00
400.00,188.21,0.00
400.00,187.83,0.00
400.00,187.69,0.00
400.00,187.70,0.00
400.00,188.23,0.00
400.00,188.15,0.00
400.00,187.89,0.00
400.00,188.54,0.00
400.00,188.08,0.00
400.00,187.76,0.00
400.00,188.71,0.00
400.00,188.65,0.00
400.00,187.64,0.00
400.00,188.05,0.00
400.00,187.89,0.00
400.00,187.64,0.00
400.00,187.96,0.00
400.00,187.75,0.00
400.00,188.28,0.00
400.00,188.63,0.00
