si7021_c,setpoint,input,output
25.030,407,406.663,122.57
25.019,407,406.746,121.75
25.019,407,406.685,122.37
25.019,407,406.502,124.23
25.008,407,406.914,120.11
24.997,407,406.846,120.80
25.008,407,406.756,121.71
25.008,407,406.763,121.65
24.997,407,406.678,122.53
25.008,407,406.877,120.54
25.030,407,406.668,122.65
24.997,407,407.015,119.17
24.997,407,406.817,121.17
25.019,407,406.944,119.90
25.030,407,406.859,120.75
25.019,407,406.745,121.90
24.997,407,406.826,121.11
25.019,407,406.841,120.96
24.997,407,406.606,123.33
24.997,407,406.586,123.55
25.008,407,406.629,123.14
25.008,407,406.616,123.29
24.987,407,406.583,123.64
24.997,407,406.464,124.86
25.030,407,406.610,123.42
24.976,407,406.478,124.76
24.997,407,406.495,124.62
24.997,407,406.173,127.88
24.997,407,406.189,127.76
24.997,407,406.166,128.04
25.008,407,406.450,125.23
25.008,407,406.473,125.02
25.019,407,406.155,128.23
24.997,407,406.442,125.39
24.987,407,406.453,125.31
24.987,407,406.325,126.63
25.008,407,406.178,128.14
24.997,407,406.187,128.09
24.997,407,406.480,125.18
25.008,407,406.184,128.19
25.008,407,406.350,126.56
25.030,407,406.090,129.20
25.008,407,406.367,126.47
24.997,407,406.228,127.90
25.008,407,406.262,127.59
24.997,407,406.261,127.64
25.008,407,406.025,130.04
25.008,407,405.819,132.17
24.987,407,405.676,133.66
24.997,407,405.785,132.64
24.965,407,406.041,130.12
24.997,407,405.974,130.84
24.997,407,405.801,132.64
25.008,407,405.875,131.95
24.997,407,405.687,133.89
24.997,407,405.807,132.76
24.997,407,405.884,132.04
24.997,407,405.773,133.21
24.976,407,405.955,131.45
24.997,407,406.017,130.87
25.008,407,406.207,129.01
25.008,407,406.194,129.19
24.997,407,406.118,129.99
24.976,407,405.965,131.56
25.008,407,405.703,134.25
24.997,407,405.929,132.04
24.987,407,405.743,133.97
24.997,407,405.503,136.45
24.997,407,405.762,133.92
24.987,407,405.787,133.73
24.987,407,405.694,134.72
24.997,407,405.679,134.94
25.008,407,405.615,135.65
24.997,407,405.809,133.77
24.997,407,405.934,132.57
25.008,407,405.907,132.90
25.008,407,405.840,133.63
