timestamp,34401a_thermistor,si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c,hp_error_c,hp_mcp_delta
1517209742.37,24.9999488004,21.340,-46.582,406,406.558,25.0063,0.0063,156.79,3.6664,-5.11996000014e-05,-0.0063511996
1517209745.72,24.9981007922,21.351,-46.582,406,406.288,25.0033,0.0033,159.32,3.6526,-0.0018992078,-0.0051992078
1517209749.07,24.9970602015,21.340,-46.582,406,406.093,25.0011,0.0011,161.21,3.6611,-0.0029397985,-0.0040397985
1517209752.42,24.9965667048,21.340,-46.582,406,406.239,25.0027,0.0027,159.61,3.6627,-0.0034332952,-0.0061332952
1517209755.78,24.9965655556,21.351,-46.582,406,406.418,25.0048,0.0048,157.57,3.6541,-0.0034344444,-0.0082344444
1517209759.13,24.9969687187,21.361,-46.582,406,406.218,25.0025,0.0025,159.44,3.6410,-0.0030312813,-0.0055312813
1517209762.49,24.9973266077,21.351,-46.582,406,406.038,25.0004,0.0004,161.15,3.6497,-0.0026733923,-0.0030733923
1517209765.83,24.997836904,21.351,-46.582,406,406.008,25.0001,0.0001,161.45,3.6494,-0.002163096,-0.002263096
1517209769.19,24.9989370751,21.340,-46.582,406,405.869,24.9985,-0.0015,162.91,3.6585,-0.0010629249,0.000437075099999
1517209772.55,25.000394105,21.340,-46.582,406,406.148,25.0017,0.0017,160.03,3.6617,0.000394105000002,-0.001305895
1517209775.89,25.0016383455,21.340,-46.582,406,406.244,25.0028,0.0028,158.93,3.6628,0.0016383455,-0.0011616545
1517209779.24,25.0023860318,21.351,-46.582,406,406.001,25.0000,0.0000,161.35,3.6493,0.0023860318,0.0023860318
1517209782.59,25.0027504588,21.340,-46.582,406,406.034,25.0004,0.0004,161.01,3.6604,0.0027504588,0.0023504588
1517209785.95,25.0026389457,21.340,-46.582,406,406.011,25.0001,0.0001,161.23,3.6602,0.0026389457,0.0025389457
