time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,amps,pwm,pid_i
88,29.8237,85.68270,43.3088,24.3217,75.77915,55.1038,29.822383,1.9000,191,0.00000
89,29.8559,85.74063,43.3240,24.3003,75.74054,55.0886,29.829086,1.9000,191,0.00000
90,29.8666,85.75993,43.3317,24.3217,75.77915,55.1038,29.834451,1.9000,191,0.00000
91,29.8773,85.77923,43.3317,24.3217,75.77915,55.0962,29.842494,1.9000,191,0.00000
92,29.8881,85.79854,43.3317,24.2896,75.72124,55.0886,29.850540,1.9000,191,0.00000
93,29.9095,85.83715,43.3469,24.3217,75.77915,55.0962,29.861263,1.9000,191,0.00000
94,29.9202,85.85646,43.3469,24.3003,75.74054,55.1038,29.873329,1.9000,191,0.00000
95,29.9202,85.85646,43.3393,24.3003,75.74054,55.1038,29.882713,1.9000,191,0.00000
96,29.9524,85.91436,43.3546,24.3110,75.75985,55.1038,29.898799,1.9000,191,0.00000
97,29.9417,85.89507,43.3622,24.3110,75.75985,55.1191,29.909524,1.9000,191,0.00000
98,29.9524,85.91436,43.3546,24.3003,75.74054,55.1038,29.920248,1.9000,191,0.00000
99,29.9524,85.91436,43.3393,24.3003,75.74054,55.1038,29.929632,1.9000,191,0.00000
100,29.9524,85.91436,43.3546,24.2788,75.70192,55.0962,29.937679,1.9000,191,0.00000
101,29.9953,85.99159,43.3546,24.2788,75.70192,55.1038,29.948402,1.6511,166,0.00000
102,29.9739,85.95298,43.3622,24.2788,75.70192,55.1038,29.955108,1.4365,144,0.00000
103,29.9953,85.99159,43.3622,24.2896,75.72124,55.0886,29.964488,1.1364,114,0.00000
104,29.9953,85.99159,43.3469,24.2896,75.72124,55.0886,29.969852,0.9647,96,0.00000
105,29.9953,85.99159,43.3622,24.2788,75.70192,55.1191,29.976554,0.7502,74,0.00000
106,30.0060,86.01089,43.3546,24.2574,75.66333,55.0962,29.983257,0.5358,53,0.00000
107,30.0275,86.04951,43.3469,24.2788,75.70192,55.1038,29.992645,0.2354,22,0.00000
108,30.0275,86.04951,43.3622,24.2788,75.70192,55.1191,30.002029,0.1000,9,0.00000
109,30.0382,86.06882,43.3469,24.2788,75.70192,55.1038,30.007392,0.1000,9,0.00000
110,30.0704,86.12673,43.3469,24.2788,75.70192,55.1038,30.019458,0.1000,9,0.00000
111,30.0597,86.10742,43.3393,24.2681,75.68264,55.0962,30.027503,0.1000,9,0.00000
112,30.0811,86.14604,43.3622,24.2681,75.68264,55.0886,30.038227,0.1000,9,0.00000
113,30.0918,86.16533,43.3622,24.2788,75.70192,55.1038,30.050292,0.1000,9,0.00000
114,30.0811,86.14604,43.3546,24.2788,75.70192,55.0962,30.059677,0.1000,9,0.00000
115,30.1026,86.18464,43.3469,24.2788,75.70192,55.0886,30.069061,0.1000,9,0.00000
116,30.1026,86.18464,43.3469,24.2788,75.70192,55.0886,30.078445,0.1000,9,0.00000
117,30.1133,86.20395,43.3698,24.2681,75.68264,55.0809,30.087831,0.1000,9,0.00000
118,30.1240,86.22325,43.3546,24.2681,75.68264,55.0886,30.094535,0.1000,9,0.00000
119,30.1455,86.26186,43.3393,24.2574,75.66333,55.0962,30.105260,0.1000,9,0.00000
120,30.1455,86.26186,43.3240,24.2681,75.68264,55.0886,30.113300,0.1000,9,0.00000
121,30.1347,86.24256,43.3240,24.2681,75.68264,55.0886,30.118665,0.1000,9,0.00000
122,30.1455,86.26186,43.3240,24.2788,75.70192,55.0886,30.126708,0.1000,9,0.00000
123,30.1669,86.30048,43.3317,24.2467,75.64402,55.0962,30.134754,0.1000,9,0.00000
124,30.1777,86.31977,43.3240,24.2574,75.66333,55.0809,30.144138,0.1000,9,0.00000
125,30.1562,86.28117,43.3088,24.2467,75.64402,55.0962,30.149497,0.1000,9,0.00000
126,30.1669,86.30048,43.3011,24.2681,75.68264,55.0809,30.154863,0.1000,9,0.00000
127,30.1777,86.31977,43.3088,24.2359,75.62471,55.0733,30.158884,0.1000,9,0.00000
128,30.1884,86.33908,43.3011,24.2252,75.60541,55.1038,30.164247,0.1000,9,0.00000
129,30.1991,86.35839,43.2859,24.2038,75.56679,55.0962,30.172290,0.1000,9,0.00000
130,30.1991,86.35839,43.2783,24.2145,75.58611,55.0886,30.178993,0.1000,9,0.00000
131,30.1884,86.33908,43.2706,24.2252,75.60541,55.1038,30.181674,0.1000,9,0.00000
132,30.1777,86.31977,43.2706,24.2359,75.62471,55.1038,30.181673,0.1000,9,0.00000
133,30.1884,86.33908,43.2706,24.1930,75.54749,55.1038,30.185695,0.1000,9,0.00000
134,30.1991,86.35839,43.2554,24.2252,75.60541,55.0809,30.189716,0.1000,9,0.00000
135,30.2206,86.39699,43.2554,24.2145,75.58611,55.0962,30.195079,0.1000,9,0.00000
136,30.2206,86.39699,43.2249,24.2038,75.56679,55.0962,30.199100,0.1000,9,0.00000
137,30.2313,86.41630,43.2249,24.1823,75.52819,55.1114,30.203125,0.1000,9,0.00000
138,30.2098,86.37770,43.2172,24.2252,75.60541,55.0962,30.204463,0.1000,9,0.00000
139,30.2206,86.39699,43.2172,24.2038,75.56679,55.0962,30.208484,0.1000,9,0.00000
140,30.2206,86.39699,43.2172,24.2145,75.58611,55.1114,30.213848,0.1000,9,0.00000
141,30.2206,86.39699,43.2096,24.2252,75.60541,55.1114,30.217868,0.1000,9,0.00000
142,30.2420,86.43561,43.2096,24.2145,75.58611,55.1343,30.223234,0.1000,9,0.00000
143,30.1991,86.35839,43.1714,24.2252,75.60541,55.1267,30.220552,0.1000,9,0.00000
144,30.2313,86.41630,43.1867,24.2145,75.58611,55.1343,30.221895,0.1000,9,0.00000
145,30.2313,86.41630,43.1714,24.2145,75.58611,55.1496,30.221893,0.1000,9,0.00000
146,30.2313,86.41630,43.1562,24.2038,75.56679,55.1496,30.224575,0.1000,9,0.00000
147,30.2206,86.39699,43.1486,24.2252,75.60541,55.1267,30.224575,0.1000,9,0.00000
148,30.2206,86.39699,43.1409,24.2252,75.60541,55.1725,30.224575,0.1000,9,0.00000
149,30.2098,86.37770,43.1409,24.1930,75.54749,55.1572,30.223236,0.1000,9,0.00000
150,30.2206,86.39699,43.1333,24.2145,75.58611,55.1649,30.220550,0.1000,9,0.00000
151,30.2098,86.37770,43.1180,24.2145,75.58611,55.1725,30.221893,0.1000,9,0.00000
152,30.2098,86.37770,43.1104,24.2038,75.56679,55.1649,30.219211,0.1000,9,0.00000
153,30.2206,86.39699,43.1104,24.2252,75.60541,55.1801,30.217870,0.1000,9,0.00000
154,30.2206,86.39699,43.0875,24.2145,75.58611,55.1649,30.216529,0.1000,9,0.00000
155,30.2313,86.41630,43.0723,24.1716,75.50888,55.1877,30.217872,0.1000,9,0.00000
156,30.2098,86.37770,43.0417,24.2252,75.60541,55.2030,30.216533,0.1000,9,0.00000
157,30.2098,86.37770,43.0494,24.1930,75.54749,55.2106,30.216533,0.1000,9,0.00000
158,30.1884,86.33908,43.0341,24.2252,75.60541,55.2030,30.212512,0.1000,9,0.00000
159,30.2098,86.37770,43.0417,24.2145,75.58611,55.2106,30.212509,0.1000,9,0.00000
160,30.2098,86.37770,43.0265,24.2145,75.58611,55.2030,30.212511,0.1000,9,0.00000
161,30.2098,86.37770,43.0112,24.1930,75.54749,55.2335,30.211172,0.1000,9,0.00000
162,30.2206,86.39699,43.0341,24.2038,75.56679,55.2259,30.211172,0.1000,9,0.00000
163,30.2206,86.39699,43.0189,24.2038,75.56679,55.2106,30.209831,0.1000,9,0.00000
164,30.2313,86.41630,42.9883,24.2145,75.58611,55.2411,30.212512,0.1000,9,0.00000
165,30.2313,86.41630,42.9807,24.2145,75.58611,55.2259,30.215194,0.1000,9,0.00000
166,30.2420,86.43561,42.9655,24.1930,75.54749,55.2411,30.221897,0.1000,9,0.00000
167,30.2206,86.39699,42.9655,24.2145,75.58611,55.2106,30.223236,0.1000,9,0.00000
168,30.2206,86.39699,42.9807,24.2038,75.56679,55.2335,30.224575,0.1000,9,0.00000
169,30.2206,86.39699,42.9655,24.2038,75.56679,55.2411,30.225914,0.1000,9,0.00000
170,30.2206,86.39699,42.9502,24.1930,75.54749,55.2183,30.225914,0.1000,9,0.00000
171,30.2098,86.37770,42.9502,24.1823,75.52819,55.2259,30.224575,0.1000,9,0.00000
172,30.2206,86.39699,42.9349,24.1823,75.52819,55.2335,30.223234,0.1000,9,0.00000
173,30.1991,86.35839,42.9197,24.1823,75.52819,55.2106,30.219211,0.1000,9,0.00000
174,30.2098,86.37770,42.9349,24.1716,75.50888,55.1877,30.215190,0.1000,9,0.00000
175,30.2206,86.39699,42.9273,24.1609,75.48957,55.2183,30.215190,0.1000,9,0.00000
176,30.2206,86.39699,42.9197,24.1609,75.48957,55.2259,30.215190,0.1000,9,0.00000
177,30.1991,86.35839,42.8892,24.1716,75.50888,55.2259,30.212509,0.1000,9,0.00000
178,30.2206,86.39699,42.9044,24.1609,75.48957,55.2183,30.212509,0.1000,9,0.00000
179,30.2206,86.39699,42.9044,24.1823,75.52819,55.2564,30.213848,0.1000,9,0.00000
180,30.1991,86.35839,42.9044,24.1609,75.48957,55.2488,30.211166,0.1000,9,0.00000
181,30.1884,86.33908,42.8815,24.1609,75.48957,55.2259,30.209827,0.1000,9,0.00000
182,30.2313,86.41630,42.8892,24.1716,75.50888,55.2488,30.212509,0.1000,9,0.00000
183,30.2313,86.41630,42.8739,24.1930,75.54749,55.2411,30.213848,0.1000,9,0.00000
184,30.2313,86.41630,42.8739,24.1823,75.52819,55.2564,30.215190,0.1000,9,0.00000
185,30.2206,86.39699,42.8739,24.1716,75.50888,55.2411,30.217868,0.1000,9,0.00000
186,30.2206,86.39699,42.8663,24.1609,75.48957,55.2488,30.217868,0.1000,9,0.00000
187,30.2206,86.39699,42.8586,24.1930,75.54749,55.2564,30.217868,0.1000,9,0.00000
188,30.2206,86.39699,42.8434,24.1823,75.52819,55.2564,30.220550,0.1000,9,0.00000
189,30.1884,86.33908,42.8434,24.1716,75.50888,55.2488,30.220552,0.1000,9,0.00000
