time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,amps,pwm,pid_i
152,28.9228,84.06107,43.4690,24.7508,76.55136,54.2264,28.914773,0.1000,9,0.00000
153,28.9121,84.04177,43.4690,24.7293,76.51274,54.2188,28.914773,0.1000,9,0.00000
154,28.9121,84.04177,43.4690,24.7293,76.51274,54.2188,28.917455,0.1000,9,0.00000
155,28.9443,84.09969,43.4690,24.7615,76.57067,54.2188,28.921474,0.1000,9,0.00000
156,28.9443,84.09969,43.4690,24.7508,76.55136,54.2188,28.925497,0.1000,9,0.00000
157,28.9335,84.08037,43.4690,24.7508,76.55136,54.2188,28.928180,0.1000,9,0.00000
158,28.9335,84.08037,43.4537,24.7508,76.55136,54.2188,28.928180,0.1000,9,0.00000
159,28.9228,84.06107,43.4461,24.7508,76.55136,54.2341,28.928180,0.1000,9,0.00000
160,28.9443,84.09969,43.4385,24.7508,76.55136,54.2188,28.930862,0.1000,9,0.00000
161,28.9228,84.06107,43.4232,24.7400,76.53205,54.2036,28.932203,0.1000,9,0.00000
162,28.9228,84.06107,43.4308,24.7508,76.55136,54.2112,28.933540,0.1000,9,0.00000
163,28.9228,84.06107,43.4308,24.7508,76.55136,54.2036,28.930858,0.1000,9,0.00000
164,28.9335,84.08037,43.4232,24.7508,76.55136,54.2036,28.929515,0.1000,9,0.00000
165,28.9443,84.09969,43.4385,24.7722,76.58997,54.2264,28.930858,0.1000,9,0.00000
166,28.9335,84.08037,43.4156,24.7508,76.55136,54.2036,28.930862,0.1000,9,0.00000
167,28.9335,84.08037,43.4308,24.7508,76.55136,54.2188,28.932201,0.1000,9,0.00000
168,28.9550,84.11899,43.4232,24.7615,76.57067,54.2188,28.933544,0.1000,9,0.00000
169,28.9335,84.08037,43.4080,24.7400,76.53205,54.2264,28.934883,0.1000,9,0.00000
170,28.9335,84.08037,43.4080,24.7722,76.58997,54.2417,28.936222,0.1000,9,0.00000
171,28.9014,84.02246,43.4003,24.7615,76.57067,54.2112,28.933540,0.1000,9,0.00000
172,28.9335,84.08037,43.4080,24.7508,76.55136,54.2188,28.933540,0.1000,9,0.00000
173,28.9443,84.09969,43.4080,24.7508,76.55136,54.2188,28.933540,0.1000,9,0.00000
174,28.9335,84.08037,43.4080,24.7508,76.55136,54.2341,28.933540,0.1000,9,0.00000
175,28.9335,84.08037,43.4080,24.7615,76.57067,54.2264,28.933540,0.1000,9,0.00000
176,28.9443,84.09969,43.4003,24.7722,76.58997,54.2112,28.932197,0.1000,9,0.00000
177,28.9335,84.08037,43.4080,24.7829,76.60927,54.2188,28.932197,0.1000,9,0.00000
178,28.9228,84.06107,43.3927,24.7615,76.57067,54.1959,28.930858,0.1000,9,0.00000
179,28.9335,84.08037,43.3851,24.7829,76.60927,54.2264,28.934879,0.1000,9,0.00000
180,28.9335,84.08037,43.4003,24.7722,76.58997,54.2188,28.934879,0.1000,9,0.00000
181,28.9335,84.08037,43.3927,24.7722,76.58997,54.2112,28.933540,0.1000,9,0.00000
182,28.9443,84.09969,43.3698,24.7829,76.60927,54.2188,28.934879,0.1000,9,0.00000
183,28.9335,84.08037,43.4003,24.7615,76.57067,54.1959,28.934883,0.1000,9,0.00000
184,28.9443,84.09969,43.4003,24.7722,76.58997,54.2188,28.934879,0.1000,9,0.00000
185,28.9228,84.06107,43.3927,24.7722,76.58997,54.2264,28.933540,0.1000,9,0.00000
186,28.9228,84.06107,43.3774,24.7829,76.60927,54.2264,28.933536,0.1000,9,0.00000
187,28.9443,84.09969,43.3851,24.7722,76.58997,54.2264,28.934879,0.1000,9,0.00000
188,28.9228,84.06107,43.3546,24.7937,76.62858,54.2112,28.933540,0.1000,9,0.00000
189,28.9121,84.04177,43.3774,24.7937,76.62858,54.2188,28.930858,0.1000,9,0.00000
190,28.9228,84.06107,43.3622,24.8044,76.64789,54.2264,28.928176,0.1000,9,0.00000
191,28.9228,84.06107,43.3774,24.8044,76.64789,54.2112,28.926837,0.1000,9,0.00000
192,28.9335,84.08037,43.3851,24.7722,76.58997,54.2112,28.925498,0.1000,9,0.00000
193,28.9121,84.04177,43.3622,24.7829,76.60927,54.1959,28.924160,0.1000,9,0.00000
194,28.9443,84.09969,43.4003,24.7829,76.60927,54.1959,28.926837,0.1000,9,0.00000
195,28.9443,84.09969,43.3851,24.7937,76.62858,54.2112,28.926837,0.1000,9,0.00000
196,28.9550,84.11899,43.3851,24.7722,76.58997,54.2112,28.930860,0.1000,9,0.00000
197,28.9443,84.09969,43.3851,24.7937,76.62858,54.1959,28.934883,0.1000,9,0.00000
198,28.9335,84.08037,43.3774,24.7722,76.58997,54.1959,28.936225,0.1000,9,0.00000
199,28.9443,84.09969,43.3698,24.7615,76.57067,54.1883,28.938907,0.1000,9,0.00000
200,28.9550,84.11899,43.3851,24.7937,76.62858,54.2036,28.941587,0.1000,9,0.00000
201,28.9335,84.08037,43.3851,24.7722,76.58997,54.1883,28.944267,0.1000,9,0.00000
202,28.9443,84.09969,43.3774,24.7615,76.57067,54.1807,28.944267,0.1000,9,0.00000
203,28.9657,84.13830,43.3774,24.7829,76.60927,54.1959,28.946949,0.1000,9,0.00000
204,28.9228,84.06107,43.3622,24.7722,76.58997,54.1883,28.942928,0.1000,9,0.00000
205,28.9335,84.08037,43.3927,24.7615,76.57067,54.1883,28.941585,0.1000,9,0.00000
206,28.9443,84.09969,43.3546,24.7615,76.57067,54.2036,28.942924,0.1000,9,0.00000
207,28.9550,84.11899,43.3774,24.7508,76.55136,54.1730,28.944267,0.1000,9,0.00000
208,28.9335,84.08037,43.3622,24.7615,76.57067,54.1654,28.941585,0.1000,9,0.00000
209,28.9335,84.08037,43.3774,24.7508,76.55136,54.1501,28.941589,0.1000,9,0.00000
210,28.9335,84.08037,43.3698,24.7508,76.55136,54.1730,28.940246,0.1000,9,0.00000
211,28.9335,84.08037,43.3851,24.7508,76.55136,54.1730,28.936222,0.1000,9,0.00000
212,28.9335,84.08037,43.3851,24.7508,76.55136,54.1730,28.937561,0.1000,9,0.00000
213,28.9335,84.08037,43.3698,24.7079,76.47414,54.1578,28.937561,0.1000,9,0.00000
214,28.9228,84.06107,43.3622,24.6971,76.45484,54.1654,28.934879,0.1000,9,0.00000
215,28.9335,84.08037,43.3774,24.7186,76.49345,54.1654,28.932197,0.1000,9,0.00000
216,28.9014,84.02246,43.3698,24.6864,76.43553,54.1730,28.928176,0.1000,9,0.00000
217,28.9014,84.02246,43.3774,24.7079,76.47414,54.1654,28.924152,0.1000,9,0.00000
218,28.9228,84.06107,43.3622,24.6971,76.45484,54.1883,28.922813,0.1000,9,0.00000
219,28.9121,84.04177,43.3851,24.6864,76.43553,54.1807,28.920131,0.1000,9,0.00000
220,28.9228,84.06107,43.3774,24.6864,76.43553,54.1654,28.918792,0.1000,9,0.00000
221,28.9335,84.08037,43.3774,24.6864,76.43553,54.1883,28.918792,0.1000,9,0.00000
222,28.9335,84.08037,43.3698,24.6864,76.43553,54.1883,28.920135,0.1000,9,0.00000
223,28.9121,84.04177,43.3698,24.6864,76.43553,54.2036,28.917453,0.1000,9,0.00000
224,28.9228,84.06107,43.3851,24.6542,76.37761,54.1959,28.920135,0.1000,9,0.00000
225,28.9335,84.08037,43.3851,24.6650,76.39692,54.2112,28.924156,0.1000,9,0.00000
