time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,ext_temp_c+4,amps,pwm,pid_i,pid_d,target_c
62,29.2446,84.64022,43.6750,24.7722,76.58997,53.8679,29.197647,28.7722,1.950,196,0.0000,-0.0516,32.0000
63,29.2231,84.60162,43.6597,24.7937,76.62858,53.8679,29.205692,28.7937,1.950,196,0.0000,-0.0478,32.0000
64,29.2338,84.62093,43.6750,24.7615,76.57067,53.8679,29.212392,28.7615,1.950,196,0.0000,-0.0430,32.0000
65,29.2553,84.65953,43.6750,24.7829,76.60927,53.8602,29.224456,28.7829,1.950,196,0.0000,-0.0488,32.0000
66,29.2446,84.64022,43.6902,24.7829,76.60927,53.8755,29.229820,28.7829,1.950,196,0.0000,-0.0415,32.0000
67,29.2875,84.71745,43.6979,24.7722,76.58997,53.8831,29.240547,28.7722,1.950,196,0.0000,-0.0455,32.0000
68,29.2553,84.65953,43.7055,24.7722,76.58997,53.8755,29.244571,28.7722,1.950,196,0.0000,-0.0371,32.0000
69,29.3089,84.75606,43.7208,24.8044,76.64789,53.8679,29.256633,28.8044,1.950,196,0.0000,-0.0448,32.0000
70,29.3089,84.75606,43.7131,24.7937,76.62858,53.8679,29.264678,28.7937,1.950,196,0.0000,-0.0433,32.0000
71,29.3089,84.75606,43.7131,24.8151,76.66719,53.8679,29.275405,28.8151,1.950,196,0.0000,-0.0467,32.0000
72,29.3196,84.77537,43.7284,24.7615,76.57067,53.8373,29.286130,28.7615,1.950,196,0.0000,-0.0490,32.0000
73,29.3196,84.77537,43.7208,24.7722,76.58997,53.8602,29.294174,28.7722,1.950,196,0.0000,-0.0461,32.0000
74,29.3518,84.83328,43.7208,24.7722,76.58997,53.8602,29.307579,28.7722,1.950,196,0.0000,-0.0531,32.0000
75,29.3411,84.81398,43.7208,24.7829,76.60927,53.8602,29.314287,28.7829,1.950,196,0.0000,-0.0466,32.0000
76,29.3411,84.81398,43.7437,24.7937,76.62858,53.8679,29.325012,28.7937,1.950,196,0.0000,-0.0489,32.0000
77,29.3518,84.83328,43.7360,24.7829,76.60927,53.8679,29.330371,28.7829,1.950,196,0.0000,-0.0415,32.0000
78,29.3733,84.87188,43.7360,24.7829,76.60927,53.8373,29.338413,28.7829,1.950,196,0.0000,-0.0411,32.0000
79,29.3840,84.89119,43.7437,24.7829,76.60927,53.8450,29.347797,28.7829,1.950,196,0.0000,-0.0430,32.0000
