timestamp,ltz1000-3-to-4
1514701250.914,17516.8
1514701254.266,17517.6
1514701257.618,17517.0
1514701260.971,17520.1
1514701264.322,17520.1
1514701267.675,17519.9
1514701271.027,17520.3
1514701274.379,17520.6
1514701277.731,17520.7
1514701281.083,17520.7
1514701284.435,17520.7
1514701287.788,17518.3
1514701291.140,17518.6
1514701294.492,17517.6
1514701297.844,17518.0
1514701301.196,17517.6
1514701304.548,17517.6
1514701307.901,17518.6
1514701311.252,17518.8
1514701314.605,17518.4
1514701317.957,17518.4
1514701321.309,17519.0
1514701324.661,17518.7
1514701328.013,17518.6
1514701331.365,17518.5
1514701334.718,17518.4
1514701338.070,17518.4
1514701341.422,17518.5
1514701344.774,17519.0
1514701348.126,17519.0
1514701351.478,17519.0
1514701354.831,17518.7
1514701358.183,17518.9
1514701361.536,17519.2
1514701364.887,17519.2
1514701368.240,17519.1
1514701371.592,17519.2
1514701374.943,17518.9
1514701378.296,17519.1
1514701381.648,17519.3
1514701385.001,17519.2
1514701388.352,17519.1
1514701391.704,17519.4
1514701395.056,17519.4
1514701398.409,17519.7
1514701401.761,17519.6
1514701405.113,17519.8
1514701408.465,17520.3
1514701411.817,17519.8
1514701415.169,17519.9
1514701418.522,17520.6
1514701421.874,17521.0
1514701425.225,17521.0
1514701428.578,17521.0
1514701431.930,17520.8
1514701435.282,17521.0
1514701438.635,17521.0
1514701441.987,17520.8
1514701445.338,17519.0
1514701448.690,17519.2
1514701452.043,17518.8
1514701455.396,17518.9
1514701458.747,17518.9
1514701462.100,17518.9
1514701465.452,17518.8
1514701468.804,17519.2
1514701472.156,17519.0
1514701475.508,17519.2
1514701478.861,17519.4
1514701482.212,17519.1
1514701485.565,17519.4
1514701488.916,17519.4
1514701492.269,17519.6
1514701495.621,17519.4
1514701498.973,17519.5
1514701502.325,17519.5
1514701505.678,17519.6
1514701509.029,17519.6
1514701512.382,17519.7
1514701515.734,17519.9
1514701519.087,17520.1
1514701522.438,17520.2
1514701525.791,17520.0
1514701529.143,17519.7
1514701532.495,17519.9
1514701535.847,17520.1
1514701539.200,17519.6
1514701542.551,17519.8
1514701545.904,17520.1
1514701549.256,17520.0
1514701552.608,17520.1
1514701555.960,17519.9
1514701559.312,17519.9
1514701562.664,17519.8
1514701566.017,17519.9
1514701569.368,17520.1
1514701572.721,17520.2
1514701576.073,17520.1
1514701579.425,17520.2
1514701582.777,17520.1
1514701586.129,17520.3
1514701589.481,17520.5
1514701592.834,17520.4
1514701596.185,17520.3
1514701599.538,17520.0
1514701602.890,17520.3
1514701606.242,17520.2
1514701609.594,17520.0
1514701612.947,17520.1
1514701616.298,17520.3
1514701619.651,17520.2
1514701623.003,17520.2
1514701626.356,17520.4
1514701629.707,17520.4
1514701633.060,17520.5
1514701636.411,17521.2
1514701639.764,17520.3
1514701643.116,17520.4
1514701646.468,17520.6
1514701649.821,17520.7
1514701653.172,17521.0
1514701656.525,17520.9
1514701659.877,17520.7
1514701663.229,17520.6
1514701666.581,17520.7
1514701669.933,17520.6
1514701673.285,17520.5
1514701676.638,17520.6
1514701679.989,17520.9
1514701683.342,17520.8
1514701686.694,17521.2
1514701690.046,17520.9
1514701693.398,17520.8
1514701696.750,17521.1
1514701700.103,17521.0
1514701703.454,17520.9
1514701706.807,17521.0
1514701710.159,17521.1
1514701713.511,17520.5
1514701716.863,17520.4
1514701720.216,17519.9
1514701723.567,17519.8
1514701726.920,17519.6
1514701730.272,17519.9
1514701733.624,17520.2
1514701736.976,17520.4
1514701740.329,17520.1
1514701743.681,17520.1
1514701747.032,17520.3
1514701750.385,17520.1
1514701753.737,17520.3
1514701757.089,17520.0
1514701760.441,17520.3
1514701763.794,17520.5
1514701767.145,17520.4
1514701770.498,17520.2
1514701773.850,17520.6
1514701777.203,17520.4
1514701780.554,17520.5
1514701783.907,17520.4
1514701787.259,17520.7
1514701790.611,17520.6
1514701793.963,17520.8
1514701797.316,17520.6
1514701800.667,17520.7
1514701804.019,17520.7
1514701807.372,17520.5
1514701810.723,17520.9
1514701814.076,17520.9
1514701817.428,17520.8
1514701820.781,17520.9
1514701824.132,17520.8
1514701827.485,17520.6
1514701830.837,17520.7
1514701834.189,17520.8
1514701837.541,17520.5
1514701840.893,17520.5
1514701844.245,17520.6
1514701847.598,17520.7
1514701850.949,17520.5
1514701854.302,17520.6
1514701857.653,17520.5
1514701861.006,17521.1
1514701864.359,17521.0
1514701867.710,17521.0
1514701871.063,17521.2
1514701874.414,17521.1
1514701877.767,17521.3
1514701881.119,17521.2
1514701884.472,17520.9
1514701887.823,17521.7
1514701891.176,17521.0
1514701894.527,17521.1
1514701897.880,17521.1
1514701901.232,17521.3
1514701904.584,17521.6
1514701907.936,17521.5
1514701911.288,17521.5
