timestamp,ltz1000-p17-negcase
1514592161.491,7071497.6
1514592164.844,7071496.9
1514592168.197,7071496.9
1514592171.548,7071498.2
1514592174.901,7071497.9
1514592178.252,7071497.1
1514592181.605,7071497.6
1514592184.957,7071497.4
1514592188.309,7071497.4
1514592191.661,7071495.4
1514592195.013,7071495.9
1514592198.365,7071497.9
1514592201.717,7071496.6
1514592205.069,7071497.4
1514592208.422,7071496.9
1514592211.773,7071496.4
1514592215.126,7071496.9
1514592218.478,7071496.4
1514592221.829,7071495.6
1514592225.182,7071495.9
1514592228.534,7071495.6
1514592231.886,7071496.1
1514592235.238,7071496.1
1514592238.591,7071495.1
1514592241.942,7071495.4
1514592245.295,7071494.4
1514592248.646,7071495.9
1514592251.999,7071495.9
1514592255.351,7071495.4
1514592258.703,7071494.6
1514592262.055,7071496.1
1514592265.408,7071496.4
1514592268.759,7071496.6
1514592272.111,7071497.1
1514592275.463,7071497.1
1514592278.815,7071497.4
1514592282.168,7071496.4
1514592285.520,7071496.6
1514592288.872,7071495.9
1514592292.224,7071496.6
1514592295.576,7071496.1
1514592298.929,7071498.7
1514592302.280,7071497.4
1514592305.633,7071497.9
1514592308.984,7071497.4
1514592312.337,7071498.7
1514592315.689,7071496.9
1514592319.041,7071497.9
1514592322.393,7071497.9
1514592325.745,7071497.9
1514592329.097,7071498.2
1514592332.449,7071496.4
1514592335.801,7071497.6
1514592339.153,7071497.4
1514592342.505,7071497.9
1514592345.858,7071497.4
1514592349.210,7071497.1
1514592352.561,7071497.6
1514592355.914,7071497.3
1514592359.266,7071497.1
1514592362.618,7071499.2
1514592365.970,7071498.2
1514592369.322,7071496.6
1514592372.674,7071498.7
1514592376.027,7071497.6
1514592379.378,7071497.9
1514592382.731,7071497.9
1514592386.083,7071498.2
1514592389.435,7071497.9
1514592392.788,7071497.0
1514592396.139,7071497.4
1514592399.491,7071498.4
1514592402.843,7071497.6
1514592406.195,7071497.1
1514592409.548,7071497.1
1514592412.899,7071496.4
1514592416.252,7071497.1
1514592419.603,7071495.9
1514592422.956,7071496.6
1514592426.309,7071497.9
1514592429.660,7071496.4
1514592433.013,7071496.6
1514592436.364,7071496.9
1514592439.716,7071496.9
1514592443.069,7071498.7
1514592446.420,7071497.1
1514592449.773,7071496.6
1514592453.125,7071497.1
1514592456.477,7071497.6
1514592459.829,7071497.1
1514592463.181,7071496.4
1514592466.534,7071497.6
1514592470.193,7071497.3
1514592473.238,7071497.4
1514592476.589,7071499.4
1514592479.942,7071496.9
1514592483.294,7071496.6
1514592486.645,7071498.2
1514592489.998,7071496.6
1514592493.350,7071497.1
1514592496.702,7071497.1
1514592500.054,7071497.1
1514592503.406,7071497.1
1514592506.759,7071497.6
1514592510.111,7071497.9
1514592513.463,7071497.6
1514592516.815,7071495.1
1514592520.167,7071497.1
1514592523.519,7071497.1
1514592526.871,7071496.1
1514592530.224,7071497.4
1514592533.575,7071497.4
1514592536.928,7071496.4
1514592540.280,7071497.4
1514592543.631,7071496.6
1514592546.984,7071496.9
1514592550.336,7071496.6
1514592553.688,7071497.6
