timestamp,lm399-negcase
1514595031.441,6885961.5
1514595034.794,6885960.9
1514595038.145,6885961.7
1514595041.498,6885961.5
1514595044.849,6885962.0
1514595048.202,6885962.0
1514595051.554,6885959.7
1514595054.906,6885961.5
1514595058.259,6885962.7
1514595061.610,6885961.5
1514595064.963,6885961.7
1514595068.314,6885961.2
1514595071.667,6885959.4
1514595075.019,6885960.2
1514595078.371,6885960.7
1514595081.724,6885961.7
1514595085.075,6885962.0
1514595088.428,6885961.5
1514595091.779,6885961.7
1514595095.132,6885960.7
1514595098.484,6885960.2
1514595101.836,6885959.4
1514595105.188,6885960.9
1514595108.540,6885961.7
1514595111.892,6885959.4
1514595115.244,6885960.9
1514595118.597,6885958.4
1514595121.948,6885959.9
1514595125.301,6885959.2
1514595128.653,6885961.7
1514595132.005,6885961.2
1514595135.357,6885959.9
1514595138.710,6885959.7
1514595142.061,6885960.4
1514595145.414,6885960.9
1514595148.766,6885961.2
1514595152.118,6885962.0
1514595155.469,6885959.7
1514595158.822,6885960.4
1514595162.174,6885959.9
1514595165.526,6885959.2
1514595168.878,6885960.2
1514595172.231,6885959.2
1514595175.582,6885959.9
1514595178.935,6885961.5
1514595182.287,6885960.9
1514595185.639,6885959.3
1514595188.991,6885960.7
1514595192.343,6885960.2
1514595195.695,6885958.9
1514595199.048,6885958.9
1514595202.399,6885959.2
1514595205.752,6885959.7
1514595209.104,6885959.2
1514595212.456,6885958.4
1514595215.808,6885959.4
1514595219.161,6885957.9
1514595222.512,6885960.7
1514595225.865,6885960.4
1514595229.217,6885961.2
1514595232.569,6885961.5
1514595235.921,6885961.5
1514595239.273,6885962.2
1514595242.625,6885960.7
1514595245.977,6885962.5
1514595249.329,6885963.2
1514595252.681,6885964.0
1514595256.033,6885964.5
1514595259.385,6885965.3
1514595262.738,6885962.7
1514595266.090,6885960.9
1514595269.442,6885960.4
1514595272.794,6885961.7
1514595276.146,6885960.9
1514595279.499,6885963.2
1514595282.851,6885962.7
1514595286.203,6885961.2
1514595289.555,6885960.4
1514595292.907,6885962.0
1514595296.259,6885958.9
1514595299.611,6885960.2
1514595302.964,6885958.9
1514595306.315,6885959.4
1514595309.667,6885959.9
1514595313.019,6885960.4
1514595316.372,6885959.4
1514595319.724,6885960.4
1514595323.076,6885961.2
1514595326.428,6885962.2
1514595329.780,6885965.0
1514595333.132,6885963.5
1514595336.484,6885964.2
1514595339.837,6885964.5
1514595343.188,6885962.0
1514595346.541,6885961.2
1514595349.893,6885962.0
1514595353.245,6885961.7
1514595356.598,6885959.9
1514595359.949,6885961.2
1514595363.301,6885960.7
1514595366.654,6885960.7
1514595370.006,6885960.2
1514595373.358,6885962.0
1514595376.710,6885959.2
1514595380.062,6885962.2
1514595383.414,6885960.4
1514595386.766,6885960.7
1514595390.119,6885961.2
1514595393.470,6885959.4
1514595396.823,6885960.9
1514595400.175,6885961.7
1514595403.527,6885965.0
1514595406.879,6885964.5
1514595410.231,6885964.2
1514595413.583,6885963.5
1514595416.935,6885964.0
1514595420.287,6885964.5
1514595423.640,6885963.7
1514595426.992,6885964.5
1514595430.343,6885963.0
1514595433.696,6885964.7
1514595437.048,6885965.3
1514595440.400,6885964.5
1514595443.752,6885964.7
1514595447.104,6885962.3
1514595450.456,6885962.0
1514595453.808,6885961.2
1514595457.161,6885961.5
1514595460.513,6885962.2
1514595463.865,6885962.0
1514595467.218,6885961.2
1514595470.569,6885962.0
1514595473.921,6885961.7
1514595477.273,6885960.9
1514595480.626,6885961.2
1514595483.978,6885961.2
1514595487.329,6885959.9
1514595490.682,6885961.5
1514595494.035,6885960.7
1514595497.386,6885961.2
1514595500.738,6885960.9
1514595504.090,6885960.9
1514595507.443,6885960.4
1514595510.795,6885962.2
1514595514.147,6885961.7
1514595517.499,6885963.5
1514595520.851,6885963.7
1514595524.203,6885963.0
1514595527.556,6885963.7
1514595530.907,6885963.5
1514595534.260,6885962.2
1514595537.611,6885964.0
1514595540.964,6885963.7
1514595544.316,6885964.5
1514595547.667,6885964.0
1514595551.020,6885963.0
1514595554.372,6885962.0
1514595557.725,6885963.7
1514595561.076,6885964.0
1514595564.428,6885962.5
1514595567.781,6885960.7
1514595571.133,6885959.9
1514595574.485,6885960.9
1514595577.837,6885960.9
1514595581.189,6885961.5
1514595584.542,6885960.4
1514595587.893,6885958.7
1514595591.245,6885960.4
1514595594.598,6885959.9
1514595597.949,6885959.9
1514595601.302,6885960.7
1514595604.654,6885961.2
1514595608.006,6885959.9
1514595611.358,6885960.7
1514595614.710,6885960.7
1514595618.063,6885961.7
1514595621.414,6885961.7
1514595624.767,6885959.9
1514595628.119,6885960.4
1514595631.471,6885961.5
1514595634.824,6885962.5
1514595638.175,6885960.7
1514595641.527,6885961.7
1514595644.879,6885960.9
1514595648.232,6885960.9
1514595651.584,6885959.7
1514595654.936,6885960.7
1514595658.288,6885959.7
1514595661.668,6885959.9
1514595664.992,6885959.9
1514595668.345,6885960.4
1514595671.696,6885960.7
1514595675.049,6885959.9
1514595678.401,6885959.4
1514595681.753,6885958.7
1514595685.105,6885959.4
1514595688.457,6885959.2
1514595691.809,6885959.7
1514595695.161,6885960.7
1514595698.513,6885959.4
1514595701.865,6885959.7
1514595705.218,6885960.2
1514595708.570,6885959.7
1514595711.921,6885960.9
1514595715.274,6885959.9
1514595718.626,6885959.4
1514595721.978,6885960.7
1514595725.330,6885958.2
1514595728.683,6885959.7
1514595732.034,6885959.4
1514595735.386,6885957.6
1514595738.739,6885959.2
1514595742.091,6885958.9
1514595745.443,6885958.4
1514595748.795,6885958.7
1514595752.348,6885959.2
1514595755.499,6885957.9
1514595758.852,6885958.9
1514595762.203,6885959.4
1514595765.556,6885958.2
1514595768.908,6885958.9
1514595772.260,6885959.4
1514595775.612,6885960.7
1514595778.964,6885960.9
1514595782.316,6885958.9
1514595785.669,6885960.2
1514595789.020,6885958.7
1514595792.373,6885958.9
1514595795.725,6885960.2
1514595799.076,6885959.4
1514595802.429,6885960.9
1514595805.781,6885958.9
1514595809.133,6885961.2
1514595812.486,6885961.2
1514595815.837,6885960.9
1514595819.190,6885959.7
1514595822.542,6885961.7
1514595825.894,6885960.7
1514595829.246,6885960.4
1514595832.598,6885959.7
1514595835.950,6885961.2
1514595839.302,6885960.7
1514595842.654,6885959.2
1514595846.006,6885959.9
1514595849.359,6885959.9
1514595852.711,6885958.4
1514595856.062,6885959.4
1514595859.415,6885959.4
