timestamp,ltz1000-p19-soldered-leads
1513979910.773,7189841.9
1513979914.126,7189845.2
1513979917.477,7189844.9
1513979920.829,7189844.6
1513979924.182,7189846.2
1513979927.533,7189842.6
1513979930.886,7189845.4
1513979934.238,7189844.1
1513979937.590,7189842.9
1513979940.942,7189844.0
1513979944.295,7189844.4
1513979947.646,7189844.6
1513979950.999,7189844.8
1513979954.351,7189843.1
1513979957.703,7189843.1
1513979961.055,7189843.4
1513979964.407,7189840.6
1513979967.759,7189841.9
1513979971.111,7189842.4
1513979974.463,7189842.1
1513979977.816,7189842.6
1513979981.167,7189843.4
1513979984.520,7189843.1
1513979987.872,7189843.0
1513979991.224,7189844.6
1513979994.576,7189845.7
1513979997.928,7189845.4
1513980001.280,7189843.6
1513980004.633,7189842.5
1513980007.985,7189842.9
1513980011.336,7189842.6
1513980014.689,7189842.0
1513980018.308,7189842.1
1513980021.393,7189840.7
1513980024.746,7189844.9
1513980028.097,7189836.8
1513980031.450,7189838.2
1513980034.801,7189839.1
1513980038.153,7189843.2
1513980041.506,7189840.3
1513980044.864,7189840.6
1513980048.210,7189842.7
1513980051.562,7189843.6
1513980054.914,7189843.1
1513980058.266,7189841.6
1513980061.618,7189841.9
1513980064.971,7189840.1
1513980068.322,7189838.6
1513980071.674,7189840.1
1513980075.027,7189838.8
1513980078.379,7189836.0
1513980081.731,7189838.6
1513980085.083,7189838.1
1513980088.435,7189838.7
1513980091.787,7189846.4
1513980095.139,7189844.6
1513980098.492,7189841.1
1513980101.843,7189841.3
1513980105.196,7189842.0
1513980108.548,7189841.1
1513980111.900,7189842.9
1513980115.252,7189842.2
1513980118.604,7189841.3
1513980121.957,7189843.6
1513980125.308,7189845.7
1513980128.661,7189846.8
1513980132.012,7189844.6
1513980135.365,7189843.8
1513980138.717,7189842.6
1513980142.069,7189845.4
1513980145.421,7189843.2
1513980148.773,7189845.9
1513980152.125,7189844.3
1513980155.478,7189846.2
1513980158.829,7189846.7
1513980162.182,7189845.2
1513980165.534,7189843.4
1513980168.886,7189846.9
