timestamp,run1-1433x
1516701789.742,99998.582
1516701793.094,99998.605
1516701796.447,99998.582
1516701799.799,99998.592
1516701803.151,99998.577
1516701806.503,99998.582
1516701809.855,99998.577
1516701813.207,99998.587
1516701816.560,99998.597
1516701819.911,99998.600
1516701823.263,99998.590
1516701826.616,99998.597
1516701829.968,99998.600
1516701833.320,99998.600
1516701836.673,99998.605
1516701840.024,99998.592
1516701843.376,99998.615
1516701846.728,99998.590
1516701850.081,99998.605
1516701853.433,99998.595
1516701856.785,99998.600
1516701860.136,99998.638
1516701863.489,99998.633
1516701866.841,99998.612
1516701870.193,99998.597
1516701873.545,99998.607
1516701876.898,99998.595
1516701880.250,99998.600
1516701883.602,99998.595
1516701886.954,99998.595
1516701890.306,99998.607
1516701893.658,99998.597
1516701897.010,99998.610
1516701900.363,99998.605
1516701903.715,99998.592
1516701907.067,99998.590
1516701910.418,99998.577
1516701913.771,99998.602
1516701917.123,99998.592
1516701920.475,99998.612
1516701923.827,99998.610
1516701927.179,99998.615
1516701930.532,99998.605
1516701933.884,99998.602
1516701937.236,99998.597
1516701940.588,99998.592
1516701943.940,99998.623
1516701947.293,99998.595
1516701950.644,99998.592
1516701953.997,99998.592
1516701957.349,99998.584
1516701960.701,99998.587
1516701964.053,99998.595
1516701967.405,99998.602
1516701970.757,99998.595
1516701974.109,99998.610
1516701977.461,99998.597
1516701980.814,99998.600
1516701984.166,99998.597
1516701987.518,99998.607
1516701990.869,99998.607
1516701994.222,99998.625
1516701997.574,99998.610
1516702000.926,99998.605
1516702004.279,99998.630
1516702007.631,99998.620
1516702010.983,99998.597
1516702014.335,99998.620
1516702017.687,99998.605
1516702021.039,99998.607
1516702024.391,99998.615
1516702027.743,99998.605
1516702031.095,99998.615
1516702034.448,99998.615
1516702037.800,99998.597
1516702041.152,99998.602
1516702044.503,99998.610
1516702047.856,99998.605
1516702051.208,99998.595
1516702054.560,99998.592
1516702057.912,99998.615
1516702061.265,99998.590
1516702064.617,99998.602
1516702067.968,99998.605
1516702071.321,99998.590
1516702074.673,99998.602
1516702078.025,99998.605
1516702081.378,99998.605
1516702084.730,99998.619
1516702088.081,99998.620
1516702091.434,99998.615
1516702094.786,99998.617
1516702098.138,99998.628
1516702101.490,99998.602
1516702104.842,99998.615
1516702108.195,99998.615
1516702111.546,99998.615
1516702114.899,99998.607
1516702118.251,99998.602
1516702121.602,99998.602
1516702124.955,99998.587
1516702128.307,99998.602
1516702131.659,99998.615
1516702135.011,99998.600
1516702138.364,99998.620
1516702141.716,99998.620
1516702145.067,99998.625
1516702148.419,99998.625
1516702151.772,99998.610
1516702155.124,99998.615
1516702158.476,99998.612
1516702161.829,99998.612
1516702165.180,99998.610
1516702168.532,99998.602
1516702171.884,99998.610
