timestamp,ltz1000-p17
1513995854.807,7071343.2
1513995858.160,7071339.7
1513995861.511,7071341.5
1513995864.864,7071344.2
1513995868.216,7071342.2
1513995871.567,7071340.9
1513995874.920,7071341.7
1513995878.272,7071340.2
1513995881.624,7071339.4
1513995884.976,7071344.0
1513995888.328,7071344.5
1513995891.680,7071344.2
1513995895.033,7071344.2
1513995898.384,7071345.0
1513995901.737,7071344.0
1513995905.088,7071344.2
1513995908.441,7071344.8
1513995911.792,7071345.3
1513995915.145,7071345.5
1513995918.497,7071346.0
1513995921.849,7071344.8
1513995925.201,7071343.5
1513995928.553,7071343.7
1513995931.905,7071340.7
1513995935.257,7071340.2
1513995938.610,7071341.7
1513995941.961,7071341.5
1513995945.314,7071341.2
1513995948.666,7071341.5
1513995952.018,7071341.5
1513995955.370,7071343.7
1513995958.722,7071342.7
1513995962.074,7071342.5
1513995965.426,7071345.8
1513995968.779,7071344.5
1513995972.131,7071342.7
1513995975.482,7071342.5
1513995978.835,7071343.0
1513995982.186,7071343.7
1513995985.539,7071343.5
1513995988.891,7071343.2
1513995992.242,7071343.7
1513995995.595,7071343.5
1513995998.948,7071343.2
1513996002.299,7071342.5
1513996005.652,7071342.2
1513996009.003,7071343.7
1513996012.355,7071343.5
1513996015.707,7071343.5
1513996019.059,7071345.3
1513996022.412,7071347.5
1513996025.764,7071345.5
1513996029.115,7071345.3
1513996032.468,7071343.0
1513996035.820,7071345.8
1513996039.172,7071344.0
1513996042.524,7071344.5
1513996045.877,7071344.8
1513996049.229,7071343.2
1513996052.581,7071346.0
1513996055.932,7071345.3
1513996059.285,7071345.0
1513996062.637,7071344.5
1513996065.989,7071343.7
1513996069.341,7071346.0
1513996072.693,7071343.0
1513996076.045,7071343.5
1513996079.397,7071343.0
1513996082.750,7071342.7
1513996086.101,7071342.2
1513996089.454,7071343.2
1513996092.806,7071344.0
1513996096.157,7071343.2
1513996099.510,7071341.2
1513996102.862,7071340.2
1513996106.213,7071341.7
1513996109.566,7071340.4
1513996112.918,7071344.0
1513996116.271,7071345.3
1513996119.622,7071345.0
1513996122.974,7071342.7
1513996126.327,7071344.2
1513996129.678,7071344.2
1513996133.031,7071342.0
1513996136.383,7071344.5
1513996139.734,7071342.0
1513996143.087,7071341.5
1513996146.439,7071339.9
1513996149.790,7071340.9
1513996153.143,7071340.7
1513996156.495,7071338.4
1513996159.848,7071340.4
1513996163.199,7071340.7
1513996166.551,7071340.7
1513996169.904,7071342.0
1513996173.256,7071342.7
1513996176.608,7071342.7
1513996179.960,7071340.7
1513996183.311,7071342.2
1513996186.664,7071341.5
1513996190.016,7071341.5
1513996193.368,7071344.5
1513996196.720,7071345.8
1513996200.072,7071344.0
1513996203.424,7071345.5
1513996206.777,7071344.2
1513996210.128,7071343.7
1513996213.481,7071344.5
1513996216.832,7071346.3
1513996220.185,7071345.3
1513996223.537,7071346.8
1513996226.889,7071344.5
1513996230.241,7071345.0
1513996233.593,7071346.8
1513996236.946,7071344.8
1513996240.297,7071345.8
1513996243.650,7071346.3
1513996247.001,7071343.7
1513996250.354,7071342.2
1513996253.706,7071344.8
1513996257.058,7071344.0
1513996260.410,7071344.8
1513996263.761,7071343.2
1513996267.114,7071341.2
1513996270.466,7071343.2
1513996273.818,7071346.3
1513996277.171,7071348.0
1513996280.522,7071342.2
1513996283.875,7071341.5
1513996287.226,7071340.9
1513996290.579,7071341.2
1513996293.931,7071341.2
1513996297.283,7071343.0
1513996300.635,7071342.7
1513996303.986,7071342.5
1513996307.339,7071340.9
1513996310.691,7071341.2
1513996314.043,7071338.2
1513996317.395,7071340.2
1513996320.747,7071342.7
1513996324.100,7071342.2
1513996327.451,7071344.2
1513996330.804,7071340.4
1513996334.156,7071342.0
1513996337.508,7071342.5
1513996340.860,7071339.4
1513996344.212,7071341.7
1513996347.564,7071340.2
1513996350.916,7071341.5
1513996354.268,7071340.9
1513996357.621,7071339.7
1513996360.972,7071341.7
1513996364.325,7071340.9
1513996367.676,7071342.7
1513996371.029,7071343.2
1513996374.380,7071343.5
1513996377.733,7071342.5
1513996381.085,7071342.0
1513996384.437,7071341.7
1513996387.789,7071339.9
1513996391.141,7071339.4
1513996394.493,7071340.7
1513996397.846,7071339.9
1513996401.197,7071342.5
1513996404.550,7071341.2
1513996407.901,7071341.7
1513996411.254,7071343.5
1513996414.606,7071343.2
1513996417.958,7071344.0
1513996421.310,7071342.2
1513996424.662,7071345.0
1513996428.014,7071341.7
1513996431.366,7071343.7
1513996434.718,7071342.5
1513996438.070,7071346.0
1513996441.423,7071342.2
1513996444.774,7071341.7
1513996448.127,7071342.2
1513996451.479,7071344.8
1513996454.831,7071343.0
1513996458.183,7071341.7
1513996461.535,7071342.2
1513996464.887,7071343.2
1513996468.239,7071343.7
1513996471.591,7071339.9
1513996474.944,7071341.7
1513996478.295,7071348.3
1513996481.647,7071339.7
1513996484.999,7071343.2
1513996488.352,7071345.8
1513996491.703,7071343.7
1513996495.056,7071342.7
1513996498.408,7071342.5
1513996501.760,7071344.2
1513996505.112,7071345.3
1513996508.464,7071344.0
1513996511.816,7071344.2
1513996515.168,7071344.0
1513996518.521,7071345.0
1513996521.872,7071344.5
1513996525.225,7071344.8
1513996528.577,7071344.2
1513996531.929,7071344.2
1513996535.281,7071344.5
1513996538.633,7071346.0
1513996541.985,7071344.0
1513996545.337,7071344.8
1513996548.690,7071346.3
1513996552.041,7071345.0
1513996555.393,7071345.3
1513996558.746,7071346.5
1513996562.097,7071347.0
1513996565.450,7071345.8
1513996568.801,7071346.3
1513996572.154,7071345.8
1513996575.506,7071345.5
1513996578.858,7071343.5
1513996582.211,7071345.3
1513996585.562,7071344.0
1513996588.915,7071345.0
1513996592.266,7071345.8
1513996595.619,7071345.0
1513996598.971,7071343.2
1513996602.322,7071345.0
1513996605.675,7071342.2
1513996609.027,7071346.0
1513996612.379,7071346.3
1513996615.731,7071340.7
1513996619.083,7071339.7
1513996622.435,7071343.7
1513996625.788,7071345.5
1513996629.139,7071341.2
1513996632.492,7071342.2
1513996635.843,7071344.2
1513996639.196,7071347.5
1513996642.548,7071348.6
1513996645.900,7071348.0
1513996649.252,7071349.1
1513996652.604,7071350.6
1513996655.956,7071349.6
1513996659.308,7071350.1
1513996662.660,7071350.1
1513996666.012,7071350.6
1513996669.365,7071350.3
1513996672.716,7071343.5
1513996676.069,7071339.9
1513996679.421,7071342.0
1513996682.773,7071342.7
1513996686.125,7071342.7
1513996689.477,7071343.0
1513996692.829,7071340.4
1513996696.181,7071342.7
1513996699.533,7071343.7
1513996702.886,7071342.5
1513996706.484,7071341.5
1513996709.589,7071341.7
1513996712.942,7071339.9
1513996716.294,7071340.4
