resistance,ppm,temp_c,ambient_c
69999.652,-1.12,24.995,21.694
69999.652,-1.12,24.997,21.662
69999.652,-1.12,24.996,21.694
69999.652,-1.12,25.003,21.705
69999.652,-1.12,25.003,21.683
69999.652,-1.12,25.001,21.683
69999.652,-1.12,24.997,21.694
69999.652,-1.12,24.999,21.694
69999.652,-1.12,24.992,21.716
69999.652,-1.12,25.003,21.694
69999.652,-1.12,25.001,21.683
69999.652,-1.12,24.993,21.694
69999.652,-1.12,25.011,21.694
69999.7,-0.43,24.999,21.694
69999.7,-0.43,25.0,21.694
69999.7,-0.43,25.003,21.673
69999.7,-0.43,24.995,21.694
69999.7,-0.43,25.0,21.694
69999.7,-0.43,24.996,21.694
69999.7,-0.43,25.003,21.705
69999.7,-0.43,24.999,21.716
69999.7,-0.43,25.003,21.694
69999.7,-0.43,24.999,21.716
69999.7,-0.43,25.001,21.683
69999.7,-0.43,24.993,21.673
69999.7,-0.43,25.0,21.694
69999.705,-0.36,24.988,21.694
69999.705,-0.36,24.992,21.683
69999.705,-0.36,24.999,21.694
69999.705,-0.36,24.993,21.683
69999.705,-0.36,24.997,21.694
69999.705,-0.36,24.997,21.694
69999.705,-0.36,24.995,21.683
69999.705,-0.36,25.001,21.705
69999.705,-0.36,25.001,21.683
69999.705,-0.36,25.001,21.683
69999.705,-0.36,25.01,21.694
69999.705,-0.36,25.01,21.705
69999.705,-0.36,24.999,21.694
69999.705,-0.36,25.004,21.726
69999.667,-0.91,25.004,21.705
69999.667,-0.91,25.003,21.705
69999.667,-0.91,24.997,21.694
69999.667,-0.91,25.007,21.683
69999.667,-0.91,24.995,21.694
69999.667,-0.91,25.003,21.694
69999.667,-0.91,25.001,21.694
69999.667,-0.91,25.0,21.694
69999.667,-0.91,25.0,21.705
69999.667,-0.91,24.997,21.683
69999.667,-0.91,24.996,21.694
69999.667,-0.91,25.003,21.705
69999.667,-0.91,24.993,21.705
69999.693,-0.53,25.003,21.683
69999.693,-0.53,25.003,21.694
69999.693,-0.53,25.003,21.683
69999.693,-0.53,24.996,21.705
69999.693,-0.53,25.0,21.694
69999.693,-0.53,24.999,21.683
69999.693,-0.53,25.004,21.694
69999.693,-0.53,25.003,21.694
69999.693,-0.53,24.992,21.683
69999.693,-0.53,24.999,21.683
69999.693,-0.53,25.001,21.705
69999.693,-0.53,24.997,21.705
69999.693,-0.53,25.003,21.694
69999.683,-0.68,25.0,21.683
69999.683,-0.68,25.004,21.705
69999.683,-0.68,25.001,21.683
69999.683,-0.68,24.996,21.705
69999.683,-0.68,24.999,21.683
69999.683,-0.68,25.005,21.683
69999.683,-0.68,25.004,21.683
69999.683,-0.68,24.995,21.683
69999.683,-0.68,24.999,21.683
69999.683,-0.68,25.001,21.705
69999.683,-0.68,24.995,21.683
69999.683,-0.68,25.007,21.694
69999.683,-0.68,24.996,21.705
69999.683,-0.68,25.008,21.694
69999.7,-0.43,25.003,21.683
69999.7,-0.43,25.0,21.694
69999.7,-0.43,24.993,21.694
69999.7,-0.43,24.993,21.673
69999.7,-0.43,25.001,21.683
69999.7,-0.43,24.992,21.683
69999.7,-0.43,25.003,21.705
69999.7,-0.43,25.003,21.694
69999.7,-0.43,25.004,21.683
69999.7,-0.43,25.007,21.683
69999.7,-0.43,25.001,21.683
69999.7,-0.43,24.993,21.705
69999.7,-0.43,24.996,21.694
69999.713,-0.25,24.999,21.694
69999.713,-0.25,25.003,21.694
69999.713,-0.25,25.004,21.694
69999.713,-0.25,24.993,21.683
69999.713,-0.25,25.003,21.694
69999.713,-0.25,25.0,21.694
69999.713,-0.25,25.004,21.683
69999.713,-0.25,25.001,21.694
69999.713,-0.25,25.003,21.694
69999.713,-0.25,24.989,21.705
69999.713,-0.25,24.992,21.683
69999.713,-0.25,24.996,21.694
69999.713,-0.25,24.995,21.705
69999.713,-0.25,25.0,21.694
69999.726,-0.06,25.001,21.662
69999.726,-0.06,24.993,21.673
69999.726,-0.06,25.007,21.683
69999.726,-0.06,24.997,21.683
69999.726,-0.06,24.992,21.694
69999.726,-0.06,24.997,21.683
69999.726,-0.06,24.996,21.683
69999.726,-0.06,24.999,21.705
69999.726,-0.06,24.997,21.683
69999.726,-0.06,24.996,21.683
69999.726,-0.06,25.004,21.673
69999.726,-0.06,25.001,21.683
69999.726,-0.06,25.003,21.683
69999.698,-0.46,25.005,21.705
69999.698,-0.46,25.004,21.694
69999.698,-0.46,25.003,21.705
69999.698,-0.46,25.008,21.694
69999.698,-0.46,24.993,21.705
69999.698,-0.46,24.997,21.683
69999.698,-0.46,24.999,21.683
69999.698,-0.46,24.992,21.683
69999.698,-0.46,24.993,21.694
69999.698,-0.46,25.0,21.683
69999.698,-0.46,25.0,21.683
69999.698,-0.46,24.996,21.705
69999.698,-0.46,25.004,21.705
69999.698,-0.46,25.001,21.683
69999.718,-0.18,25.001,21.694
69999.718,-0.18,25.008,21.683
69999.718,-0.18,25.004,21.705
69999.718,-0.18,25.004,21.694
69999.718,-0.18,24.999,21.683
69999.718,-0.18,24.999,21.662
69999.718,-0.18,24.995,21.683
69999.718,-0.18,25.011,21.705
69999.718,-0.18,25.007,21.683
69999.718,-0.18,25.004,21.683
69999.718,-0.18,25.001,21.705
69999.718,-0.18,25.0,21.694
69999.718,-0.18,25.004,21.683
69999.746,0.22,25.005,21.683
69999.746,0.22,24.999,21.683
69999.746,0.22,25.005,21.694
69999.746,0.22,25.004,21.683
69999.746,0.22,24.996,21.705
69999.746,0.22,24.992,21.683
69999.746,0.22,24.997,21.694
69999.746,0.22,24.999,21.673
69999.746,0.22,25.008,21.683
69999.746,0.22,24.992,21.694
69999.746,0.22,25.0,21.683
69999.746,0.22,24.988,21.683
69999.746,0.22,25.0,21.694
69999.741,0.15,24.997,21.694
69999.741,0.15,25.0,21.683
69999.741,0.15,24.999,21.683
69999.741,0.15,25.003,21.694
69999.741,0.15,24.996,21.683
69999.741,0.15,25.001,21.705
69999.741,0.15,24.999,21.683
69999.741,0.15,25.001,21.683
69999.741,0.15,25.001,21.694
69999.741,0.15,25.005,21.683
69999.741,0.15,25.0,21.683
69999.741,0.15,25.005,21.694
69999.741,0.15,24.996,21.716
69999.741,0.15,25.0,21.683
69999.756,0.37,24.988,21.705
69999.756,0.37,25.004,21.683
69999.756,0.37,24.986,21.683
69999.756,0.37,25.003,21.673
69999.756,0.37,24.995,21.683
69999.756,0.37,24.995,21.683
69999.756,0.37,25.001,21.683
69999.756,0.37,24.999,21.694
69999.756,0.37,25.0,21.683
69999.756,0.37,25.004,21.716
69999.756,0.37,24.999,21.683
69999.756,0.37,25.003,21.705
69999.756,0.37,24.997,21.683
69999.787,0.81,25.008,21.694
69999.787,0.81,24.995,21.705
69999.787,0.81,24.993,21.694
69999.787,0.81,24.996,21.705
69999.787,0.81,24.989,21.683
69999.787,0.81,25.001,21.683
69999.787,0.81,24.993,21.683
69999.787,0.81,24.999,21.683
69999.787,0.81,25.001,21.694
69999.787,0.81,25.0,21.694
69999.787,0.81,24.999,21.673
69999.787,0.81,25.001,21.673
69999.787,0.81,25.004,21.694
69999.827,1.38,25.001,21.705
69999.827,1.38,25.005,21.694
69999.827,1.38,25.0,21.694
69999.827,1.38,25.003,21.694
69999.827,1.38,25.004,21.705
69999.827,1.38,25.008,21.716
69999.827,1.38,24.996,21.694
69999.827,1.38,25.005,21.716
69999.827,1.38,24.997,21.683
69999.827,1.38,24.995,21.694
69999.827,1.38,24.993,21.705
69999.827,1.38,24.993,21.694
69999.827,1.38,24.984,21.683
69999.827,1.38,25.004,21.683
69999.788,0.82,25.003,21.683
69999.788,0.82,24.996,21.694
69999.788,0.82,25.003,21.683
69999.788,0.82,25.008,21.694
69999.788,0.82,25.004,21.683
69999.788,0.82,25.003,21.683
69999.788,0.82,25.003,21.705
69999.788,0.82,25.005,21.683
69999.788,0.82,25.004,21.683
69999.788,0.82,25.001,21.662
69999.788,0.82,25.005,21.694
69999.788,0.82,24.999,21.683
69999.788,0.82,24.999,21.705
69999.774,0.62,25.005,21.683
69999.774,0.62,24.997,21.683
69999.774,0.62,24.999,21.716
69999.774,0.62,24.988,21.716
69999.774,0.62,24.995,21.694
69999.774,0.62,25.007,21.694
69999.774,0.62,25.004,21.705
69999.774,0.62,24.996,21.705
69999.774,0.62,24.996,21.705
69999.774,0.62,24.996,21.705
69999.774,0.62,24.996,21.694
69999.774,0.62,24.999,21.694
69999.774,0.62,24.999,21.705
69999.774,0.62,25.0,21.683
69999.751,0.29,25.0,21.683
69999.751,0.29,25.0,21.683
69999.751,0.29,24.999,21.673
69999.751,0.29,24.993,21.683
69999.751,0.29,25.0,21.694
69999.751,0.29,25.01,21.683
69999.751,0.29,25.004,21.694
69999.751,0.29,24.996,21.673
69999.751,0.29,24.997,21.683
69999.751,0.29,25.008,21.694
69999.751,0.29,24.999,21.683
69999.751,0.29,25.012,21.694
69999.751,0.29,25.005,21.683
69999.751,0.29,25.005,21.705
69999.751,0.29,24.992,21.673
69999.751,0.29,24.997,21.694
69999.751,0.29,25.003,21.683
69999.751,0.29,24.988,21.683
69999.751,0.29,24.999,21.705
69999.751,0.29,24.989,21.683
69999.751,0.29,25.001,21.705
69999.751,0.29,24.997,21.705
69999.751,0.29,25.004,21.683
69999.751,0.29,25.003,21.694
69999.751,0.29,25.0,21.683
69999.751,0.29,24.997,21.694
69999.751,0.29,24.996,21.694
69999.789,0.84,25.001,21.705
69999.789,0.84,24.999,21.683
69999.789,0.84,25.01,21.694
69999.789,0.84,25.0,21.716
69999.789,0.84,24.997,21.694
69999.789,0.84,25.004,21.683
69999.789,0.84,24.995,21.705
69999.789,0.84,25.007,21.683
69999.789,0.84,25.0,21.705
69999.789,0.84,24.997,21.705
69999.789,0.84,24.997,21.705
69999.789,0.84,25.003,21.694
69999.789,0.84,24.996,21.694
69999.771,0.58,24.999,21.705
69999.771,0.58,25.004,21.683
69999.771,0.58,24.999,21.716
69999.771,0.58,24.996,21.683
69999.771,0.58,25.001,21.705
69999.771,0.58,25.003,21.716
69999.771,0.58,25.005,21.705
69999.771,0.58,25.004,21.705
69999.771,0.58,24.997,21.705
69999.771,0.58,25.004,21.683
69999.771,0.58,25.0,21.694
69999.771,0.58,24.997,21.683
69999.771,0.58,25.004,21.726
69999.761,0.44,25.001,21.694
69999.761,0.44,24.999,21.716
69999.761,0.44,24.999,21.705
69999.761,0.44,25.003,21.716
69999.761,0.44,25.001,21.705
69999.761,0.44,25.008,21.694
69999.761,0.44,24.997,21.705
69999.761,0.44,25.003,21.705
69999.761,0.44,25.001,21.694
69999.761,0.44,25.004,21.705
69999.761,0.44,24.997,21.705
69999.761,0.44,25.001,21.716
69999.761,0.44,24.997,21.705
69999.761,0.44,25.003,21.694
69999.708,-0.32,25.003,21.683
69999.708,-0.32,25.001,21.705
69999.708,-0.32,24.989,21.683
69999.708,-0.32,24.996,21.694
69999.708,-0.32,25.0,21.705
69999.708,-0.32,24.993,21.694
69999.708,-0.32,24.993,21.716
69999.708,-0.32,25.003,21.716
69999.708,-0.32,24.996,21.726
69999.708,-0.32,25.004,21.683
69999.708,-0.32,24.996,21.716
69999.708,-0.32,25.007,21.705
69999.708,-0.32,25.011,21.694
69999.723,-0.11,25.008,21.705
69999.723,-0.11,25.003,21.726
69999.723,-0.11,25.011,21.716
69999.723,-0.11,25.001,21.705
69999.723,-0.11,24.996,21.716
69999.723,-0.11,25.003,21.694
69999.723,-0.11,25.003,21.716
69999.723,-0.11,24.999,21.737
69999.723,-0.11,25.001,21.716
69999.723,-0.11,24.999,21.705
69999.723,-0.11,25.004,21.694
69999.723,-0.11,24.997,21.716
69999.723,-0.11,24.996,21.705
69999.723,-0.11,24.995,21.705
69999.766,0.51,24.996,21.716
69999.766,0.51,25.0,21.716
69999.766,0.51,25.0,21.705
69999.766,0.51,24.997,21.694
69999.766,0.51,24.989,21.694
69999.766,0.51,25.001,21.694
69999.766,0.51,25.008,21.716
69999.766,0.51,25.005,21.716
69999.766,0.51,25.001,21.705
69999.766,0.51,25.007,21.726
69999.766,0.51,25.001,21.716
69999.766,0.51,24.993,21.716
69999.766,0.51,25.007,21.716
69999.777,0.67,25.01,21.716
69999.777,0.67,25.003,21.705
69999.777,0.67,24.997,21.705
69999.777,0.67,25.008,21.716
69999.777,0.67,24.999,21.716
69999.777,0.67,25.01,21.726
69999.777,0.67,24.996,21.716
69999.777,0.67,25.001,21.694
69999.777,0.67,24.989,21.705
69999.777,0.67,24.999,21.716
69999.777,0.67,24.997,21.694
69999.777,0.67,24.993,21.716
69999.777,0.67,24.995,21.726
69999.777,0.67,24.993,21.716
69999.777,0.67,24.993,21.716
69999.777,0.67,25.0,21.694
69999.777,0.67,25.0,21.716
69999.777,0.67,25.001,21.694
69999.777,0.67,25.003,21.705
69999.777,0.67,25.001,21.716
69999.777,0.67,24.99,21.716
69999.777,0.67,24.999,21.705
69999.777,0.67,24.999,21.694
69999.777,0.67,25.0,21.716
69999.777,0.67,25.011,21.716
69999.777,0.67,25.004,21.705
69999.777,0.67,25.0,21.694
69999.751,0.29,25.005,21.705
69999.751,0.29,25.008,21.694
69999.751,0.29,25.004,21.694
69999.751,0.29,25.01,21.716
69999.751,0.29,25.015,21.716
69999.751,0.29,25.001,21.705
69999.751,0.29,25.0,21.726
69999.751,0.29,25.001,21.705
69999.751,0.29,24.996,21.705
69999.751,0.29,24.995,21.716
69999.751,0.29,24.99,21.716
69999.751,0.29,24.996,21.705
69999.751,0.29,25.003,21.705
69999.711,-0.28,25.001,21.705
69999.711,-0.28,25.004,21.716
69999.711,-0.28,24.997,21.737
69999.711,-0.28,25.003,21.716
69999.711,-0.28,24.992,21.716
69999.711,-0.28,24.999,21.716
69999.711,-0.28,25.004,21.726
69999.711,-0.28,24.995,21.705
69999.711,-0.28,24.996,21.716
69999.711,-0.28,24.997,21.716
69999.711,-0.28,24.99,21.726
69999.711,-0.28,25.005,21.694
69999.711,-0.28,24.993,21.705
69999.711,-0.28,25.0,21.716
69999.744,0.19,24.992,21.705
69999.744,0.19,24.996,21.726
69999.744,0.19,24.995,21.716
69999.744,0.19,24.999,21.694
69999.744,0.19,25.007,21.716
69999.744,0.19,24.993,21.716
69999.744,0.19,24.999,21.716
69999.744,0.19,25.0,21.716
69999.744,0.19,25.001,21.694
69999.744,0.19,25.012,21.726
69999.744,0.19,25.011,21.716
69999.744,0.19,25.007,21.705
69999.744,0.19,25.005,21.705
69999.804,1.05,25.01,21.716
69999.804,1.05,25.005,21.716
69999.804,1.05,25.003,21.716
69999.804,1.05,25.004,21.726
69999.804,1.05,25.007,21.705
69999.804,1.05,25.005,21.716
