set_c,oven_c,output,ambient_c
25.000,25.004,4.50,21.683
25.000,25.007,3.57,21.694
25.000,25.011,3.12,21.683
25.000,25.004,4.60,21.683
25.000,25.005,3.78,21.705
25.000,25.007,3.67,21.683
25.000,24.993,6.05,21.683
25.000,24.995,4.66,21.694
25.000,25.001,3.64,21.683
25.000,25.003,4.00,21.694
25.000,24.990,6.17,21.705
25.000,24.996,4.21,21.705
25.000,24.997,4.45,21.694
25.000,24.993,5.25,21.673
25.000,24.997,4.23,21.694
25.000,24.995,5.04,21.683
25.000,24.997,4.35,21.683
25.000,25.003,3.68,21.705
25.000,25.000,4.60,21.683
25.000,25.003,3.91,21.673
25.000,25.005,3.68,21.683
25.000,25.010,3.23,21.683
25.000,24.997,5.62,21.705
25.000,25.000,4.12,21.694
25.000,25.008,2.98,21.683
25.000,25.000,5.05,21.673
25.000,25.000,4.34,21.716
25.000,25.004,3.66,21.683
25.000,25.007,3.55,21.705
25.000,25.005,4.01,21.694
25.000,25.003,4.34,21.694
25.000,24.999,4.79,21.683
25.000,25.004,3.53,21.683
25.000,24.993,5.81,21.683
25.000,24.992,5.11,21.716
25.000,24.999,3.86,21.705
25.000,24.990,5.82,21.716
25.000,25.001,3.30,21.683
25.000,24.995,5.37,21.716
25.000,24.997,4.34,21.683
25.000,25.000,4.12,21.716
25.000,25.000,4.35,21.683
25.000,24.997,4.81,21.705
25.000,25.000,4.12,21.694
25.000,24.999,4.58,21.683
25.000,25.005,3.33,21.705
25.000,25.003,4.36,21.705
25.000,25.008,3.22,21.694
25.000,24.992,6.41,21.705
25.000,25.001,3.42,21.683
25.000,25.001,4.24,21.683
25.000,25.003,4.01,21.705
25.000,25.000,4.58,21.716
25.000,24.997,4.80,21.705
25.000,25.004,3.43,21.705
25.000,25.003,4.24,21.694
25.000,24.992,5.94,21.694
25.000,25.005,2.73,21.694
25.000,25.001,4.58,21.705
25.000,25.004,3.78,21.683
25.000,24.996,5.37,21.683
25.000,25.005,3.08,21.683
25.000,24.992,6.17,21.694
25.000,25.003,3.18,21.705
25.000,25.003,4.12,21.694
25.000,25.004,3.89,21.683
25.000,24.996,5.37,21.705
25.000,25.000,3.99,21.716
25.000,25.000,4.34,21.705
25.000,24.999,4.57,21.694
25.000,25.000,4.22,21.694
25.000,24.995,5.25,21.683
25.000,24.996,4.56,21.694
25.000,24.997,4.45,21.705
25.000,24.997,4.57,21.694
25.000,25.000,4.12,21.705
25.000,24.992,5.72,21.694
25.000,25.005,2.75,21.694
25.000,24.992,6.19,21.705
25.000,25.001,3.43,21.673
25.000,24.997,4.93,21.694
25.000,24.990,5.72,21.694
25.000,25.005,2.64,21.683
25.000,25.005,3.92,21.694
25.000,25.000,4.83,21.683
25.000,25.000,4.36,21.683
25.000,25.001,4.13,21.705
25.000,25.007,3.34,21.683
25.000,25.001,4.71,21.705
25.000,24.997,4.93,21.705
25.000,24.999,4.35,21.683
25.000,24.999,4.47,21.694
25.000,24.996,4.92,21.705
25.000,25.001,3.78,21.683
25.000,24.990,6.07,21.705
25.000,24.997,4.00,21.683
25.000,25.004,3.45,21.694
25.000,24.997,5.17,21.705
25.000,24.999,4.36,21.705
25.000,24.997,4.71,21.683
25.000,25.003,3.68,21.694
25.000,25.003,4.15,21.683
25.000,25.007,3.46,21.705
25.000,25.007,3.81,21.705
25.000,25.001,4.71,21.694
25.000,25.001,4.24,21.716
25.000,25.004,3.79,21.716
25.000,24.995,5.61,21.694
25.000,24.999,4.11,21.694
