set_c,c,output
25.000, 24.999, 4.64
25.000, 25.001, 4.06
25.000, 25.001, 4.30
25.000, 25.008, 3.16
25.000, 25.003, 4.65
25.000, 25.008, 3.27
25.000, 25.005, 4.18
25.000, 25.000, 4.85
25.000, 25.005, 3.47
25.000, 25.010, 3.26
25.000, 25.004, 4.51
25.000, 25.005, 3.81
25.000, 24.997, 5.29
25.000, 24.999, 4.36
25.000, 25.000, 4.25
25.000, 24.999, 4.60
25.000, 25.001, 4.02
25.000, 25.000, 4.48
25.000, 24.997, 4.82
25.000, 24.997, 4.59
25.000, 25.010, 2.54
25.000, 24.997, 5.64
25.000, 25.000, 4.13
25.000, 24.996, 5.05
25.000, 25.008, 2.65
25.000, 24.997, 5.52
25.000, 24.997, 4.59
25.000, 25.001, 3.91
25.000, 25.004, 3.80
25.000, 25.004, 4.03
25.000, 25.003, 4.26
25.000, 25.007, 3.45
25.000, 24.996, 5.62
25.000, 24.999, 4.23
25.000, 25.001, 4.01
25.000, 24.995, 5.38
25.000, 25.000, 3.89
25.000, 25.000, 4.36
25.000, 25.001, 4.13
25.000, 24.995, 5.39
25.000, 25.010, 2.30
25.000, 25.001, 4.95
25.000, 24.999, 4.70
25.000, 24.997, 4.69
25.000, 25.003, 3.67
25.000, 25.001, 4.36
25.000, 24.995, 5.38
25.000, 25.000, 3.89
25.000, 25.003, 3.90
25.000, 24.996, 5.27
25.000, 24.999, 4.23
25.000, 25.001, 4.01
25.000, 25.004, 3.79
25.000, 25.001, 4.48
25.000, 24.995, 5.38
25.000, 25.004, 3.21
25.000, 25.000, 4.71
25.000, 24.999, 4.58
25.000, 25.007, 3.10
25.000, 24.997, 5.39
25.000, 25.001, 3.89
25.000, 24.996, 5.15
25.000, 24.997, 4.46
25.000, 25.001, 3.90
25.000, 25.001, 4.25
25.000, 25.004, 3.79
25.000, 25.004, 4.02
25.000, 24.999, 4.93
25.000, 25.005, 3.32
25.000, 25.005, 3.90
25.000, 25.007, 3.67
25.000, 25.005, 4.01
25.000, 24.997, 5.25
25.000, 25.000, 4.10
25.000, 24.995, 5.24
25.000, 24.997, 4.32
25.000, 24.999, 4.33
25.000, 24.999, 4.45
25.000, 25.007, 3.08
25.000, 24.995, 5.83
25.000, 24.997, 4.33
25.000, 25.001, 3.88
25.000, 24.996, 5.14
25.000, 24.997, 4.45
25.000, 24.997, 4.57
25.000, 25.003, 3.66
25.000, 25.005, 3.67
25.000, 24.997, 5.27
25.000, 25.003, 3.65
25.000, 25.003, 4.12
25.000, 24.996, 5.26
25.000, 25.004, 3.31
25.000, 25.004, 4.01
25.000, 25.003, 4.23
25.000, 24.999, 4.80
25.000, 25.010, 2.62
25.000, 25.003, 4.69
25.000, 25.003, 4.10
25.000, 24.997, 5.01
25.000, 25.008, 2.72
25.000, 24.997, 5.48
25.000, 24.997, 4.54
25.000, 25.007, 2.95
25.000, 25.000, 4.90
25.000, 25.004, 3.63
25.000, 25.001, 4.44
25.000, 24.997, 4.88
25.000, 24.997, 4.53
25.000, 24.995, 4.99
25.000, 25.000, 3.85
25.000, 24.997, 4.78
25.000, 24.999, 4.32
25.000, 25.003, 3.75
25.000, 24.997, 5.01
25.000, 24.999, 4.32
25.000, 24.999, 4.43
25.000, 25.003, 3.75
25.000, 24.996, 5.24
25.000, 25.001, 3.75
25.000, 24.993, 5.58
25.000, 24.997, 4.20
25.000, 25.000, 4.10
25.000, 25.000, 4.33
25.000, 24.997, 4.79
25.000, 25.000, 4.10
25.000, 25.001, 4.11
25.000, 24.999, 4.68
25.000, 25.007, 3.08
25.000, 25.000, 4.92
25.000, 24.997, 4.79
25.000, 25.003, 3.64
25.000, 25.001, 4.34
25.000, 24.999, 4.67
25.000, 24.997, 4.67
25.000, 24.995, 5.01
25.000, 25.004, 3.18
25.000, 25.001, 4.46
25.000, 24.999, 4.68
25.000, 25.008, 2.85
25.000, 24.999, 5.26
25.000, 24.997, 4.67
25.000, 25.001, 3.87
25.000, 25.007, 3.31
25.000, 25.005, 4.00
25.000, 25.003, 4.33
25.000, 25.000, 4.55
25.000, 25.000, 4.32
25.000, 25.001, 4.09
25.000, 25.005, 3.52
25.000, 24.996, 5.46
25.000, 25.005, 3.05
25.000, 25.001, 4.55
25.000, 24.999, 4.65
25.000, 24.999, 4.42
25.000, 24.997, 4.65
25.000, 25.000, 4.08
25.000, 24.997, 4.77
25.000, 24.996, 4.76
25.000, 24.997, 4.42
25.000, 25.001, 3.86
25.000, 25.001, 4.21
25.000, 24.997, 4.89
25.000, 25.001, 3.86
25.000, 24.999, 4.66
25.000, 24.999, 4.43
25.000, 25.000, 4.20
25.000, 24.996, 5.00
25.000, 24.999, 4.20
25.000, 24.990, 5.80
25.000, 24.992, 4.88
25.000, 24.997, 4.09
25.000, 24.999, 4.34
25.000, 25.003, 3.77
25.000, 25.005, 3.66
25.000, 24.996, 5.49
25.000, 24.996, 4.67
25.000, 24.995, 4.90
25.000, 24.999, 4.11
25.000, 25.003, 3.78
25.000, 24.999, 4.81
25.000, 25.008, 2.86
25.000, 25.003, 4.59
25.000, 25.000, 4.57
25.000, 25.003, 3.88
25.000, 25.005, 3.66
25.000, 25.005, 3.89
25.000, 24.999, 5.02
25.000, 25.003, 3.76
25.000, 24.993, 5.70
25.000, 24.995, 4.66
25.000, 25.001, 3.64
25.000, 25.001, 4.22
25.000, 24.999, 4.68
25.000, 24.996, 4.90
25.000, 24.997, 4.44
25.000, 24.993, 5.25
25.000, 24.999, 3.99
25.000, 24.989, 6.05
25.000, 24.992, 4.79
25.000, 24.993, 4.80
25.000, 24.997, 4.24
25.000, 25.004, 3.45
25.000, 25.001, 4.49
25.000, 24.996, 5.17
25.000, 24.997, 4.48
25.000, 25.003, 3.68
25.000, 25.001, 4.38
25.000, 25.000, 4.49
25.000, 25.003, 3.91
25.000, 25.000, 4.60
25.000, 25.007, 3.23
25.000, 24.997, 5.40
25.000, 24.996, 4.81
25.000, 24.997, 4.47
25.000, 25.003, 3.68
25.000, 25.003, 4.15
25.000, 25.000, 4.60
25.000, 25.004, 3.68
25.000, 24.999, 4.94
25.000, 25.000, 4.25
25.000, 24.995, 5.27
25.000, 24.997, 4.35
25.000, 25.001, 3.91
25.000, 25.000, 4.49
25.000, 25.000, 4.37
25.000, 25.004, 3.69
25.000, 24.999, 4.94
25.000, 24.995, 5.16
25.000, 25.003, 3.45
25.000, 24.992, 5.97
25.000, 24.996, 4.36
25.000, 24.996, 4.71
25.000, 24.999, 4.26
25.000, 25.001, 4.04
25.000, 25.004, 3.82
25.000, 24.995, 5.64
25.000, 25.003, 3.46
25.000, 25.003, 4.16
25.000, 25.000, 4.61
25.000, 25.000, 4.38
25.000, 25.001, 4.15
25.000, 25.001, 4.27
25.000, 25.005, 3.58
25.000, 25.003, 4.38
25.000, 25.007, 3.46
25.000, 24.999, 5.18
25.000, 25.005, 3.34
25.000, 25.001, 4.60
25.000, 24.996, 5.16
25.000, 25.004, 3.33
25.000, 25.001, 4.48
25.000, 24.995, 5.39
25.000, 25.003, 3.44
25.000, 25.003, 4.14
25.000, 25.005, 3.68
25.000, 25.003, 4.37
25.000, 25.001, 4.36
25.000, 25.000, 4.47
25.000, 25.003, 3.89
25.000, 25.004, 3.90
25.000, 25.000, 4.69
25.000, 24.992, 5.71
25.000, 24.996, 4.33
25.000, 24.999, 4.23
25.000, 24.996, 4.92
25.000, 24.992, 5.37
25.000, 25.003, 3.21
25.000, 24.996, 5.28
25.000, 24.999, 4.24
25.000, 24.996, 4.93
25.000, 25.007, 2.88
25.000, 25.001, 4.72
25.000, 25.001, 4.25
25.000, 24.997, 4.94
25.000, 24.999, 4.36
25.000, 25.000, 4.25
25.000, 25.004, 3.68
25.000, 24.993, 5.85
25.000, 24.997, 4.24
25.000, 25.000, 4.14
25.000, 24.992, 5.74
25.000, 24.999, 3.90
25.000, 24.996, 4.94
25.000, 24.997, 4.49
25.000, 24.999, 4.38
25.000, 24.997, 4.72
25.000, 24.999, 4.38
25.000, 25.008, 2.91
25.000, 24.999, 5.31
25.000, 24.995, 5.18
25.000, 25.001, 3.69
25.000, 24.999, 4.73
25.000, 25.003, 3.82
25.000, 24.996, 5.30
25.000, 25.004, 3.35
25.000, 25.000, 4.74
25.000, 25.003, 3.93
25.000, 24.995, 5.53
25.000, 25.003, 3.46
25.000, 24.999, 4.85
25.000, 25.004, 3.59
25.000, 24.996, 5.42
25.000, 25.010, 2.44
25.000, 25.000, 5.20
25.000, 25.004, 3.69
25.000, 24.999, 4.95
25.000, 24.997, 4.71
25.000, 24.995, 5.05
25.000, 25.003, 3.46
25.000, 24.995, 5.53
25.000, 25.001, 3.69
25.000, 24.999, 4.73
25.000, 24.997, 4.72
25.000, 24.992, 5.52
25.000, 24.997, 4.15
25.000, 25.001, 3.93
25.000, 25.001, 4.28
25.000, 24.995, 5.42
25.000, 25.003, 3.47
25.000, 24.993, 5.77
25.000, 25.000, 3.82
25.000, 25.001, 4.17
25.000, 25.007, 3.38
25.000, 24.995, 5.89
25.000, 25.003, 3.48
25.000, 24.995, 5.54
25.000, 25.005, 3.02
25.000, 24.999, 5.09
25.000, 25.007, 3.14
25.000, 24.995, 5.89
25.000, 25.007, 2.79
25.000, 25.001, 4.75
25.000, 24.997, 4.96
25.000, 25.003, 3.70
25.000, 24.999, 4.85
25.000, 25.000, 4.27
25.000, 24.999, 4.62
25.000, 24.999, 4.50
25.000, 25.000, 4.28
25.000, 24.999, 4.62
25.000, 25.003, 3.82
25.000, 24.997, 5.08
25.000, 24.997, 4.62
25.000, 25.003, 3.71
25.000, 25.000, 4.63
25.000, 25.004, 3.71
25.000, 24.996, 5.43
25.000, 24.995, 4.95
25.000, 25.003, 3.48
25.000, 25.001, 4.40
25.000, 25.003, 4.06
25.000, 24.997, 5.08
25.000, 24.999, 4.39
25.000, 25.001, 4.05
25.000, 24.999, 4.74
25.000, 24.999, 4.51
25.000, 24.990, 5.87
25.000, 24.996, 4.27
25.000, 24.992, 5.42
25.000, 24.999, 3.94
25.000, 25.005, 3.39
25.000, 24.999, 5.11
25.000, 25.005, 3.39
25.000, 24.995, 5.79
25.000, 25.010, 2.35
25.000, 24.997, 5.68
25.000, 25.004, 3.49
25.000, 25.004, 4.07
25.000, 25.000, 4.75
25.000, 25.001, 4.17
25.000, 25.001, 4.29
25.000, 25.001, 4.29
25.000, 25.001, 4.29
25.000, 24.993, 5.65
25.000, 24.999, 4.04
25.000, 24.999, 4.51
25.000, 25.003, 3.83
25.000, 25.008, 3.27
25.000, 25.004, 4.41
25.000, 25.004, 4.06
25.000, 24.999, 4.97
25.000, 25.001, 4.04
25.000, 24.997, 4.96
25.000, 24.999, 4.38
25.000, 25.001, 4.05
25.000, 24.996, 5.19
25.000, 25.005, 3.13
25.000, 25.000, 4.86
25.000, 25.001, 4.16
25.000, 24.993, 5.64
25.000, 25.005, 2.90
25.000, 25.005, 3.95
25.000, 25.003, 4.40
25.000, 25.003, 4.16
25.000, 25.004, 3.93
25.000, 24.997, 5.18
25.000, 25.001, 3.92
25.000, 25.003, 4.04
25.000, 25.007, 3.47
25.000, 24.997, 5.41
25.000, 25.001, 3.91
25.000, 24.995, 5.40
25.000, 24.999, 4.13
25.000, 24.996, 4.94
25.000, 24.999, 4.26
25.000, 24.992, 5.63
25.000, 25.001, 3.46
25.000, 24.996, 5.19
25.000, 25.003, 3.58
25.000, 24.999, 4.85
25.000, 25.000, 4.27
