volts,ppm,temp_c
0.9998178,-0.57,25.0
0.9998178,-0.57,25.007
0.9998178,-0.57,24.997
0.9998178,-0.57,24.996
0.9998178,-0.57,24.997
0.9998178,-0.57,25.003
0.9998178,-0.57,25.003
0.9998178,-0.57,25.0
0.99981773,-0.64,25.004
0.99981773,-0.64,24.999
0.99981773,-0.64,25.0
0.99981773,-0.64,24.995
0.99981773,-0.64,24.997
0.99981773,-0.64,25.001
0.99981773,-0.64,25.0
0.99981773,-0.64,25.0
0.99981773,-0.64,25.004
0.99981773,-0.64,24.999
0.99981773,-0.64,24.995
0.99981773,-0.64,25.003
0.99981773,-0.64,24.992
0.99981778,-0.59,24.996
0.99981778,-0.59,24.996
0.99981778,-0.59,24.999
0.99981778,-0.59,25.001
0.99981778,-0.59,25.004
0.99981778,-0.59,24.995
0.99981778,-0.59,25.003
0.99981778,-0.59,25.003
0.99981778,-0.59,25.0
0.99981778,-0.59,25.0
0.99981778,-0.59,25.001
0.99981778,-0.59,25.001
0.99981778,-0.59,25.005
0.99981778,-0.59,25.003
0.99981787,-0.50,25.007
0.99981787,-0.50,24.999
0.99981787,-0.50,25.005
0.99981787,-0.50,25.001
0.99981787,-0.50,24.996
0.99981787,-0.50,25.004
0.99981787,-0.50,25.001
0.99981787,-0.50,24.995
0.99981787,-0.50,25.003
0.99981787,-0.50,25.003
0.99981787,-0.50,25.005
0.99981787,-0.50,25.003
0.99981787,-0.50,25.001
0.99981803,-0.34,25.0
0.99981803,-0.34,25.003
0.99981803,-0.34,25.004
0.99981803,-0.34,25.0
0.99981803,-0.34,24.992
0.99981803,-0.34,24.996
0.99981803,-0.34,24.999
0.99981803,-0.34,24.996
0.99981803,-0.34,24.992
0.99981803,-0.34,25.003
0.99981803,-0.34,24.996
0.99981803,-0.34,24.999
0.99981803,-0.34,24.996
0.99981803,-0.34,25.007
0.99981811,-0.26,25.001
0.99981811,-0.26,25.001
0.99981811,-0.26,24.997
0.99981811,-0.26,24.999
0.99981811,-0.26,25.0
0.99981811,-0.26,25.004
0.99981811,-0.26,24.993
0.99981811,-0.26,24.997
0.99981811,-0.26,25.0
0.99981811,-0.26,24.992
0.99981811,-0.26,24.999
0.99981811,-0.26,24.996
0.99981811,-0.26,24.997
0.99981798,-0.39,24.999
0.99981798,-0.39,24.997
0.99981798,-0.39,24.999
0.99981798,-0.39,25.008
0.99981798,-0.39,24.999
0.99981798,-0.39,24.995
0.99981798,-0.39,25.001
0.99981798,-0.39,24.999
0.99981798,-0.39,25.003
0.99981798,-0.39,24.996
0.99981798,-0.39,25.004
0.99981798,-0.39,25.0
0.99981798,-0.39,25.003
0.99981793,-0.44,24.995
0.99981793,-0.44,25.003
0.99981793,-0.44,24.999
0.99981793,-0.44,25.004
0.99981793,-0.44,24.996
0.99981793,-0.44,25.01
0.99981793,-0.44,25.0
0.99981793,-0.44,25.004
0.99981793,-0.44,24.999
0.99981793,-0.44,24.997
0.99981793,-0.44,24.995
0.99981793,-0.44,25.003
0.99981793,-0.44,24.995
0.99981793,-0.44,25.001
0.99981816,-0.21,24.999
0.99981816,-0.21,24.997
0.99981816,-0.21,24.992
0.99981816,-0.21,24.997
0.99981816,-0.21,25.001
0.99981816,-0.21,25.001
0.99981816,-0.21,24.995
0.99981816,-0.21,25.003
0.99981816,-0.21,24.993
0.99981816,-0.21,25.0
0.99981816,-0.21,25.001
0.99981816,-0.21,25.007
0.99981816,-0.21,24.995
0.99981808,-0.29,25.003
0.99981808,-0.29,24.995
0.99981808,-0.29,25.005
0.99981808,-0.29,24.999
0.99981808,-0.29,25.007
0.99981808,-0.29,24.995
0.99981808,-0.29,25.007
0.99981808,-0.29,25.001
0.99981808,-0.29,24.997
0.99981808,-0.29,25.003
0.99981808,-0.29,24.999
0.99981808,-0.29,25.0
0.99981808,-0.29,24.999
0.99981808,-0.29,24.999
0.99981803,-0.34,25.0
0.99981803,-0.34,24.999
0.99981803,-0.34,25.003
0.99981803,-0.34,24.997
0.99981803,-0.34,24.997
0.99981803,-0.34,25.003
0.99981803,-0.34,25.0
0.99981803,-0.34,25.004
0.99981803,-0.34,24.996
0.99981803,-0.34,24.995
0.99981803,-0.34,25.003
0.99981803,-0.34,25.001
0.99981803,-0.34,25.003
0.99981818,-0.19,24.997
0.99981818,-0.19,24.999
0.99981818,-0.19,25.001
0.99981818,-0.19,24.999
0.99981818,-0.19,24.999
0.99981818,-0.19,24.99
0.99981818,-0.19,24.996
0.99981818,-0.19,24.992
0.99981818,-0.19,24.999
0.99981818,-0.19,25.005
0.99981818,-0.19,24.999
0.99981818,-0.19,25.005
0.99981818,-0.19,24.995
0.99981779,-0.58,25.01
0.99981779,-0.58,24.997
0.99981779,-0.58,25.004
0.99981779,-0.58,25.004
0.99981779,-0.58,25.0
0.99981779,-0.58,25.001
0.99981779,-0.58,25.001
0.99981779,-0.58,25.001
0.99981779,-0.58,25.001
0.99981779,-0.58,24.993
0.99981779,-0.58,24.999
0.99981779,-0.58,24.999
0.99981779,-0.58,25.003
0.99981779,-0.58,25.008
0.99981796,-0.41,25.004
0.99981796,-0.41,25.004
0.99981796,-0.41,24.999
0.99981796,-0.41,25.001
0.99981796,-0.41,24.997
0.99981796,-0.41,24.999
0.99981796,-0.41,25.001
0.99981796,-0.41,24.996
0.99981796,-0.41,25.005
0.99981796,-0.41,25.0
