resistance,ppm,temp_c
19970.146,0.94,24.984
19970.146,0.94,25.016
19970.146,0.94,25.003
19970.146,0.94,24.999
19970.149,1.09,25.023
19970.149,1.09,25.003
19970.149,1.09,24.993
19970.149,1.09,24.995
19970.149,1.09,24.989
19970.149,1.09,25.005
19970.149,1.09,24.995
19970.149,1.09,24.992
19970.149,1.09,24.981
19970.149,1.09,25.029
19970.149,1.09,25.007
19970.149,1.09,25.003
19970.149,1.09,24.974
19970.141,0.69,24.995
19970.141,0.69,24.995
19970.141,0.69,24.963
19970.141,0.69,24.988
19970.141,0.69,24.999
19970.141,0.69,25.001
19970.141,0.69,25.008
19970.141,0.69,24.999
19970.141,0.69,25.011
19970.141,0.69,25.016
19970.141,0.69,25.003
19970.141,0.69,25.008
19970.141,0.69,25.008
19970.141,0.69,25.012
19970.178,2.54,25.007
19970.178,2.54,25.004
19970.178,2.54,24.997
19970.178,2.54,24.993
19970.178,2.54,25.012
19970.178,2.54,24.982
19970.178,2.54,24.985
19970.178,2.54,24.995
19970.178,2.54,24.973
19970.178,2.54,25.008
19970.178,2.54,25.0
19970.178,2.54,25.014
19970.178,2.54,25.011
19970.164,1.84,25.005
19970.164,1.84,24.989
19970.164,1.84,24.97
19970.164,1.84,25.007
19970.164,1.84,25.004
19970.164,1.84,24.982
19970.164,1.84,25.023
19970.164,1.84,25.023
19970.164,1.84,25.004
19970.164,1.84,25.005
19970.164,1.84,25.007
19970.164,1.84,25.012
19970.164,1.84,24.989
19970.176,2.44,25.0
19970.176,2.44,25.007
19970.176,2.44,25.008
19970.176,2.44,25.001
19970.176,2.44,25.014
19970.176,2.44,24.99
19970.176,2.44,24.992
19970.176,2.44,25.004
19970.176,2.44,24.988
19970.176,2.44,25.01
19970.176,2.44,25.007
19970.176,2.44,25.018
19970.176,2.44,25.007
19970.176,2.44,25.023
19970.156,1.44,24.989
19970.156,1.44,24.981
19970.156,1.44,25.015
19970.156,1.44,24.993
19970.156,1.44,24.988
19970.156,1.44,24.988
19970.156,1.44,24.993
19970.156,1.44,24.978
19970.156,1.44,24.989
19970.156,1.44,25.0
19970.156,1.44,25.003
19970.156,1.44,24.974
19970.156,1.44,24.997
19970.141,0.69,24.995
19970.141,0.69,25.004
19970.141,0.69,25.01
19970.141,0.69,24.999
19970.141,0.69,24.999
19970.141,0.69,25.015
19970.141,0.69,24.997
19970.141,0.69,24.997
19970.141,0.69,24.996
19970.141,0.69,24.992
19970.141,0.69,24.989
19970.141,0.69,25.014
19970.141,0.69,25.003
19970.141,0.69,25.011
19970.138,0.54,25.021
19970.138,0.54,25.008
19970.138,0.54,24.981
19970.138,0.54,25.011
19970.138,0.54,25.014
19970.138,0.54,24.986
19970.138,0.54,24.995
19970.138,0.54,25.004
19970.138,0.54,25.001
19970.138,0.54,24.99
19970.138,0.54,24.993
19970.138,0.54,25.003
19970.138,0.54,24.995
19970.146,0.94,25.008
19970.146,0.94,24.996
19970.146,0.94,25.004
19970.146,0.94,25.0
19970.146,0.94,24.974
19970.146,0.94,25.011
19970.146,0.94,25.008
19970.146,0.94,25.036
19970.146,0.94,25.007
19970.146,0.94,25.018
19970.146,0.94,24.999
19970.146,0.94,25.014
19970.146,0.94,25.008
19970.146,0.94,24.969
19970.146,0.94,24.992
19970.146,0.94,24.992
19970.146,0.94,25.007
19970.146,0.94,24.997
19970.146,0.94,25.0
19970.146,0.94,24.981
19970.146,0.94,25.0
19970.146,0.94,25.01
19970.146,0.94,25.0
19970.146,0.94,25.018
19970.146,0.94,25.014
19970.146,0.94,25.003
19970.146,0.94,25.014
19970.184,2.84,25.0
19970.184,2.84,24.996
19970.184,2.84,25.003
19970.184,2.84,25.007
19970.184,2.84,24.999
19970.184,2.84,25.007
