si7021_c,setpoint,adc,pwm
27.732,900,649.576,255.00
27.743,900,650.067,255.00
27.732,900,650.455,255.00
27.754,900,651.190,255.00
27.765,900,651.638,255.00
27.732,900,651.779,255.00
27.754,900,652.470,255.00
27.765,900,653.011,255.00
27.765,900,653.484,255.00
27.765,900,653.759,255.00
27.786,900,654.171,255.00
27.797,900,654.546,255.00
27.797,900,655.243,255.00
27.797,900,655.486,255.00
27.807,900,656.149,255.00
27.818,900,656.516,255.00
27.818,900,656.936,255.00
27.818,900,657.379,255.00
27.818,900,658.010,255.00
27.829,900,658.287,255.00
27.829,900,658.527,255.00
27.818,900,659.214,255.00
27.861,900,659.548,255.00
27.850,900,659.891,255.00
27.872,900,660.572,255.00
27.850,900,660.989,255.00
27.840,900,661.367,255.00
27.850,900,661.717,255.00
27.882,900,662.094,255.00
27.872,900,662.707,255.00
27.861,900,663.009,255.00
27.893,900,663.503,255.00
27.882,900,664.043,255.00
27.904,900,664.660,255.00
27.893,900,664.882,255.00
27.915,900,665.066,255.00
27.925,900,665.732,255.00
27.925,900,666.277,255.00
27.925,900,666.549,255.00
27.936,900,666.956,255.00
27.936,900,667.257,255.00
27.936,900,667.525,255.00
27.947,900,668.361,255.00
27.936,900,668.955,255.00
27.979,900,669.159,255.00
27.958,900,669.587,255.00
27.947,900,670.111,255.00
27.968,900,670.352,255.00
27.979,900,670.626,255.00
27.979,900,671.038,255.00
27.979,900,671.663,255.00
27.979,900,672.049,255.00
27.990,900,672.594,255.00
27.990,900,673.139,255.00
28.011,900,673.508,255.00
28.011,900,673.844,255.00
28.011,900,674.127,255.00
28.022,900,674.280,255.00
28.022,900,674.825,255.00
28.011,900,675.525,255.00
28.054,900,675.872,255.00
28.033,900,676.290,255.00
28.054,900,676.996,255.00
28.054,900,677.453,255.00
28.054,900,678.007,255.00
28.043,900,678.466,255.00
28.065,900,678.689,255.00
28.065,900,679.038,255.00
28.054,900,679.200,255.00
28.086,900,679.577,255.00
28.065,900,680.082,255.00
28.097,900,680.221,255.00
28.086,900,680.681,255.00
28.108,900,681.530,255.00
28.108,900,681.765,255.00
28.108,900,682.235,255.00
28.086,900,682.529,255.00
28.118,900,682.555,255.00
28.108,900,682.732,255.00
28.129,900,683.204,255.00
28.118,900,683.690,255.00
28.118,900,684.274,255.00
28.140,900,684.665,255.00
28.140,900,685.228,255.00
28.140,900,685.764,255.00
28.161,900,686.035,255.00
28.161,900,686.516,255.00
28.161,900,687.069,255.00
28.140,900,687.312,255.00
28.172,900,687.583,255.00
28.172,900,687.829,255.00
28.161,900,687.945,255.00
28.172,900,688.262,255.00
28.194,900,688.865,255.00
28.194,900,689.449,255.00
28.194,900,690.076,255.00
28.194,900,690.466,255.00
28.194,900,690.857,255.00
28.204,900,691.169,255.00
28.204,900,691.681,255.00
28.215,900,692.421,255.00
28.215,900,692.659,255.00
28.236,900,692.821,255.00
28.226,900,693.210,255.00
28.247,900,693.749,255.00
28.226,900,693.881,255.00
28.236,900,694.165,255.00
28.247,900,694.704,255.00
28.247,900,695.010,255.00
28.247,900,695.363,255.00
28.247,900,695.703,255.00
28.269,900,696.085,255.00
28.279,900,696.509,255.00
28.269,900,696.679,255.00
28.290,900,697.288,255.00
28.290,900,697.821,255.00
28.301,900,698.085,255.00
28.301,900,698.499,255.00
28.290,900,698.838,255.00
28.301,900,699.194,255.00
28.322,900,699.819,255.00
28.301,900,699.995,255.00
28.322,900,700.671,255.00
28.322,900,700.962,255.00
28.322,900,701.398,255.00
28.333,900,701.954,255.00
28.344,900,702.351,255.00
28.333,900,702.499,255.00
28.311,900,703.064,255.00
28.365,900,703.584,255.00
28.354,900,703.924,255.00
28.344,900,704.246,255.00
28.376,900,704.727,255.00
28.365,900,705.038,255.00
28.365,900,705.476,255.00
28.365,900,705.740,255.00
28.376,900,706.411,255.00
28.387,900,706.655,255.00
28.376,900,706.971,255.00
28.397,900,707.412,255.00
28.419,900,707.705,255.00
28.397,900,707.848,255.00
28.397,900,708.385,255.00
28.397,900,708.816,255.00
28.419,900,708.872,255.00
28.419,900,709.186,255.00
28.429,900,709.653,255.00
28.429,900,710.091,255.00
28.408,900,710.509,255.00
28.419,900,710.826,255.00
28.440,900,711.325,255.00
28.451,900,711.830,255.00
28.440,900,712.450,255.00
28.462,900,712.401,255.00
28.451,900,712.603,255.00
28.462,900,713.078,255.00
28.462,900,713.558,255.00
28.462,900,714.283,255.00
28.472,900,714.491,255.00
28.483,900,714.681,255.00
28.472,900,715.082,255.00
28.483,900,715.517,255.00
28.494,900,716.188,255.00
28.472,900,716.620,255.00
28.505,900,716.829,255.00
28.505,900,716.972,255.00
28.494,900,717.122,255.00
28.494,900,717.712,255.00
28.526,900,717.657,255.00
28.505,900,718.253,255.00
28.505,900,718.894,255.00
28.526,900,719.161,255.00
28.526,900,719.333,255.00
28.515,900,719.879,255.00
