timestamp,LM399-P15-fast6-no-R7
1500849072.279,6890008.5
1500849072.617,6890013.6
1500849072.955,6890011.1
1500849073.292,6890018.7
1500849073.630,6890008.5
1500849073.967,6890008.5
1500849074.305,6890013.6
1500849074.643,6890018.7
1500849074.980,6890013.6
1500849075.318,6890016.1
1500849075.656,6890016.1
1500849075.996,6890016.1
1500849076.331,6890013.6
1500849076.669,6890016.1
1500849077.006,6890013.6
1500849077.344,6890016.1
1500849077.682,6890013.6
1500849078.019,6890018.7
1500849078.357,6890013.6
1500849078.695,6890011.1
1500849079.032,6890016.1
1500849079.370,6890011.1
1500849079.708,6890013.6
1500849080.046,6890011.1
1500849080.383,6890008.5
1500849080.721,6890013.6
1500849081.058,6890013.6
1500849081.396,6890011.1
1500849081.734,6890016.1
1500849082.071,6890016.1
1500849082.409,6890013.6
1500849082.747,6890013.6
1500849083.084,6890013.6
1500849083.422,6890016.1
1500849083.760,6890016.1
1500849084.097,6890016.1
1500849084.435,6890013.6
1500849084.773,6890013.6
1500849085.110,6890016.1
1500849085.448,6890013.6
1500849085.786,6890013.6
1500849086.123,6890018.7
1500849086.461,6890018.7
1500849086.799,6890018.7
1500849087.136,6890018.7
1500849087.474,6890018.7
1500849087.812,6890013.6
1500849088.149,6890016.1
1500849088.487,6890016.1
1500849088.825,6890018.7
1500849089.162,6890018.7
1500849089.500,6890023.7
1500849089.838,6890018.7
1500849090.175,6890016.1
1500849090.513,6890013.6
1500849090.850,6890016.1
1500849091.188,6890018.7
1500849091.526,6890016.1
1500849091.863,6890018.7
1500849092.201,6890018.7
1500849092.539,6890013.6
1500849092.877,6890018.7
1500849093.214,6890021.2
1500849093.552,6890018.7
1500849093.890,6890018.7
1500849094.227,6890021.2
1500849094.565,6890018.7
1500849094.903,6890013.6
1500849095.240,6890018.7
1500849095.578,6890023.7
1500849095.916,6890021.2
1500849096.253,6890023.7
1500849096.591,6890013.6
1500849096.928,6890018.7
1500849097.266,6890018.7
1500849097.604,6890013.6
1500849097.942,6890021.2
1500849098.279,6890021.2
1500849098.617,6890018.7
1500849098.954,6890016.1
1500849099.292,6890016.1
1500849099.630,6890021.2
1500849099.968,6890021.2
1500849100.305,6890023.7
1500849100.643,6890021.2
1500849100.981,6890018.7
1500849101.318,6890016.1
1500849101.656,6890016.1
1500849101.994,6890016.1
1500849102.331,6890018.7
1500849102.669,6890021.2
1500849103.006,6890021.2
1500849103.344,6890018.7
1500849103.682,6890016.1
1500849104.020,6890013.6
1500849104.357,6890016.1
1500849104.695,6890018.7
1500849105.032,6890018.7
1500849105.370,6890018.7
1500849105.708,6890016.1
1500849106.045,6890018.7
1500849106.383,6890021.2
1500849106.721,6890016.1
1500849107.059,6890016.1
1500849107.396,6890011.1
1500849107.734,6890016.1
1500849108.071,6890016.1
1500849108.409,6890016.1
1500849108.747,6890016.1
1500849109.084,6890016.1
1500849109.424,6890013.6
1500849109.760,6890016.1
1500849110.097,6890016.1
1500849110.435,6890018.7
1500849110.773,6890021.2
1500849111.110,6890016.1
1500849111.448,6890018.7
1500849111.786,6890018.7
1500849112.123,6890016.1
1500849112.461,6890018.7
1500849112.799,6890018.7
1500849113.136,6890018.7
1500849113.474,6890021.2
1500849113.812,6890018.7
1500849114.149,6890018.7
1500849114.487,6890016.1
1500849114.825,6890018.7
1500849115.162,6890016.1
1500849115.500,6890021.2
1500849115.838,6890013.6
1500849116.175,6890021.2
1500849116.513,6890018.7
1500849116.851,6890013.6
1500849117.188,6890013.6
1500849117.526,6890011.1
1500849117.864,6890016.1
1500849118.201,6890013.6
1500849118.539,6890018.7
1500849118.877,6890013.6
1500849119.214,6890016.1
1500849119.552,6890018.7
1500849119.890,6890016.1
1500849120.227,6890016.1
1500849120.565,6890013.6
1500849120.903,6890016.1
1500849121.240,6890016.1
1500849121.578,6890013.6
1500849121.916,6890018.7
1500849122.253,6890016.1
1500849122.591,6890018.7
1500849122.928,6890018.7
1500849123.266,6890011.1
1500849123.604,6890013.6
1500849123.942,6890013.6
1500849124.279,6890013.6
1500849124.617,6890016.1
1500849124.954,6890016.1
1500849125.292,6890016.1
1500849125.630,6890016.1
1500849125.967,6890013.6
1500849126.313,6890016.1
1500849126.643,6890011.1
1500849126.980,6890013.6
1500849127.318,6890013.6
1500849127.656,6890016.1
1500849127.993,6890011.1
1500849128.331,6890013.6
1500849128.669,6890016.1
1500849129.006,6890013.6
1500849129.344,6890018.7
1500849129.682,6890013.6
1500849130.019,6890013.6
1500849130.357,6890016.1
1500849130.695,6890016.1
1500849131.032,6890016.1
1500849131.370,6890016.1
1500849131.708,6890013.6
1500849132.045,6890016.1
1500849132.383,6890013.6
1500849132.721,6890016.1
1500849133.058,6890013.6
1500849133.396,6890013.6
1500849133.734,6890016.1
1500849134.071,6890013.6
1500849134.409,6890016.1
1500849134.747,6890013.6
1500849135.084,6890011.1
1500849135.422,6890011.1
1500849135.759,6890013.6
1500849136.097,6890016.1
1500849136.435,6890016.1
1500849136.772,6890013.6
1500849137.110,6890016.1
1500849137.448,6890013.6
1500849137.785,6890016.1
1500849138.123,6890016.1
1500849138.461,6890018.7
1500849138.798,6890016.1
1500849139.136,6890018.7
1500849139.474,6890013.6
1500849139.811,6890013.6
1500849140.149,6890016.1
1500849140.487,6890018.7
1500849140.824,6890013.6
1500849141.162,6890011.1
1500849141.500,6890011.1
1500849141.837,6890011.1
1500849142.175,6890011.1
1500849142.513,6890018.7
1500849142.850,6890011.1
1500849143.188,6890016.1
1500849143.526,6890013.6
1500849143.863,6890011.1
1500849144.201,6890013.6
1500849144.539,6890013.6
1500849144.876,6890011.1
1500849145.214,6890008.5
1500849145.551,6890011.1
1500849145.889,6890011.1
1500849146.227,6890013.6
1500849146.564,6890013.6
1500849146.902,6890013.6
1500849147.240,6890011.1
1500849147.578,6890013.6
1500849147.915,6890016.1
1500849148.253,6890011.1
1500849148.591,6890016.1
1500849148.928,6890011.1
1500849149.266,6890013.6
1500849149.604,6890013.6
1500849149.941,6890013.6
1500849150.279,6890013.6
1500849150.617,6890013.6
1500849150.954,6890016.1
1500849151.292,6890013.6
1500849151.630,6890013.6
1500849151.967,6890013.6
1500849152.305,6890013.6
1500849152.643,6890016.1
1500849152.980,6890013.6
1500849153.318,6890013.6
1500849153.655,6890011.1
1500849153.993,6890011.1
1500849154.331,6890011.1
1500849154.669,6890013.6
1500849155.006,6890013.6
1500849155.344,6890008.5
1500849155.682,6890011.1
1500849156.019,6890006.0
1500849156.357,6890008.5
1500849156.694,6890011.1
1500849157.032,6890013.6
1500849157.370,6890011.1
1500849157.707,6890008.5
1500849158.045,6890013.6
1500849158.383,6890011.1
1500849158.720,6890013.6
1500849159.058,6890013.6
1500849159.396,6890011.1
1500849159.733,6890016.1
1500849160.071,6890013.6
1500849160.409,6890018.7
1500849160.746,6890013.6
1500849161.084,6890011.1
1500849161.422,6890016.1
1500849161.759,6890013.6
1500849162.097,6890011.1
1500849162.434,6890013.6
1500849162.772,6890006.0
1500849163.110,6890008.5
1500849163.447,6890008.5
1500849163.785,6890006.0
1500849164.123,6890006.0
1500849164.461,6890006.0
1500849164.798,6890008.5
1500849165.136,6890008.5
1500849165.474,6890006.0
1500849165.811,6890008.5
1500849166.149,6890013.6
1500849166.487,6890008.5
1500849166.824,6890008.5
1500849167.162,6890008.5
1500849167.500,6890008.5
1500849167.837,6890008.5
1500849168.175,6890006.0
1500849168.512,6890011.1
1500849168.850,6890006.0
1500849169.188,6890013.6
1500849169.526,6890011.1
1500849169.863,6890011.1
1500849170.201,6890011.1
1500849170.539,6890011.1
1500849170.876,6890011.1
1500849171.214,6890008.5
1500849171.552,6890008.5
1500849171.889,6890011.1
1500849172.227,6890006.0
1500849172.564,6890011.1
1500849172.902,6890008.5
1500849173.240,6890011.1
1500849173.577,6890011.1
1500849173.915,6890011.1
1500849174.253,6890013.6
1500849174.590,6890008.5
1500849174.928,6890013.6
1500849175.266,6890018.7
1500849175.603,6890023.7
1500849175.941,6890026.3
1500849176.279,6890023.7
1500849176.616,6890026.3
1500849176.954,6890028.8
1500849177.292,6890026.3
1500849177.630,6890023.7
1500849177.967,6890023.7
1500849178.305,6890023.7
1500849178.643,6890021.2
1500849178.980,6890026.3
1500849179.318,6890023.7
1500849179.655,6890021.2
1500849179.993,6890023.7
1500849180.331,6890026.3
1500849180.668,6890023.7
1500849181.006,6890026.3
1500849181.344,6890026.3
1500849181.681,6890021.2
1500849182.019,6890021.2
1500849182.357,6890021.2
1500849182.694,6890018.7
1500849183.032,6890023.7
1500849183.370,6890026.3
1500849183.707,6890018.7
1500849184.045,6890023.7
1500849184.383,6890021.2
1500849184.720,6890021.2
1500849185.058,6890023.7
1500849185.395,6890023.7
1500849185.733,6890021.2
1500849186.071,6890023.7
1500849186.408,6890023.7
1500849186.746,6890023.7
1500849187.084,6890023.7
1500849187.422,6890023.7
1500849187.759,6890021.2
1500849188.097,6890023.7
1500849188.435,6890023.7
1500849188.772,6890021.2
1500849189.110,6890018.7
1500849189.448,6890021.2
1500849189.785,6890021.2
1500849190.123,6890021.2
1500849190.461,6890021.2
1500849190.798,6890023.7
1500849191.136,6890021.2
1500849191.473,6890021.2
1500849191.811,6890023.7
1500849192.149,6890021.2
1500849192.486,6890018.7
1500849192.824,6890018.7
1500849193.162,6890016.1
1500849193.500,6890011.1
1500849193.837,6890011.1
1500849194.175,6890008.5
1500849194.513,6890011.1
1500849194.850,6890006.0
1500849195.188,6890011.1
1500849195.526,6890011.1
1500849195.863,6890013.6
1500849196.201,6890008.5
1500849196.538,6890013.6
1500849196.876,6890011.1
1500849197.214,6890013.6
1500849197.551,6890011.1
1500849197.889,6890013.6
1500849198.227,6890013.6
1500849198.564,6890011.1
1500849198.902,6890013.6
1500849199.240,6890016.1
1500849199.577,6890018.7
1500849199.915,6890018.7
1500849200.253,6890023.7
1500849200.590,6890023.7
1500849200.928,6890018.7
1500849201.266,6890026.3
1500849201.603,6890021.2
1500849201.941,6890021.2
1500849202.279,6890026.3
1500849202.616,6890018.7
1500849202.954,6890026.3
1500849203.292,6890026.3
1500849203.629,6890016.1
1500849203.967,6890021.2
1500849204.305,6890018.7
1500849204.645,6890023.7
1500849204.980,6890021.2
1500849205.318,6890026.3
1500849205.656,6890023.7
1500849205.993,6890021.2
1500849206.331,6890023.7
1500849206.668,6890021.2
1500849207.006,6890026.3
1500849207.344,6890023.7
1500849207.681,6890026.3
1500849208.019,6890023.7
1500849208.356,6890026.3
1500849208.694,6890026.3
1500849209.032,6890026.3
1500849209.370,6890026.3
1500849209.707,6890023.7
1500849210.045,6890028.8
1500849210.383,6890026.3
1500849210.720,6890026.3
1500849211.058,6890023.7
1500849211.396,6890023.7
1500849211.733,6890026.3
1500849212.071,6890023.7
1500849212.408,6890026.3
1500849212.746,6890026.3
1500849213.084,6890023.7
1500849213.422,6890021.2
1500849213.759,6890021.2
1500849214.097,6890023.7
1500849214.435,6890026.3
1500849214.772,6890023.7
1500849215.110,6890026.3
1500849215.448,6890023.7
1500849215.785,6890026.3
1500849216.123,6890023.7
1500849216.460,6890013.6
1500849216.798,6890016.1
1500849217.136,6890013.6
1500849217.473,6890013.6
1500849217.811,6890013.6
1500849218.149,6890008.5
1500849218.486,6890008.5
1500849218.824,6890008.5
1500849219.162,6890008.5
1500849219.499,6890011.1
1500849219.837,6890011.1
1500849220.175,6890006.0
1500849220.512,6890011.1
1500849220.850,6890011.1
1500849221.188,6890011.1
1500849221.525,6890008.5
1500849221.863,6890011.1
1500849222.201,6890008.5
1500849222.538,6890011.1
1500849222.876,6890008.5
1500849223.214,6890008.5
1500849223.551,6890006.0
1500849223.889,6890013.6
1500849224.227,6890008.5
1500849224.564,6890008.5
1500849224.902,6890011.1
1500849225.240,6890006.0
1500849225.577,6890008.5
1500849225.915,6890008.5
1500849226.253,6890011.1
1500849226.590,6890011.1
1500849226.928,6890008.5
1500849227.266,6890011.1
1500849227.603,6890011.1
1500849227.941,6890013.6
1500849228.279,6890008.5
1500849228.616,6890013.6
1500849228.954,6890011.1
1500849229.292,6890011.1
1500849229.629,6890008.5
1500849229.967,6890013.6
1500849230.305,6890008.5
1500849230.642,6890011.1
1500849230.980,6890013.6
1500849231.317,6890008.5
1500849231.655,6890008.5
1500849231.996,6890008.5
1500849232.331,6890013.6
1500849232.668,6890011.1
1500849233.006,6890008.5
1500849233.344,6890011.1
1500849233.681,6890008.5
1500849234.019,6890016.1
1500849234.357,6890018.7
1500849234.694,6890021.2
1500849235.032,6890018.7
1500849235.369,6890023.7
1500849235.707,6890021.2
1500849236.045,6890023.7
1500849236.382,6890026.3
1500849236.720,6890028.8
1500849237.061,6890026.3
1500849237.395,6890023.7
1500849237.733,6890028.8
1500849238.071,6890026.3
1500849238.409,6890028.8
1500849238.746,6890028.8
1500849239.084,6890028.8
1500849239.421,6890028.8
1500849239.759,6890028.8
1500849240.097,6890028.8
1500849240.434,6890028.8
1500849240.772,6890031.3
1500849241.110,6890028.8
1500849241.447,6890033.9
1500849241.785,6890031.3
1500849242.123,6890026.3
1500849242.460,6890028.8
1500849242.798,6890026.3
1500849243.136,6890033.9
1500849243.473,6890026.3
1500849243.811,6890026.3
1500849244.149,6890028.8
1500849244.486,6890026.3
1500849244.824,6890023.7
1500849245.161,6890028.8
1500849245.499,6890023.7
1500849245.837,6890023.7
1500849246.175,6890031.3
1500849246.512,6890028.8
1500849246.850,6890026.3
1500849247.188,6890026.3
1500849247.525,6890026.3
1500849247.863,6890028.8
1500849248.201,6890026.3
1500849248.538,6890028.8
1500849248.876,6890028.8
1500849249.214,6890028.8
1500849249.551,6890026.3
1500849249.889,6890028.8
1500849250.227,6890026.3
1500849250.564,6890026.3
1500849250.902,6890026.3
1500849251.240,6890026.3
1500849251.577,6890026.3
1500849251.915,6890028.8
1500849252.253,6890026.3
1500849252.590,6890026.3
1500849252.928,6890026.3
1500849253.265,6890028.8
1500849253.603,6890028.8
1500849253.941,6890031.3
1500849254.278,6890026.3
1500849254.616,6890028.8
1500849254.954,6890026.3
1500849255.291,6890023.7
1500849255.629,6890026.3
1500849255.967,6890031.3
1500849256.304,6890023.7
