timestamp,svrt-no-tape
1512955842.150,10000170.0
1512955845.503,10000176.0
1512955848.855,10000207.0
1512955852.207,10000147.0
1512955855.559,10000159.0
1512955858.911,10000155.0
1512955862.263,10000163.0
1512955865.615,10000175.0
1512955868.968,10000141.0
1512955872.319,10000194.0
1512955875.671,10000206.0
1512955879.024,10000186.0
1512955882.375,10000168.0
1512955885.727,10000214.0
1512955889.080,10000190.0
1512955892.432,10000165.0
1512955895.784,10000216.0
1512955899.136,10000210.0
1512955902.488,10000197.0
1512955905.840,10000199.0
1512955909.192,10000184.0
1512955912.545,10000126.0
1512955915.896,10000122.0
1512955919.248,10000156.0
1512955922.600,10000128.0
1512955925.953,10000117.0
1512955929.305,10000124.0
1512955932.657,10000162.0
1512955936.008,10000145.0
1512955939.361,10000100.0
1512955942.713,10000140.0
1512955946.065,10000125.0
1512955949.418,10000125.0
1512955952.769,10000154.0
1512955956.121,10000163.0
1512955959.473,10000132.0
1512955962.826,10000101.0
1512955966.178,10000128.0
1512955969.530,10000178.0
1512955972.881,10000182.0
1512955976.234,10000139.0
1512955979.586,10000157.0
1512955982.938,10000185.0
1512955986.290,10000146.0
1512955989.643,10000158.0
1512955992.994,10000131.0
1512955996.346,10000127.0
1512955999.698,10000127.0
1512956003.050,10000143.0
1512956006.403,10000098.0
1512956009.755,10000123.0
1512956013.107,10000116.0
1512956016.458,10000127.0
1512956019.811,10000120.0
1512956023.163,10000119.0
1512956026.515,10000106.0
1512956029.868,10000106.0
1512956033.220,10000132.0
1512956036.571,10000101.0
1512956039.923,10000132.0
1512956043.275,10000132.0
1512956046.628,10000165.0
1512956049.980,10000122.0
1512956053.332,10000156.0
1512956056.684,10000165.0
1512956060.036,10000139.0
1512956063.388,10000161.0
1512956066.740,10000172.0
1512956070.093,10000121.0
1512956073.445,10000141.0
1512956076.796,10000154.0
1512956080.148,10000171.0
1512956083.501,10000198.0
1512956086.853,10000150.0
1512956090.205,10000118.0
1512956093.556,10000124.0
1512956096.909,10000118.0
1512956100.261,10000181.0
1512956103.613,10000109.0
1512956106.965,10000120.0
1512956110.317,10000104.0
1512956113.669,10000100.0
1512956117.021,10000119.0
1512956120.373,10000103.0
1512956123.725,10000121.0
1512956127.078,10000123.0
1512956130.430,10000125.0
1512956133.782,10000133.0
1512956137.134,10000138.0
1512956140.486,10000129.0
1512956143.838,10000177.0
1512956147.190,10000189.0
1512956150.543,10000164.0
1512956153.895,10000179.0
1512956157.246,10000169.0
1512956160.598,10000148.0
1512956163.950,10000198.0
1512956167.303,10000185.0
1512956170.655,10000193.0
1512956174.007,10000192.0
1512956177.359,10000192.0
1512956180.711,10000197.0
1512956184.063,10000189.0
1512956187.415,10000190.0
1512956190.768,10000189.0
1512956194.119,10000194.0
1512956197.471,10000189.0
1512956200.823,10000196.0
1512956204.176,10000203.0
1512956207.528,10000199.0
1512956210.880,10000196.0
1512956214.231,10000196.0
1512956217.584,10000203.0
1512956220.936,10000203.0
1512956224.288,10000166.0
1512956227.640,10000125.0
1512956230.992,10000132.0
1512956234.345,10000154.0
1512956237.696,10000150.0
1512956241.049,10000172.0
1512956244.400,10000189.0
1512956247.752,10000198.0
1512956251.105,10000186.0
1512956254.457,10000142.0
1512956257.809,10000142.0
1512956261.161,10000131.0
1512956264.514,10000126.0
1512956267.865,10000121.0
1512956271.217,10000124.0
1512956274.569,10000133.0
1512956277.922,10000135.0
1512956281.273,10000187.0
1512956284.625,10000194.0
1512956287.977,10000165.0
1512956291.330,10000188.0
1512956294.682,10000204.0
1512956298.034,10000141.0
1512956301.386,10000126.0
1512956304.738,10000145.0
1512956308.090,10000141.0
1512956311.442,10000140.0
1512956314.794,10000132.0
1512956318.146,10000137.0
1512956321.498,10000142.0
1512956324.850,10000137.0
1512956328.203,10000137.0
1512956331.555,10000210.0
1512956334.906,10000217.0
1512956338.258,10000209.0
1512956341.611,10000172.0
1512956344.963,10000177.0
1512956348.315,10000158.0
1512956351.667,10000172.0
1512956355.019,10000202.0
1512956358.371,10000225.0
1512956361.724,10000213.0
1512956365.075,10000196.0
1512956368.427,10000190.0
1512956371.779,10000141.0
1512956375.132,10000159.0
1512956378.484,10000192.0
1512956381.836,10000184.0
1512956385.187,10000173.0
1512956388.540,10000158.0
1512956391.892,10000145.0
1512956395.244,10000166.0
1512956398.596,10000186.0
1512956401.949,10000173.0
