timestamp,ambient_c,ambient_rh
1521231929.54,21.624,64.908
1521231931.15,21.618,64.914
1521231932.76,21.614,64.911
1521231934.37,21.620,64.919
1521231935.98,21.618,64.919
1521231937.59,21.611,64.918
1521231939.20,21.616,64.917
1521231940.81,21.603,64.915
1521231942.42,21.611,64.916
1521231944.03,21.604,64.920
1521231945.64,21.612,64.928
1521231947.25,21.600,64.916
1521231948.86,21.599,64.921
1521231950.47,21.598,64.930
1521231952.08,21.598,64.930
1521231953.70,21.594,64.926
1521231955.31,21.590,64.933
1521231956.92,21.587,64.926
1521231958.53,21.583,64.932
1521231960.14,21.587,64.935
1521231961.75,21.584,64.930
1521231963.36,21.584,64.941
1521231964.97,21.577,64.945
1521231966.58,21.581,64.938
1521231968.19,21.579,64.936
1521231969.80,21.567,64.939
1521231971.41,21.577,64.943
1521231973.02,21.571,64.947
1521231974.63,21.565,64.936
1521231976.24,21.565,64.942
1521231977.85,21.564,64.936
1521231979.47,21.563,64.936
1521231981.08,21.561,64.935
1521231982.69,21.553,64.938
1521231984.30,21.553,64.937
1521231985.91,21.563,64.943
1521231987.52,21.556,64.937
1521231989.13,21.549,64.937
1521231990.74,21.551,64.932
1521231992.35,21.544,64.930
1521231993.96,21.548,64.941
1521231995.57,21.545,64.939
1521231997.18,21.539,64.932
1521231998.79,21.540,64.928
1521232000.40,21.529,64.931
1521232002.01,21.533,64.930
1521232003.62,21.533,64.923
1521232005.24,21.520,64.914
1521232006.85,21.528,64.923
1521232008.46,21.529,64.915
1521232010.07,21.520,64.909
1521232011.68,21.521,64.910
1521232013.29,21.512,64.905
1521232014.90,21.508,64.896
1521232016.51,21.514,64.898
1521232018.12,21.508,64.892
1521232019.73,21.508,64.885
1521232021.34,21.504,64.871
1521232022.95,21.505,64.879
1521232024.56,21.496,64.862
1521232026.17,21.506,64.864
1521232027.78,21.496,64.854
1521232029.39,21.502,64.847
1521232031.01,21.489,64.842
1521232032.62,21.494,64.839
1521232034.23,21.488,64.830
1521232035.84,21.480,64.830
1521232037.45,21.489,64.828
1521232039.06,21.486,64.829
1521232040.67,21.488,64.819
1521232042.28,21.477,64.814
1521232043.89,21.480,64.808
1521232045.50,21.477,64.806
1521232047.11,21.469,64.799
1521232048.72,21.473,64.793
1521232050.33,21.470,64.799
1521232051.94,21.465,64.791
1521232053.55,21.469,64.795
1521232055.16,21.469,64.787
1521232056.77,21.465,64.780
1521232058.39,21.457,64.778
1521232060.00,21.464,64.773
1521232061.61,21.461,64.766
1521232063.22,21.451,64.763
1521232064.83,21.451,64.764
1521232066.44,21.449,64.755
1521232068.05,21.447,64.749
1521232069.66,21.447,64.752
1521232071.27,21.449,64.742
1521232072.88,21.447,64.745
1521232074.49,21.449,64.738
1521232076.10,21.439,64.737
1521232077.71,21.442,64.737
1521232079.32,21.437,64.737
1521232080.93,21.434,64.734
1521232082.54,21.438,64.736
1521232084.16,21.431,64.735
1521232085.77,21.430,64.746
1521232087.38,21.425,64.737
1521232088.99,21.430,64.749
1521232090.60,21.425,64.736
1521232092.21,21.425,64.744
1521232093.82,21.421,64.745
1521232095.43,21.426,64.742
1521232097.04,21.417,64.754
1521232098.65,21.419,64.754
1521232100.26,21.411,64.754
1521232101.87,21.415,64.765
1521232103.48,21.415,64.764
1521232105.09,21.419,64.767
1521232106.70,21.417,64.771
1521232108.31,21.411,64.777
1521232109.93,21.406,64.772
1521232111.54,21.409,64.786
1521232113.15,21.405,64.793
1521232114.76,21.403,64.795
1521232116.37,21.407,64.805
