ambient_c,ambient_rh,crc16
1520225634.99,20.888,77.374,209f
1520225636.60,20.888,77.364,13ae
1520225638.21,20.891,77.370,d231
1520225639.82,20.894,77.360,a9be
1520225641.43,20.895,77.345,d8aa
1520225643.04,20.895,77.326,426f
1520225644.65,20.895,77.313,4799
1520225646.26,20.907,77.303,5697
1520225647.87,20.907,77.291,fb7d
1520225649.48,20.907,77.282,f82f
1520225651.09,20.915,77.279,3dff
1520225652.70,20.911,77.285,e320
1520225654.31,20.914,77.284,bbbf
1520225655.92,20.917,77.294,40fb
1520225657.54,20.925,77.302,0f77
1520225659.15,20.923,77.319,0de6
1520225660.76,20.931,77.321,bd38
1520225662.37,20.931,77.324,ed9d
1520225663.98,20.930,77.332,f9b9
1520225665.59,20.929,77.347,82a1
1520225667.20,20.929,77.362,b466
1520225668.81,20.934,77.372,3a10
1520225670.42,20.923,77.391,0547
1520225672.03,20.918,77.412,c2f6
1520225673.64,20.926,77.425,5417
1520225675.25,20.933,77.436,f4d8
1520225676.86,20.931,77.458,3016
1520225678.47,20.931,77.473,e71f
1520225680.08,20.926,77.483,db1a
1520225681.70,20.934,77.509,a04c
1520225683.31,20.937,77.527,ef95
1520225684.92,20.937,77.555,5640
1520225686.53,20.930,77.576,c759
1520225688.14,20.935,77.601,3fc7
1520225689.75,20.934,77.627,7eb0
1520225691.36,20.931,77.649,7d66
1520225692.97,20.929,77.662,5f96
1520225694.58,20.934,77.680,e19c
1520225696.19,20.937,77.699,8bf1
1520225697.80,20.938,77.717,0d64
1520225699.41,20.946,77.735,64fe
1520225701.02,20.947,77.744,aa9b
1520225702.63,20.950,77.755,a5b0
1520225704.24,20.946,77.772,d8dd
1520225705.86,20.942,77.783,d7af
1520225707.47,20.942,77.797,a41a
1520225709.08,20.942,77.815,21c0
1520225710.69,20.945,77.832,f05d
1520225712.30,20.949,77.840,583f
1520225713.91,20.946,77.854,f248
1520225715.52,20.943,77.869,3e08
1520225717.13,20.950,77.883,9f1b
1520225718.74,20.943,77.898,3e17
1520225720.35,20.946,77.900,7a09
1520225721.97,20.953,77.925,ef53
1520225723.57,20.943,77.941,ee52
1520225725.18,20.945,77.954,0d0d
1520225726.79,20.951,77.961,ecb5
1520225728.40,20.946,77.992,e0d3
1520225730.02,20.947,78.002,e6f0
1520225731.63,20.946,78.025,b7a6
1520225733.24,20.950,78.038,3ed2
1520225734.85,20.949,78.057,d7b1
1520225736.46,20.947,78.062,4c56
1520225738.07,20.950,78.059,8455
1520225739.68,20.958,78.052,2be4
