isothermal_c,isothermal_rh,crc16
1520250450.20,26.810,60.806,9cf7
1520250450.81,26.814,60.823,a55d
1520250451.41,26.814,60.808,7254
1520250452.02,26.803,60.808,5e6f
1520250452.62,26.806,60.806,f71f
1520250453.22,26.810,60.818,4e08
1520250453.83,26.810,60.806,9cf7
1520250454.43,26.803,60.813,dc35
1520250455.04,26.810,60.806,9cf7
1520250455.64,26.792,60.788,2849
1520250456.25,26.806,60.808,16d1
1520250456.85,26.814,60.806,939a
1520250457.46,26.817,60.811,1839
1520250458.06,26.814,60.808,7254
1520250458.66,26.806,60.821,e19a
1520250459.27,26.799,60.803,ea15
1520250459.87,26.806,60.808,16d1
1520250460.47,26.810,60.806,9cf7
1520250461.08,26.799,60.806,bab0
1520250461.68,26.803,60.808,5e6f
1520250462.28,26.810,60.813,ff63
1520250462.89,26.814,60.811,d04c
1520250463.49,26.817,60.816,68de
1520250464.10,26.792,60.808,8dd1
1520250464.70,26.810,60.808,7d39
1520250465.31,26.803,60.798,c8c6
1520250465.91,26.814,60.813,f00e
1520250466.52,26.799,60.803,ea15
1520250467.12,26.814,60.811,d04c
1520250467.72,26.806,60.813,948b
1520250468.33,26.810,60.816,afc6
1520250468.93,26.810,60.808,7d39
1520250469.53,26.803,60.806,bfa1
1520250470.14,26.796,60.818,b18d
1520250470.74,26.810,60.808,7d39
1520250471.35,26.810,60.818,4e08
1520250471.95,26.806,60.816,c42e
1520250472.55,26.814,60.790,65f5
1520250473.16,26.810,60.806,9cf7
1520250473.76,26.799,60.798,cdd7
1520250474.37,26.814,60.811,d04c
1520250474.97,26.810,60.808,7d39
1520250475.58,26.810,60.811,df21
1520250476.18,26.799,60.808,5b7e
1520250476.79,26.810,60.803,cc52
1520250477.39,26.810,60.808,7d39
1520250477.99,26.806,60.800,97d9
1520250478.60,26.796,60.800,03b4
1520250479.20,26.796,60.800,03b4
1520250479.80,26.806,60.803,a7ba
1520250480.41,26.810,60.800,fc31
1520250481.01,26.810,60.813,ff63
1520250481.61,26.810,60.811,df21
1520250482.22,26.817,60.818,8910
1520250482.82,26.806,60.813,948b
1520250483.43,26.803,60.816,8c90
1520250484.03,26.803,60.808,5e6f
1520250484.64,26.806,60.803,a7ba
1520250485.24,26.803,60.811,fc77
1520250485.85,26.810,60.800,fc31
1520250486.45,26.799,60.803,ea15
1520250487.05,26.806,60.816,c42e
1520250487.66,26.806,60.795,51d5
1520250488.26,26.803,60.806,bfa1
1520250488.86,26.806,60.808,16d1
1520250489.47,26.806,60.808,16d1
1520250490.07,26.806,60.808,16d1
1520250490.68,26.806,60.800,97d9
1520250491.28,26.799,60.803,ea15
1520250491.88,26.799,60.806,bab0
1520250492.49,26.799,60.806,bab0
1520250493.09,26.814,60.806,939a
1520250493.70,26.803,60.816,8c90
1520250494.30,26.806,60.818,25e0
1520250494.91,26.810,60.806,9cf7
1520250495.51,26.806,60.803,a7ba
1520250496.12,26.799,60.798,cdd7
1520250496.72,26.810,60.813,ff63
1520250497.32,26.806,60.800,97d9
1520250497.93,26.806,60.800,97d9
1520250498.53,26.803,60.808,5e6f
1520250499.13,26.803,60.806,bfa1
1520250499.74,26.803,60.806,bfa1
1520250500.34,26.810,60.806,9cf7
1520250500.94,26.792,60.798,1b78
1520250501.55,26.806,60.808,16d1
1520250502.15,26.806,60.811,b4c9
1520250502.76,26.810,60.803,cc52
1520250503.36,26.806,60.813,948b
1520250503.97,26.799,60.808,5b7e
1520250504.57,26.803,60.803,ef04
1520250505.18,26.806,60.808,16d1
1520250505.78,26.803,60.813,dc35
1520250506.38,26.799,60.798,cdd7
1520250506.99,26.810,60.800,fc31
1520250507.59,26.806,60.808,16d1
1520250508.20,26.810,60.800,fc31
1520250508.80,26.799,60.808,5b7e
1520250509.40,26.803,60.803,ef04
1520250510.01,26.814,60.803,c33f
1520250510.61,26.810,60.808,7d39
1520250511.22,26.803,60.806,bfa1
1520250511.82,26.803,60.788,fbf7
1520250512.42,26.806,60.803,a7ba
1520250513.03,26.803,60.795,196b
1520250513.63,26.799,60.798,cdd7
1520250514.24,26.803,60.800,df67
1520250514.84,26.806,60.793,3113
1520250515.45,26.799,60.790,4cdf
1520250516.05,26.806,60.795,51d5
1520250516.65,26.803,60.808,5e6f
1520250517.26,26.799,60.798,cdd7
1520250517.86,26.803,60.806,bfa1
1520250518.46,26.810,60.800,fc31
1520250519.07,26.810,60.803,cc52
1520250519.67,26.796,60.803,33d7
1520250520.28,26.806,60.803,a7ba
1520250520.88,26.799,60.808,5b7e
1520250521.48,26.806,60.798,8078
1520250522.09,26.799,60.806,bab0
1520250522.69,26.810,60.803,cc52
1520250523.30,26.806,60.806,f71f
1520250523.90,26.803,60.803,ef04
1520250524.51,26.806,60.808,16d1
1520250525.11,26.803,60.806,bfa1
1520250525.71,26.799,60.813,d924
1520250526.32,26.806,60.803,a7ba
1520250526.92,26.810,60.808,7d39
1520250527.53,26.796,60.795,c5b8
1520250528.16,26.810,60.808,7d39
1520250528.73,26.803,60.800,df67
1520250529.34,26.806,60.806,f71f
1520250529.94,26.803,60.790,49ce
1520250530.54,26.792,60.790,9a70
1520250531.15,26.803,60.803,ef04
1520250531.75,26.803,60.793,79ad
1520250532.36,26.803,60.803,ef04
1520250532.96,26.796,60.798,1415
1520250533.57,26.803,60.788,fbf7
1520250534.17,26.814,60.808,7254
1520250534.78,26.803,60.811,fc77
1520250535.38,26.803,60.803,ef04
1520250535.98,26.803,60.813,dc35
1520250536.59,26.810,60.808,7d39
1520250537.19,26.810,60.798,eb90
1520250537.79,26.803,60.808,5e6f
1520250538.40,26.803,60.800,df67
1520250539.00,26.789,60.798,26f4
1520250539.61,26.814,60.803,c33f
1520250540.21,26.806,60.798,8078
1520250540.81,26.803,60.813,dc35
1520250541.42,26.789,60.795,f759
1520250542.02,26.806,60.803,a7ba
1520250542.63,26.803,60.800,df67
1520250543.23,26.796,60.790,951d
1520250543.84,26.799,60.800,da76
1520250544.44,26.799,60.788,fee6
1520250545.04,26.803,60.798,c8c6
1520250545.65,26.806,60.803,a7ba
1520250546.25,26.803,60.798,c8c6
1520250546.86,26.799,60.803,ea15
1520250547.46,26.799,60.793,7cbc
1520250548.06,26.799,60.798,cdd7
1520250548.67,26.803,60.800,df67
1520250549.27,26.806,60.806,f71f
1520250549.87,26.799,60.788,fee6
1520250550.48,26.814,60.803,c33f
1520250551.08,26.821,60.808,17ae
1520250551.69,26.806,60.795,51d5
1520250552.29,26.803,60.793,79ad
1520250552.90,26.803,60.795,196b
1520250553.50,26.796,60.798,1415
1520250554.11,26.806,60.798,8078
1520250554.71,26.803,60.788,fbf7
1520250555.31,26.799,60.800,da76
1520250555.92,26.806,60.808,16d1
1520250556.52,26.799,60.795,1c7a
1520250557.12,26.803,60.808,5e6f
1520250557.73,26.799,60.803,ea15
1520250558.33,26.796,60.798,1415
1520250558.94,26.810,60.803,cc52
1520250559.54,26.806,60.806,f71f
1520250560.14,26.789,60.800,3155
1520250560.75,26.806,60.808,16d1
1520250561.35,26.799,60.800,da76
1520250561.96,26.799,60.793,7cbc
1520250562.56,26.803,60.793,79ad
1520250563.17,26.796,60.793,a57e
1520250563.77,26.806,60.806,f71f
1520250564.38,26.796,60.793,a57e
1520250564.98,26.799,60.798,cdd7
1520250565.58,26.799,60.790,4cdf
1520250566.19,26.817,60.803,0b4a
1520250566.79,26.799,60.803,ea15
1520250567.39,26.792,60.790,9a70
1520250568.00,26.796,60.798,1415
1520250568.60,26.806,60.790,0170
1520250569.20,26.806,60.806,f71f
1520250569.81,26.796,60.790,951d
1520250570.41,26.799,60.788,fee6
1520250571.02,26.799,60.788,fee6
1520250571.62,26.796,60.803,33d7
1520250572.23,26.799,60.800,da76
1520250572.83,26.806,60.800,97d9
1520250573.44,26.781,60.795,e983
1520250574.04,26.796,60.795,c5b8
1520250574.64,26.810,60.800,fc31
1520250575.25,26.803,60.793,79ad
1520250575.85,26.799,60.788,fee6
1520250576.45,26.806,60.793,3113
1520250577.06,26.796,60.806,6372
1520250577.66,26.803,60.790,49ce
1520250578.27,26.789,60.783,a4ae
1520250578.87,26.799,60.788,fee6
1520250579.47,26.803,60.798,c8c6
1520250580.08,26.796,60.795,c5b8
1520250580.68,26.806,60.783,0222
1520250581.29,26.810,60.793,5afb
1520250581.89,26.799,60.790,4cdf
1520250582.50,26.803,60.793,79ad
1520250583.10,26.792,60.800,0cd9
1520250583.71,26.803,60.795,196b
1520250584.31,26.810,60.798,eb90
1520250584.91,26.803,60.793,79ad
1520250585.52,26.803,60.800,df67
1520250586.12,26.792,60.793,aa13
1520250586.72,26.806,60.793,3113
1520250587.33,26.803,60.806,bfa1
1520250587.93,26.799,60.780,7fee
1520250588.53,26.806,60.806,f71f
1520250589.14,26.792,60.788,2849
1520250589.74,26.803,60.780,7aff
1520250590.35,26.796,60.795,c5b8
1520250590.95,26.799,60.793,7cbc
1520250591.56,26.796,60.800,03b4
1520250592.16,26.803,60.798,c8c6
1520250592.77,26.806,60.808,16d1
1520250593.37,26.799,60.785,2f4b
1520250593.97,26.803,60.795,196b
1520250594.58,26.806,60.798,8078
1520250595.18,26.796,60.783,964f
1520250595.78,26.803,60.800,df67
1520250596.39,26.803,60.803,ef04
1520250596.99,26.796,60.795,c5b8
1520250597.60,26.799,60.793,7cbc
1520250598.20,26.799,60.793,7cbc
1520250598.80,26.803,60.798,c8c6
1520250599.41,26.796,60.798,1415
1520250600.01,26.789,60.788,15c5
1520250600.62,26.810,60.800,fc31
1520250601.22,26.810,60.795,3a3d
1520250601.83,26.799,60.795,1c7a
1520250602.43,26.810,60.806,9cf7
1520250603.04,26.792,60.803,3cba
1520250603.64,26.806,60.790,0170
1520250604.24,26.799,60.793,7cbc
1520250604.85,26.803,60.788,fbf7
1520250605.45,26.799,60.793,7cbc
1520250606.05,26.799,60.788,fee6
1520250606.66,26.803,60.795,196b
1520250607.26,26.803,60.803,ef04
1520250607.86,26.803,60.785,2a5a
1520250608.47,26.806,60.803,a7ba
1520250609.07,26.803,60.798,c8c6
1520250609.68,26.810,60.793,5afb
1520250610.28,26.799,60.798,cdd7
1520250610.89,26.803,60.800,df67
1520250611.49,26.803,60.795,196b
1520250612.10,26.799,60.806,bab0
1520250612.70,26.792,60.798,1b78
1520250613.30,26.803,60.800,df67
1520250613.91,26.796,60.800,03b4
1520250614.51,26.799,60.798,cdd7
1520250615.11,26.799,60.785,2f4b
1520250615.72,26.806,60.793,3113
1520250616.32,26.796,60.785,f689
1520250616.93,26.799,60.785,2f4b
1520250617.53,26.803,60.798,c8c6
1520250618.13,26.799,60.798,cdd7
1520250618.74,26.799,60.783,4f8d
1520250619.34,26.796,60.795,c5b8
1520250619.95,26.789,60.790,a7fc
1520250620.55,26.796,60.790,951d
1520250621.16,26.806,60.798,8078
1520250621.76,26.803,60.785,2a5a
1520250622.37,26.814,60.800,f35c
1520250622.97,26.814,60.795,3550
1520250623.57,26.799,60.798,cdd7
1520250624.18,26.799,60.803,ea15
1520250624.78,26.806,60.793,3113
1520250625.38,26.799,60.785,2f4b
1520250625.99,26.803,60.800,df67
1520250626.59,26.792,60.795,cad5
1520250627.19,26.803,60.790,49ce
1520250627.80,26.803,60.795,196b
1520250628.40,26.799,60.785,2f4b
1520250629.01,26.799,60.788,fee6
1520250629.61,26.803,60.785,2a5a
1520250630.22,26.799,60.783,4f8d
1520250630.82,26.799,60.800,da76
1520250631.43,26.792,60.793,aa13
1520250632.03,26.810,60.793,5afb
1520250632.63,26.803,60.790,49ce
1520250633.24,26.796,60.793,a57e
1520250633.84,26.799,60.788,fee6
1520250634.45,26.799,60.788,fee6
1520250635.05,26.799,60.785,2f4b
1520250635.65,26.799,60.795,1c7a
1520250636.26,26.803,60.783,4a9c
1520250636.86,26.796,60.790,951d
1520250637.46,26.799,60.785,2f4b
1520250638.07,26.799,60.793,7cbc
1520250638.67,26.806,60.798,8078
1520250639.28,26.799,60.780,7fee
1520250639.88,26.803,60.788,fbf7
1520250640.49,26.796,60.780,a62c
1520250641.09,26.799,60.780,7fee
1520250641.70,26.799,60.788,fee6
1520250642.30,26.803,60.780,7aff
1520250642.90,26.796,60.793,a57e
1520250643.51,26.806,60.790,0170
1520250644.11,26.792,60.780,a941
1520250644.71,26.789,60.793,979f
1520250645.32,26.803,60.788,fbf7
1520250645.92,26.799,60.795,1c7a
1520250646.53,26.810,60.790,6a98
1520250647.13,26.803,60.795,196b
1520250647.73,26.796,60.785,f689
1520250648.34,26.796,60.798,1415
1520250648.94,26.803,60.795,196b
1520250649.55,26.799,60.793,7cbc
1520250650.15,26.806,60.800,97d9
1520250650.76,26.803,60.780,7aff
1520250651.36,26.799,60.783,4f8d
1520250651.96,26.792,60.793,aa13
1520250652.57,26.799,60.785,2f4b
1520250653.17,26.799,60.790,4cdf
1520250653.78,26.803,60.803,ef04
1520250654.38,26.803,60.793,79ad
1520250654.98,26.799,60.790,4cdf
1520250655.59,26.806,60.790,0170
1520250656.19,26.810,60.788,d8a1
1520250656.79,26.806,60.803,a7ba
1520250657.40,26.799,60.798,cdd7
1520250658.32,26.796,60.783,964f
1520250658.61,26.810,60.790,6a98
1520250659.21,26.799,60.788,fee6
1520250659.82,26.810,60.793,5afb
1520250660.42,26.796,60.795,c5b8
1520250661.03,26.799,60.793,7cbc
1520250661.63,26.789,60.803,0136
1520250662.23,26.806,60.790,0170
1520250662.84,26.796,60.795,c5b8
1520250663.44,26.796,60.795,c5b8
1520250664.04,26.792,60.788,2849
1520250664.65,26.792,60.803,3cba
1520250665.25,26.799,60.785,2f4b
1520250665.86,26.799,60.790,4cdf
1520250666.46,26.799,60.785,2f4b
1520250667.06,26.799,60.790,4cdf
1520250667.67,26.799,60.780,7fee
1520250668.27,26.803,60.795,196b
1520250668.88,26.799,60.795,1c7a
1520250669.48,26.803,60.798,c8c6
1520250670.09,26.806,60.788,b349
1520250670.69,26.799,60.788,fee6
1520250671.29,26.806,60.790,0170
1520250671.90,26.799,60.790,4cdf
1520250672.50,26.799,60.785,2f4b
1520250673.11,26.803,60.793,79ad
1520250673.71,26.796,60.798,1415
1520250674.31,26.806,60.795,51d5
1520250674.92,26.799,60.785,2f4b
1520250675.52,26.806,60.790,0170
1520250676.13,26.799,60.785,2f4b
1520250676.73,26.806,60.783,0222
1520250677.33,26.806,60.795,51d5
1520250677.94,26.799,60.803,ea15
1520250678.54,26.799,60.788,fee6
1520250679.15,26.799,60.778,eed8
1520250679.75,26.806,60.793,3113
1520250680.36,26.803,60.783,4a9c
1520250680.96,26.799,60.790,4cdf
1520250681.56,26.806,60.772,023d
1520250682.17,26.799,60.795,1c7a
1520250682.77,26.799,60.783,4f8d
1520250683.37,26.803,60.788,fbf7
1520250683.98,26.803,60.788,fbf7
1520250684.58,26.799,60.793,7cbc
1520250685.19,26.799,60.783,4f8d
1520250685.79,26.796,60.778,371a
1520250686.39,26.796,60.790,951d
1520250687.00,26.799,60.783,4f8d
1520250687.60,26.796,60.783,964f
1520250688.21,26.803,60.793,79ad
1520250688.81,26.789,60.793,979f
1520250689.42,26.799,60.785,2f4b
1520250690.02,26.792,60.780,a941
1520250690.63,26.799,60.788,fee6
1520250691.36,26.785,60.793,8628
1520250691.83,26.799,60.788,fee6
1520250692.44,26.796,60.780,a62c
1520250693.04,26.799,60.788,fee6
1520250693.64,26.806,60.783,0222
1520250694.25,26.792,60.785,f9e4
1520250694.85,26.803,60.788,fbf7
1520250695.46,26.799,60.788,fee6
1520250696.06,26.799,60.788,fee6
1520250696.66,26.806,60.788,b349
1520250697.27,26.796,60.793,a57e
1520250697.87,26.799,60.783,4f8d
1520250698.48,26.799,60.778,eed8
1520250699.08,26.814,60.790,65f5
1520250699.69,26.806,60.798,8078
1520250700.29,26.799,60.783,4f8d
1520250700.89,26.796,60.780,a62c
1520250701.50,26.803,60.783,4a9c
1520250702.10,26.799,60.788,fee6
1520250702.70,26.789,60.785,c468
1520250703.31,26.821,60.780,333e
1520250703.91,26.803,60.785,2a5a
1520250704.52,26.806,60.788,b349
1520250705.12,26.806,60.793,3113
1520250705.73,26.799,60.788,fee6
1520250706.33,26.803,60.775,3a64
1520250706.93,26.799,60.775,3f75
1520250707.86,26.803,60.795,196b
1520250708.14,26.799,60.790,4cdf
1520250708.75,26.796,60.785,f689
1520250709.35,26.806,60.793,3113
1520250709.96,26.799,60.785,2f4b
1520250710.56,26.789,60.788,15c5
1520250711.16,26.796,60.783,964f
1520250711.77,26.803,60.775,3a64
1520250712.37,26.803,60.785,2a5a
1520250712.97,26.803,60.780,7aff
1520250713.58,26.799,60.788,fee6
1520250714.18,26.803,60.778,ebc9
1520250714.79,26.799,60.788,fee6
1520250715.39,26.799,60.775,3f75
1520250716.00,26.799,60.785,2f4b
1520250716.60,26.803,60.783,4a9c
1520250717.20,26.806,60.790,0170
1520250717.81,26.789,60.780,94cd
1520250718.41,26.796,60.780,a62c
1520250719.02,26.799,60.795,1c7a
1520250719.62,26.799,60.795,1c7a
1520250720.22,26.796,60.783,964f
1520250720.83,26.789,60.785,c468
1520250721.43,26.799,60.778,eed8
1520250722.04,26.806,60.785,62e4
1520250722.64,26.803,60.790,49ce
1520250723.24,26.799,60.795,1c7a
1520250723.85,26.803,60.785,2a5a
1520250724.45,26.796,60.778,371a
1520250725.06,26.799,60.785,2f4b
1520250725.66,26.799,60.780,7fee
1520250726.26,26.803,60.770,6ac1
1520250726.87,26.799,60.785,2f4b
1520250727.47,26.796,60.783,964f
1520250728.08,26.803,60.783,4a9c
1520250728.68,26.796,60.790,951d
1520250729.29,26.796,60.785,f689
1520250729.89,26.796,60.783,964f
1520250730.49,26.799,60.798,cdd7
1520250731.10,26.799,60.783,4f8d
1520250731.70,26.803,60.788,fbf7
1520250732.30,26.806,60.780,3241
1520250732.91,26.799,60.775,3f75
1520250733.51,26.799,60.783,4f8d
1520250734.12,26.803,60.778,ebc9
1520250734.72,26.796,60.783,964f
1520250735.33,26.806,60.783,0222
1520250735.93,26.799,60.780,7fee
1520250736.53,26.799,60.785,2f4b
1520250737.14,26.803,60.798,c8c6
1520250737.74,26.799,60.793,7cbc
1520250738.35,26.796,60.783,964f
1520250738.95,26.799,60.780,7fee
1520250739.55,26.803,60.783,4a9c
1520250740.16,26.799,60.783,4f8d
1520250740.76,26.799,60.778,eed8
1520250741.37,26.789,60.783,a4ae
1520250741.97,26.792,60.780,a941
1520250742.57,26.792,60.778,3877
1520250743.18,26.796,60.778,371a
1520250743.78,26.803,60.785,2a5a
1520250744.39,26.796,60.775,e6b7
1520250744.99,26.806,60.783,0222
1520250745.60,26.796,60.775,e6b7
1520250746.20,26.799,60.780,7fee
1520250746.80,26.796,60.785,f689
1520250747.41,26.806,60.780,3241
1520250748.01,26.799,60.780,7fee
1520250748.62,26.803,60.778,ebc9
1520250749.22,26.803,60.780,7aff
1520250749.82,26.796,60.785,f689
1520250750.43,26.799,60.780,7fee
1520250751.03,26.803,60.785,2a5a
1520250751.63,26.803,60.775,3a64
1520250752.24,26.803,60.785,2a5a
1520250752.84,26.799,60.795,1c7a
1520250753.45,26.799,60.785,2f4b
1520250754.05,26.803,60.783,4a9c
1520250754.66,26.803,60.778,ebc9
1520250755.26,26.796,60.780,a62c
1520250755.86,26.796,60.772,9650
1520250756.47,26.792,60.790,9a70
1520250757.07,26.796,60.788,2724
1520250757.68,26.785,60.783,b519
1520250758.28,26.799,60.775,3f75
1520250758.88,26.796,60.778,371a
1520250759.49,26.803,60.778,ebc9
1520250760.09,26.806,60.783,0222
1520250760.70,26.799,60.778,eed8
1520250761.30,26.803,60.775,3a64
1520250761.90,26.803,60.770,6ac1
1520250762.51,26.792,60.790,9a70
1520250763.11,26.799,60.783,4f8d
1520250763.72,26.792,60.778,3877
1520250764.32,26.789,60.775,d456
1520250764.93,26.799,60.783,4f8d
1520250765.53,26.799,60.793,7cbc
1520250766.13,26.799,60.783,4f8d
1520250766.74,26.806,60.775,72da
1520250767.34,26.806,60.778,a377
1520250767.95,26.799,60.775,3f75
1520250768.55,26.803,60.780,7aff
1520250769.15,26.803,60.775,3a64
1520250769.76,26.799,60.793,7cbc
1520250770.36,26.803,60.783,4a9c
1520250770.96,26.803,60.783,4a9c
1520250771.57,26.799,60.785,2f4b
1520250772.17,26.799,60.780,7fee
1520250772.78,26.796,60.780,a62c
1520250773.38,26.796,60.788,2724
1520250773.99,26.792,60.785,f9e4
1520250774.59,26.806,60.783,0222
1520250775.20,26.806,60.772,023d
1520250775.80,26.789,60.767,c725
1520250776.40,26.799,60.775,3f75
1520250777.01,26.806,60.785,62e4
1520250777.61,26.803,60.783,4a9c
1520250778.21,26.792,60.783,9922
1520250778.82,26.803,60.780,7aff
1520250779.42,26.799,60.767,2c06
1520250780.03,26.803,60.770,6ac1
1520250780.63,26.803,60.783,4a9c
1520250781.23,26.803,60.778,ebc9
1520250781.84,26.799,60.783,4f8d
1520250782.44,26.803,60.778,ebc9
1520250783.05,26.796,60.775,e6b7
1520250783.65,26.799,60.783,4f8d
1520250784.26,26.810,60.780,59a9
1520250784.86,26.796,60.780,a62c
1520250785.47,26.792,60.778,3877
1520250786.07,26.796,60.778,371a
1520250786.67,26.806,60.780,3241
1520250787.28,26.803,60.775,3a64
1520250787.88,26.796,60.778,371a
1520250788.48,26.799,60.780,7fee
1520250789.09,26.799,60.778,eed8
1520250789.69,26.803,60.783,4a9c
1520250790.29,26.792,60.788,2849
1520250790.90,26.799,60.780,7fee
1520250791.50,26.799,60.778,eed8
1520250792.11,26.803,60.775,3a64
1520250792.71,26.796,60.775,e6b7
1520250793.32,26.806,60.785,62e4
1520250793.92,26.803,60.788,fbf7
1520250794.53,26.803,60.778,ebc9
1520250795.13,26.814,60.775,165f
1520250795.73,26.799,60.780,7fee
1520250796.34,26.796,60.772,9650
1520250796.94,26.796,60.783,964f
1520250797.55,26.803,60.778,ebc9
1520250798.15,26.799,60.785,2f4b
1520250798.75,26.806,60.783,0222
1520250799.36,26.803,60.783,4a9c
1520250799.96,26.774,60.775,1a66
1520250800.56,26.799,60.795,1c7a
1520250801.17,26.803,60.790,49ce
1520250801.77,26.792,60.772,993d
1520250802.38,26.803,60.780,7aff
1520250802.98,26.799,60.770,6fd0
1520250803.59,26.792,60.772,993d
1520250804.19,26.792,60.783,9922
1520250804.80,26.799,60.770,6fd0
1520250805.40,26.803,60.785,2a5a
1520250806.00,26.803,60.780,7aff
1520250806.61,26.792,60.770,b97f
1520250807.21,26.806,60.780,3241
1520250807.81,26.799,60.783,4f8d
1520250808.42,26.803,60.772,4a83
1520250809.02,26.803,60.780,7aff
1520250809.62,26.799,60.770,6fd0
1520250810.23,26.796,60.788,2724
1520250810.83,26.796,60.788,2724
1520250811.44,26.789,60.783,a4ae
1520250812.04,26.792,60.790,9a70
1520250812.65,26.796,60.788,2724
1520250813.25,26.806,60.780,3241
1520250813.86,26.799,60.788,fee6
1520250814.46,26.789,60.780,94cd
1520250815.06,26.796,60.755,80d5
1520250815.67,26.792,60.780,a941
1520250816.27,26.803,60.765,0955
1520250816.88,26.806,60.778,a377
1520250817.48,26.810,60.772,69d5
1520250818.08,26.803,60.775,3a64
1520250818.69,26.806,60.780,3241
1520250819.29,26.796,60.770,b612
1520250820.07,26.799,60.775,3f75
1520250820.50,26.803,60.772,4a83
1520250821.10,26.789,60.783,a4ae
1520250821.71,26.799,60.780,7fee
1520250822.31,26.806,60.775,72da
1520250822.92,26.796,60.780,a62c
1520250823.52,26.792,60.780,a941
1520250824.13,26.806,60.775,72da
1520250824.73,26.796,60.790,951d
1520250825.33,26.803,60.778,ebc9
1520250825.94,26.792,60.772,993d
1520250826.54,26.789,60.780,94cd
1520250827.14,26.803,60.767,2917
1520250827.75,26.796,60.775,e6b7
1520250828.35,26.799,60.772,4f92
1520250828.96,26.803,60.778,ebc9
1520250829.56,26.799,60.780,7fee
1520250830.16,26.796,60.780,a62c
1520250830.77,26.799,60.775,3f75
1520250831.37,26.799,60.778,eed8
1520250831.98,26.806,60.783,0222
1520250832.58,26.803,60.783,4a9c
1520250833.19,26.799,60.775,3f75
1520250833.79,26.803,60.780,7aff
1520250834.39,26.796,60.778,371a
1520250835.00,26.796,60.772,9650
1520250835.60,26.799,60.770,6fd0
1520250836.21,26.803,60.780,7aff
1520250836.81,26.799,60.778,eed8
1520250837.41,26.803,60.783,4a9c
1520250838.02,26.796,60.772,9650
1520250838.62,26.803,60.772,4a83
1520250839.22,26.799,60.783,4f8d
1520250839.83,26.799,60.770,6fd0
1520250840.43,26.803,60.780,7aff
1520250841.04,26.796,60.772,9650
1520250841.64,26.789,60.772,a4b1
1520250842.25,26.803,60.775,3a64
1520250842.85,26.799,60.780,7fee
1520250843.46,26.806,60.765,41eb
1520250844.06,26.796,60.775,e6b7
1520250844.66,26.803,60.772,4a83
1520250845.27,26.799,60.778,eed8
1520250845.87,26.806,60.772,023d
1520250846.47,26.799,60.788,fee6
1520250847.08,26.799,60.783,4f8d
1520250847.68,26.803,60.775,3a64
1520250848.29,26.803,60.772,4a83
1520250848.89,26.803,60.778,ebc9
1520250849.49,26.803,60.772,4a83
1520250850.10,26.806,60.778,a377
1520250850.70,26.803,60.788,fbf7
1520250851.31,26.792,60.780,a941
1520250851.91,26.806,60.785,62e4
1520250852.52,26.803,60.778,ebc9
1520250853.14,26.799,60.772,4f92
1520250853.72,26.803,60.785,2a5a
1520250854.33,26.789,60.790,a7fc
1520250854.93,26.803,60.780,7aff
1520250855.54,26.806,60.780,3241
1520250856.14,26.806,60.772,023d
1520250856.74,26.799,60.785,2f4b
1520250857.35,26.796,60.775,e6b7
1520250857.95,26.803,60.783,4a9c
1520250858.55,26.799,60.780,7fee
1520250859.16,26.803,60.770,6ac1
1520250859.76,26.799,60.785,2f4b
1520250860.37,26.796,60.783,964f
1520250860.97,26.799,60.780,7fee
1520250861.58,26.796,60.772,9650
1520250862.18,26.789,60.778,05fb
1520250862.79,26.803,60.780,7aff
1520250863.39,26.792,60.783,9922
1520250863.99,26.796,60.775,e6b7
1520250864.60,26.799,60.778,eed8
1520250865.20,26.806,60.783,0222
1520250865.80,26.803,60.775,3a64
1520250866.41,26.803,60.775,3a64
1520250867.01,26.803,60.780,7aff
1520250867.62,26.806,60.785,62e4
1520250868.22,26.796,60.775,e6b7
1520250868.82,26.803,60.785,2a5a
1520250869.67,26.796,60.783,964f
1520250870.03,26.799,60.775,3f75
1520250870.64,26.803,60.785,2a5a
1520250871.24,26.799,60.780,7fee
1520250871.85,26.799,60.783,4f8d
1520250872.45,26.803,60.785,2a5a
1520250873.06,26.803,60.778,ebc9
1520250873.66,26.785,60.775,c5e1
1520250874.26,26.810,60.788,d8a1
1520250874.87,26.799,60.780,7fee
1520250875.47,26.810,60.783,69ca
1520250876.07,26.792,60.780,a941
1520250876.68,26.799,60.783,4f8d
1520250877.28,26.796,60.775,e6b7
1520250877.88,26.796,60.778,371a
1520250878.49,26.806,60.780,3241
1520250879.09,26.806,60.778,a377
1520250879.70,26.810,60.775,1932
1520250880.30,26.806,60.778,a377
1520250880.91,26.803,60.785,2a5a
1520250881.51,26.806,60.778,a377
1520250882.12,26.792,60.778,3877
1520250882.72,26.806,60.788,b349
1520250883.32,26.803,60.778,ebc9
1520250883.93,26.789,60.783,a4ae
1520250884.53,26.803,60.770,6ac1
1520250885.13,26.799,60.778,eed8
1520250885.74,26.796,60.767,f5c4
1520250886.34,26.803,60.775,3a64
1520250886.95,26.803,60.778,ebc9
1520250887.55,26.792,60.778,3877
1520250888.15,26.799,60.760,5ce1
1520250888.76,26.799,60.770,6fd0
1520250889.36,26.806,60.775,72da
1520250889.97,26.799,60.770,6fd0
1520250890.57,26.799,60.767,2c06
1520250891.18,26.803,60.770,6ac1
1520250891.78,26.799,60.775,3f75
