isothermal_c,isothermal_rh,crc16
1520225054.58,25.505,70.490,5851
1520225055.19,25.527,70.482,02e3
1520225055.79,25.541,70.469,4ac4
1520225056.40,25.555,70.462,1fe1
1520225057.00,25.566,70.467,aa75
1520225057.60,25.584,70.439,489f
1520225058.21,25.591,70.436,1aed
1520225058.81,25.619,70.426,af36
1520225059.41,25.623,70.406,756c
1520225060.02,25.645,70.401,dfc8
1520225060.62,25.652,70.393,ecb9
1520225061.23,25.670,70.383,9649
1520225061.83,25.684,70.378,a025
1520225062.44,25.702,70.360,d46d
1520225063.04,25.705,70.342,5555
1520225063.65,25.723,70.332,8a6e
1520225064.25,25.741,70.332,5f40
1520225064.85,25.759,70.312,ccdb
1520225065.46,25.770,70.304,0042
1520225066.06,25.795,70.296,9661
1520225066.66,25.791,70.284,8a7f
1520225067.27,25.823,70.276,67af
1520225067.87,25.830,70.261,072f
1520225068.48,25.852,70.246,c484
1520225069.08,25.863,70.246,ae13
1520225069.68,25.888,70.243,5b6e
1520225070.29,25.888,70.218,15f0
1520225070.89,25.920,70.207,4929
1520225071.50,25.923,70.197,6294
1520225072.10,25.938,70.202,ec75
1520225072.71,25.952,70.192,c449
1520225073.31,25.963,70.174,ed17
1520225073.91,25.984,70.169,bbe4
1520225074.52,25.998,70.152,a548
1520225075.12,26.009,70.136,eaf4
1520225075.73,26.009,70.129,282a
1520225076.33,26.027,70.113,8445
1520225076.93,26.056,70.106,11a9
1520225077.54,26.074,70.098,340e
1520225078.14,26.084,70.090,2d52
1520225078.74,26.095,70.085,e236
1520225079.35,26.106,70.073,f722
1520225079.95,26.120,70.060,b2dc
1520225080.56,26.141,70.057,8a33
1520225081.16,26.152,70.045,ba16
1520225081.77,26.166,70.037,21ea
1520225082.37,26.188,70.022,af18
1520225082.98,26.188,70.009,7811
1520225083.58,26.217,69.994,cab8
1520225084.18,26.224,69.994,2f89
1520225084.79,26.234,69.984,f79b
1520225085.39,26.256,69.974,328b
1520225085.99,26.263,69.971,07d4
1520225086.60,26.284,69.951,d5d9
1520225087.20,26.292,69.943,ad42
1520225087.81,26.309,69.946,86d1
1520225088.41,26.331,69.925,2f8a
1520225089.01,26.338,69.910,7375
1520225089.62,26.352,69.892,265a
1520225090.22,26.374,69.884,3301
1520225090.83,26.385,69.882,8c40
1520225091.43,26.395,69.879,c636
1520225092.04,26.413,69.867,a107
1520225092.64,26.420,69.854,2106
1520225093.25,26.438,69.849,3663
1520225093.85,26.463,69.846,66ef
1520225094.45,26.474,69.829,119d
1520225095.06,26.477,69.821,58e0
1520225095.66,26.503,69.816,acd7
1520225096.26,26.506,69.803,87fd
1520225096.87,26.513,69.790,82aa
1520225097.47,26.524,69.795,3853
1520225098.08,26.545,69.783,76ff
1520225098.68,26.567,69.775,4fc6
1520225099.28,26.588,69.762,a6a5
1520225099.89,26.603,69.752,bd69
1520225100.49,26.606,69.734,3fb7
1520225101.10,26.620,69.727,7a49
1520225101.70,26.638,69.712,8a46
1520225102.31,26.653,69.719,b70a
1520225102.91,26.674,69.706,74ab
1520225103.51,26.692,69.694,2afd
1520225104.12,26.699,69.681,9fc6
1520225104.72,26.703,69.686,d3c4
1520225105.33,26.721,69.673,da9e
1520225105.93,26.742,69.663,7b52
1520225106.53,26.742,69.648,ac5b
1520225107.14,26.763,69.633,0513
1520225107.74,26.789,69.630,d77b
1520225108.35,26.796,69.615,d35d
1520225108.95,26.817,69.610,bb65
1520225109.56,26.814,69.597,d30e
1520225110.16,26.831,69.582,3e43
1520225110.76,26.853,69.590,f81e
1520225111.37,26.867,69.579,6811
1520225111.97,26.871,69.562,81a3
1520225112.58,26.899,69.559,0836
1520225113.18,26.896,69.551,50fc
1520225113.78,26.917,69.549,e3ac
1520225114.39,26.939,69.539,224d
1520225114.99,26.949,69.526,5138
1520225115.59,26.960,69.523,9ef3
1520225116.20,26.964,69.500,c79f
1520225116.80,26.992,69.506,bfc6
1520225117.41,26.992,69.493,62cb
1520225118.01,27.024,69.480,c392
1520225118.62,27.024,69.483,f3f1
1520225119.22,27.032,69.462,ab37
1520225119.83,27.057,69.457,bcf7
1520225120.63,27.067,69.457,91b3
1520225121.03,27.089,69.442,1f41
1520225121.64,27.089,69.439,37bd
1520225122.24,27.100,69.424,ca92
1520225122.84,27.114,69.419,aa22
1520225123.45,27.139,69.406,f8ff
1520225124.05,27.157,69.417,1f76
1520225124.66,27.157,69.389,c1b0
1520225125.26,27.171,69.396,45c2
1520225125.86,27.192,69.378,3c01
1520225126.47,27.207,69.376,e662
1520225127.07,27.214,69.358,4298
1520225127.68,27.239,69.350,5393
1520225128.28,27.243,69.345,10d0
1520225128.89,27.260,69.350,7d56
1520225129.49,27.275,69.340,edfa
1520225130.10,27.289,69.320,cebf
1520225130.70,27.296,69.328,7d56
1520225131.30,27.310,69.305,0ce8
1520225131.91,27.318,69.294,8fbb
1520225132.51,27.350,69.297,3ded
1520225133.11,27.353,69.279,3759
1520225133.72,27.368,69.279,ccb2
1520225134.32,27.375,69.261,c3cc
1520225134.92,27.403,69.254,eba0
1520225135.53,27.414,69.259,1636
1520225136.13,27.421,69.246,b112
1520225136.74,27.421,69.246,b112
1520225137.34,27.446,69.226,8624
1520225137.95,27.457,69.226,2ad4
1520225138.55,27.479,69.205,24a3
1520225139.16,27.493,69.200,960d
1520225139.76,27.496,69.200,deb3
1520225140.36,27.518,69.195,b575
1520225140.97,27.525,69.190,9ef0
1520225141.57,27.539,69.183,6736
1520225142.17,27.550,69.183,64b7
