Timestamp,Resistance,PPM,Oven (C),Ambient (C),"Savitzky-Golay (151,2)"
1518056388.64,119.97797,0.42,24.999,19.721,-0.222584472164
1518056389.64,119.97788,-0.33,24.999,19.699,-0.23310528834
1518056390.64,119.97788,-0.33,25.004,19.721,-0.243559042711
1518056391.64,119.97788,-0.33,24.999,19.721,-0.244334414863
1518056392.64,119.97788,-0.33,24.999,19.689,-0.2499998257
1518056393.64,119.97805,1.08,24.996,19.699,-0.256512202285
1518056394.64,119.97805,1.08,24.996,19.71,-0.263864311181
1518056395.64,119.97805,1.08,24.994,19.689,-0.282203078307
1518056396.64,119.97779,-1.08,24.999,19.689,-0.300218475941
1518056397.64,119.97779,-1.08,24.999,19.689,-0.31791268283
1518056398.64,119.97779,-1.08,25.002,19.699,-0.322073451631
1518056399.64,119.97783,-0.75,24.998,19.678,-0.325912376062
1518056400.64,119.97783,-0.75,25.0,19.721,-0.329420043941
1518056401.64,119.97783,-0.75,24.997,19.667,-0.327782472249
1518056402.65,119.97783,-0.75,24.999,19.689,-0.337207945626
1518056403.64,119.97796,0.33,24.997,19.678,-0.347314233574
1518056404.64,119.97796,0.33,25.0,19.721,-0.358096978602
1518056405.64,119.97796,0.33,24.997,19.678,-0.380137644462
1518056406.64,119.97781,-0.92,24.999,19.689,-0.402362065765
1518056407.64,119.97781,-0.92,24.997,19.71,-0.424775384353
1518056408.64,119.97781,-0.92,24.998,19.699,-0.445144951976
1518056409.65,119.97779,-1.08,24.997,19.689,-0.466205007804
1518056410.65,119.97779,-1.08,25.001,19.689,-0.487958514932
1518056411.64,119.97779,-1.08,25.0,19.71,-0.510408436454
1518056412.64,119.97779,-1.08,25.003,19.678,-0.536510511579
1518056413.64,119.97784,-0.67,24.998,19.678,-0.561074784152
1518056414.64,119.97784,-0.67,24.999,19.678,-0.584107790412
1518056415.65,119.97784,-0.67,24.997,19.699,-0.594038907176
1518056416.65,119.97777,-1.25,24.997,19.667,-0.604131948348
1518056417.65,119.97777,-1.25,24.996,19.689,-0.614382556436
1518056418.65,119.97777,-1.25,24.999,19.678,-0.616101273347
1518056419.64,119.97794,0.17,24.998,19.699,-0.618678111184
1518056420.64,119.97794,0.17,25.001,19.699,-0.622100781821
1518056421.64,119.97794,0.17,25.001,19.678,-0.62635699713
1518056422.65,119.97794,0.17,25.003,19.678,-0.643116905414
1518056423.65,119.97778,-1.17,24.998,19.678,-0.659216217889
1518056424.65,119.97778,-1.17,24.998,19.699,-0.674653540158
1518056425.65,119.97778,-1.17,24.995,19.656,-0.698994273384
1518056426.65,119.97784,-0.67,24.998,19.656,-0.723724348533
1518056427.65,119.97784,-0.67,24.996,19.678,-0.748850301844
1518056428.65,119.97784,-0.67,24.999,19.667,-0.749575684846
1518056429.65,119.97784,-0.67,24.998,19.678,-0.748984843771
1518056430.65,119.97789,-0.25,24.999,19.667,-0.747063311747
1518056431.65,119.97789,-0.25,24.996,19.667,-0.743796621898
1518056432.65,119.97789,-0.25,24.998,19.678,-0.753646950758
1518056433.65,119.97805,1.08,24.994,19.667,-0.763063229826
1518056434.65,119.97805,1.08,24.999,19.678,-0.772043280355
1518056435.65,119.97805,1.08,24.997,19.678,-0.782615872253
1518056436.65,119.97772,-1.67,25.002,19.699,-0.793630967477
1518056437.65,119.97772,-1.67,25.001,19.667,-0.80508778168
1518056438.65,119.97772,-1.67,25.001,19.656,-0.818619084596
1518056439.65,119.97772,-1.67,24.997,19.646,-0.815436738365
1518056440.65,119.97782,-0.83,24.997,19.678,-0.811478148484
1518056441.65,119.97782,-0.83,24.994,19.667,-0.806729545279
1518056442.65,119.97782,-0.83,24.997,19.667,-0.810467602482
1518056443.65,119.97783,-0.75,24.997,19.656,-0.813889523631
1518056444.65,119.97783,-0.75,25.001,19.667,-0.816989469685
1518056445.65,119.97783,-0.75,25.0,19.656,-0.825058551622
1518056446.65,119.97765,-2.25,25.002,19.667,-0.831864701612
1518056447.65,119.97765,-2.25,24.997,19.667,-0.837407135307
1518056448.65,119.97765,-2.25,24.998,19.656,-0.831307195353
1518056449.65,119.97765,-2.25,24.993,19.667,-0.828955369694
1518056450.65,119.97778,-1.17,24.997,19.646,-0.826309282592
1518056451.65,119.97778,-1.17,24.996,19.624,-0.823362397806
1518056452.65,119.97778,-1.17,25.002,19.656,-0.821423034924
1518056453.65,119.97787,-0.42,25.0,19.635,-0.820210109556
1518056454.65,119.97787,-0.42,25.003,19.656,-0.819717782664
1518056455.65,119.97787,-0.42,24.997,19.624,-0.832270340556
1518056456.65,119.97767,-2.08,24.997,19.646,-0.843569552983
1518056457.66,119.97767,-2.08,24.992,19.667,-0.853621258984
1518056458.65,119.97767,-2.08,24.996,19.646,-0.849555047763
1518056459.65,119.97767,-2.08,24.995,19.646,-0.849435216729
1518056460.65,119.97803,0.92,25.0,19.646,-0.849223747635
1518056461.65,119.97803,0.92,24.997,19.656,-0.848918461736
1518056462.65,119.97803,0.92,25.002,19.646,-0.847099653231
1518056463.65,119.97786,-0.5,24.999,19.646,-0.844135695792
