si7021_c,setpoint,adc,pwm
24.526,231,372.967,0.00
24.504,231,372.600,0.00
24.504,231,372.597,0.00
24.526,231,372.377,0.00
24.526,231,372.025,0.00
24.536,231,371.753,0.00
24.547,231,371.645,0.00
24.536,231,371.472,0.00
24.526,231,370.968,0.00
24.526,231,370.591,0.00
24.536,231,370.414,0.00
24.526,231,370.086,0.00
24.504,231,370.000,0.00
24.493,231,369.799,0.00
24.504,231,369.375,0.00
24.493,231,368.977,0.00
24.483,231,368.942,0.00
24.504,231,368.543,0.00
24.472,231,368.419,0.00
24.493,231,367.923,0.00
24.483,231,367.734,0.00
24.483,231,367.456,0.00
24.472,231,367.235,0.00
24.461,231,367.119,0.00
24.483,231,367.158,0.00
24.483,231,366.988,0.00
24.493,231,366.663,0.00
24.483,231,366.655,0.00
24.504,231,366.522,0.00
24.483,231,366.224,0.00
24.493,231,366.124,0.00
24.493,231,365.680,0.00
24.483,231,365.569,0.00
24.483,231,365.412,0.00
24.493,231,365.102,0.00
24.504,231,364.739,0.00
24.472,231,364.578,0.00
24.461,231,364.484,0.00
24.461,231,364.387,0.00
24.461,231,364.062,0.00
24.440,231,363.865,0.00
24.450,231,363.644,0.00
24.450,231,363.663,0.00
24.429,231,363.690,0.00
24.440,231,363.228,0.00
24.418,231,363.060,0.00
24.429,231,362.768,0.00
24.429,231,362.557,0.00
24.440,231,362.427,0.00
24.440,231,362.537,0.00
24.429,231,362.089,0.00
24.429,231,361.747,0.00
24.408,231,361.521,0.00
24.418,231,361.126,0.00
24.418,231,360.991,0.00
24.408,231,360.916,0.00
24.408,231,360.723,0.00
24.386,231,360.231,0.00
24.397,231,359.907,0.00
24.408,231,359.693,0.00
24.386,231,359.449,0.00
24.397,231,358.888,0.00
24.397,231,358.753,0.00
24.397,231,358.697,0.00
24.408,231,358.435,0.00
24.386,231,358.130,0.00
24.375,231,358.131,0.00
24.386,231,357.966,0.00
24.386,231,357.680,0.00
24.365,231,357.238,0.00
24.354,231,357.049,0.00
24.375,231,356.889,0.00
24.386,231,356.554,0.00
24.343,231,356.264,0.00
24.365,231,355.803,0.00
