volts,ppm,temp_c,ambient_c
1.0003407,-7.78,25.0,21.544
1.0003407,-7.78,25.004,21.576
1.0003407,-7.78,25.0,21.555
1.0003407,-7.78,25.008,21.555
1.0003407,-7.78,25.001,21.565
1.0003407,-7.78,25.008,21.555
1.0003407,-7.78,25.004,21.565
1.0003407,-7.78,25.004,21.555
1.0003407,-7.78,25.003,21.555
1.0003407,-7.78,24.999,21.576
1.0003407,-7.78,25.0,21.544
1.0003403,-8.18,25.0,21.544
1.0003403,-8.18,24.997,21.565
1.0003403,-8.18,24.999,21.565
1.0003403,-8.18,25.0,21.576
1.0003403,-8.18,25.003,21.565
1.0003403,-8.18,24.995,21.555
1.0003403,-8.18,24.997,21.565
1.0003403,-8.18,24.993,21.544
1.0003403,-8.18,25.003,21.576
1.0003403,-8.18,24.99,21.576
1.0003403,-8.18,24.999,21.565
1.0003403,-8.18,24.993,21.544
1.0003403,-8.18,24.999,21.555
1.0003379,-10.58,24.996,21.555
1.0003379,-10.58,25.0,21.555
1.0003379,-10.58,24.996,21.544
1.0003379,-10.58,24.999,21.544
1.0003379,-10.58,24.997,21.544
1.0003379,-10.58,24.999,21.544
1.0003379,-10.58,25.001,21.565
1.0003379,-10.58,25.001,21.555
1.0003379,-10.58,24.996,21.565
1.0003379,-10.58,25.0,21.576
1.0003379,-10.58,25.0,21.555
1.0003379,-10.58,24.999,21.565
1.0003379,-10.58,24.999,21.587
1.0003379,-10.58,24.996,21.565
1.0003411,-7.38,24.997,21.565
1.0003411,-7.38,25.0,21.565
1.0003411,-7.38,25.001,21.555
1.0003411,-7.38,25.001,21.565
1.0003411,-7.38,25.0,21.565
1.0003411,-7.38,25.003,21.576
1.0003411,-7.38,25.0,21.565
1.0003411,-7.38,25.003,21.576
1.0003411,-7.38,24.997,21.565
1.0003411,-7.38,25.007,21.576
1.0003411,-7.38,25.0,21.576
1.0003411,-7.38,25.001,21.587
1.0003411,-7.38,24.999,21.565
1.0003412,-7.28,25.003,21.576
1.0003412,-7.28,25.0,21.565
1.0003412,-7.28,25.005,21.555
1.0003412,-7.28,25.001,21.576
1.0003412,-7.28,24.996,21.576
1.0003412,-7.28,24.993,21.576
1.0003412,-7.28,24.993,21.555
1.0003412,-7.28,24.997,21.565
1.0003412,-7.28,25.004,21.565
1.0003412,-7.28,25.0,21.555
1.0003412,-7.28,25.001,21.565
1.0003412,-7.28,24.999,21.555
1.0003412,-7.28,25.003,21.565
1.0003412,-7.28,24.996,21.576
1.0003443,-4.18,25.0,21.565
1.0003443,-4.18,24.997,21.576
1.0003443,-4.18,25.0,21.565
1.0003443,-4.18,24.995,21.576
1.0003443,-4.18,25.001,21.576
1.0003443,-4.18,24.999,21.576
1.0003443,-4.18,25.001,21.565
1.0003443,-4.18,24.997,21.576
1.0003443,-4.18,24.999,21.576
1.0003443,-4.18,25.0,21.576
1.0003443,-4.18,25.001,21.576
1.0003443,-4.18,25.001,21.576
1.0003443,-4.18,24.997,21.565
1.0003451,-3.38,25.001,21.576
1.0003451,-3.38,25.0,21.576
1.0003451,-3.38,24.999,21.576
1.0003451,-3.38,25.001,21.587
1.0003451,-3.38,25.008,21.555
1.0003451,-3.38,24.999,21.565
1.0003451,-3.38,24.996,21.555
1.0003451,-3.38,24.999,21.565
1.0003451,-3.38,24.997,21.565
1.0003451,-3.38,25.005,21.576
1.0003451,-3.38,24.988,21.587
1.0003451,-3.38,25.001,21.565
1.0003451,-3.38,24.995,21.576
1.0003468,-1.68,24.996,21.565
