si7021_c,si7021_h,set,input,output
27.775,48.329,400,652.078,0.00
27.786,48.337,400,651.969,0.00
27.775,48.329,400,651.883,0.00
27.786,48.337,400,651.709,0.00
27.775,48.337,400,651.809,0.00
27.775,48.337,400,651.250,0.00
27.765,48.329,400,651.441,0.00
27.775,48.329,400,650.850,0.00
27.765,48.337,400,650.988,0.00
27.786,48.337,400,650.441,0.00
27.765,48.352,400,650.660,0.00
27.765,48.344,400,650.590,0.00
27.786,48.337,400,650.605,0.00
27.765,48.359,400,650.475,0.00
27.765,48.352,400,649.988,0.00
27.765,48.359,400,649.857,0.00
27.765,48.375,400,649.986,0.00
27.743,48.375,400,650.088,0.00
27.765,48.352,400,649.742,0.00
27.754,48.382,400,649.723,0.00
27.754,48.367,400,649.383,0.00
27.765,48.367,400,649.072,0.00
27.754,48.367,400,648.793,0.00
27.743,48.367,400,648.725,0.00
27.743,48.375,400,648.611,0.00
27.743,48.359,400,648.551,0.00
27.743,48.359,400,648.367,0.00
27.743,48.359,400,648.580,0.00
27.754,48.375,400,648.289,0.00
27.754,48.375,400,648.061,0.00
27.743,48.382,400,648.270,0.00
27.743,48.398,400,647.910,0.00
27.732,48.367,400,648.061,0.00
27.754,48.382,400,647.758,0.00
27.743,48.375,400,647.391,0.00
27.722,48.390,400,647.227,0.00
27.722,48.398,400,647.266,0.00
27.743,48.405,400,646.941,0.00
27.732,48.390,400,647.414,0.00
27.743,48.420,400,646.994,0.00
27.722,48.405,400,646.609,0.00
27.711,48.413,400,646.330,0.00
27.722,48.413,400,646.301,0.00
27.722,48.398,400,646.631,0.00
27.732,48.420,400,646.510,0.00
27.732,48.413,400,645.992,0.00
27.711,48.405,400,645.756,0.00
27.711,48.428,400,646.041,0.00
27.711,48.420,400,645.838,0.00
27.722,48.413,400,645.592,0.00
27.711,48.413,400,645.770,0.00
27.722,48.428,400,645.080,0.00
27.722,48.413,400,645.041,0.00
27.711,48.420,400,645.445,0.00
27.711,48.436,400,644.676,0.00
27.700,48.413,400,644.898,0.00
27.722,48.436,400,644.965,0.00
27.689,48.451,400,644.484,0.00
27.711,48.428,400,644.566,0.00
27.700,48.436,400,644.770,0.00
27.711,48.436,400,644.467,0.00
27.700,48.451,400,643.953,0.00
27.711,48.436,400,644.090,0.00
27.700,48.436,400,643.598,0.00
27.679,48.436,400,644.061,0.00
27.711,48.451,400,643.949,0.00
27.700,48.443,400,643.893,0.00
27.700,48.459,400,643.666,0.00
27.689,48.459,400,643.207,0.00
27.700,48.459,400,643.217,0.00
27.700,48.474,400,643.318,0.00
27.689,48.459,400,642.752,0.00
27.679,48.436,400,642.773,0.00
27.689,48.459,400,642.867,0.00
27.668,48.474,400,642.842,0.00
27.679,48.466,400,642.187,0.00
27.668,48.482,400,642.420,0.00
27.679,48.482,400,642.223,0.00
27.679,48.474,400,641.953,0.00
27.689,48.474,400,642.209,0.00
27.689,48.482,400,642.037,0.00
27.668,48.466,400,641.762,0.00
27.689,48.482,400,642.061,0.00
27.689,48.489,400,641.848,0.00
27.668,48.482,400,641.842,0.00
27.668,48.482,400,641.889,0.00
27.679,48.489,400,641.561,0.00
27.647,48.497,400,641.572,0.00
27.657,48.512,400,641.479,0.00
27.657,48.497,400,640.895,0.00
27.657,48.512,400,640.943,0.00
27.657,48.482,400,641.174,0.00
27.657,48.512,400,641.002,0.00
27.668,48.497,400,640.586,0.00
27.636,48.504,400,640.488,0.00
27.657,48.504,400,640.514,0.00
27.647,48.497,400,640.258,0.00
27.657,48.504,400,640.281,0.00
27.636,48.504,400,640.023,0.00
27.657,48.520,400,639.592,0.00
27.647,48.543,400,639.703,0.00
27.657,48.520,400,640.086,0.00
27.657,48.504,400,639.617,0.00
27.647,48.527,400,639.584,0.00
27.647,48.535,400,639.443,0.00
27.657,48.527,400,639.389,0.00
27.636,48.527,400,639.449,0.00
27.647,48.535,400,639.037,0.00
27.647,48.543,400,639.037,0.00
