Date,Volts,Farenheit
2017-04-29 10:37:05.525412,1.096,96.25
2017-04-29 10:37:05.875214,1.097,96.34
2017-04-29 10:37:06.225362,1.098,96.43
2017-04-29 10:37:06.575223,1.100,96.62
2017-04-29 10:37:06.925408,1.101,96.71
2017-04-29 10:37:07.275640,1.102,96.80
2017-04-29 10:37:07.625039,1.103,96.89
2017-04-29 10:37:07.975278,1.104,96.98
2017-04-29 10:37:08.325421,1.105,97.08
2017-04-29 10:37:08.675362,1.106,97.17
2017-04-29 10:37:09.025530,1.107,97.26
2017-04-29 10:37:09.375227,1.108,97.35
2017-04-29 10:37:09.725564,1.108,97.35
2017-04-29 10:37:10.075639,1.108,97.35
2017-04-29 10:37:10.425635,1.108,97.35
2017-04-29 10:37:10.775304,1.108,97.35
2017-04-29 10:37:11.125467,1.108,97.35
2017-04-29 10:37:11.475287,1.108,97.35
2017-04-29 10:37:11.825304,1.108,97.35
2017-04-29 10:37:12.175465,1.108,97.35
2017-04-29 10:37:12.525602,1.108,97.35
2017-04-29 10:37:12.876134,1.108,97.35
2017-04-29 10:37:13.225302,1.107,97.26
2017-04-29 10:37:13.575141,1.107,97.26
2017-04-29 10:37:13.925694,1.107,97.26
2017-04-29 10:37:14.275426,1.107,97.26
2017-04-29 10:37:14.625303,1.107,97.26
2017-04-29 10:37:14.975426,1.106,97.17
2017-04-29 10:37:15.325328,1.106,97.17
2017-04-29 10:37:15.675528,1.106,97.17
2017-04-29 10:37:16.025683,1.106,97.17
2017-04-29 10:37:16.375303,1.106,97.17
2017-04-29 10:37:16.725454,1.106,97.17
2017-04-29 10:37:17.075635,1.105,97.08
2017-04-29 10:37:17.425422,1.105,97.08
2017-04-29 10:37:17.775418,1.105,97.08
2017-04-29 10:37:18.125469,1.105,97.08
2017-04-29 10:37:18.475330,1.104,96.98
2017-04-29 10:37:18.825405,1.104,96.98
2017-04-29 10:37:19.175389,1.104,96.98
2017-04-29 10:37:19.525517,1.104,96.98
2017-04-29 10:37:19.875424,1.104,96.98
2017-04-29 10:37:20.225179,1.103,96.89
2017-04-29 10:37:20.575424,1.103,96.89
2017-04-29 10:37:20.925629,1.103,96.89
2017-04-29 10:37:21.275735,1.102,96.80
2017-04-29 10:37:21.625680,1.102,96.80
2017-04-29 10:37:21.975762,1.102,96.80
2017-04-29 10:37:22.325716,1.102,96.80
2017-04-29 10:37:22.675467,1.101,96.71
2017-04-29 10:37:23.025360,1.101,96.71
2017-04-29 10:37:23.375471,1.101,96.71
2017-04-29 10:37:23.725394,1.100,96.62
2017-04-29 10:37:24.075514,1.100,96.62
2017-04-29 10:37:24.425347,1.100,96.62
2017-04-29 10:37:24.775217,1.099,96.52
2017-04-29 10:37:25.125360,1.099,96.52
2017-04-29 10:37:25.475642,1.099,96.52
2017-04-29 10:37:25.825417,1.099,96.52
2017-04-29 10:37:26.175306,1.098,96.43
2017-04-29 10:37:26.525392,1.098,96.43
2017-04-29 10:37:26.875603,1.098,96.43
2017-04-29 10:37:27.225528,1.098,96.43
2017-04-29 10:37:27.575646,1.097,96.34
2017-04-29 10:37:27.925542,1.097,96.34
2017-04-29 10:37:28.275304,1.097,96.34
2017-04-29 10:37:28.625231,1.096,96.25
2017-04-29 10:37:28.975096,1.096,96.25
2017-04-29 10:37:29.325493,1.096,96.25
2017-04-29 10:37:29.675378,1.095,96.15
2017-04-29 10:37:30.025323,1.095,96.15
2017-04-29 10:37:30.375400,1.094,96.06
2017-04-29 10:37:30.725235,1.094,96.06
2017-04-29 10:37:31.075464,1.094,96.06
2017-04-29 10:37:31.425253,1.094,96.06
2017-04-29 10:37:31.775754,1.093,95.97
2017-04-29 10:37:32.126057,1.093,95.97
2017-04-29 10:37:32.475788,1.092,95.88
2017-04-29 10:37:32.825701,1.092,95.88
2017-04-29 10:37:33.175829,1.092,95.88
2017-04-29 10:37:33.525736,1.092,95.88
2017-04-29 10:37:33.875391,1.092,95.88
2017-04-29 10:37:34.225778,1.092,95.88
2017-04-29 10:37:34.575542,1.092,95.88
2017-04-29 10:37:34.925687,1.093,95.97
2017-04-29 10:37:35.275196,1.094,96.06
2017-04-29 10:37:35.625506,1.095,96.15
2017-04-29 10:37:35.975236,1.096,96.25
2017-04-29 10:37:36.325519,1.098,96.43
2017-04-29 10:37:36.675297,1.099,96.52
2017-04-29 10:37:37.025617,1.100,96.62
2017-04-29 10:37:37.375645,1.101,96.71
2017-04-29 10:37:37.725646,1.102,96.80
2017-04-29 10:37:38.075381,1.104,96.98
2017-04-29 10:37:38.425566,1.105,97.08
2017-04-29 10:37:38.775413,1.106,97.17
2017-04-29 10:37:39.125586,1.106,97.17
2017-04-29 10:37:39.475342,1.107,97.26
2017-04-29 10:37:39.825607,1.108,97.35
2017-04-29 10:37:40.176111,1.108,97.35
2017-04-29 10:37:40.525694,1.108,97.35
2017-04-29 10:37:40.875422,1.108,97.35
2017-04-29 10:37:41.225571,1.108,97.35
2017-04-29 10:37:41.575427,1.108,97.35
2017-04-29 10:37:41.925607,1.108,97.35
2017-04-29 10:37:42.275500,1.108,97.35
2017-04-29 10:37:42.625643,1.108,97.35
2017-04-29 10:37:42.975528,1.108,97.35
2017-04-29 10:37:43.325309,1.108,97.35
2017-04-29 10:37:43.675136,1.107,97.26
2017-04-29 10:37:44.025347,1.107,97.26
2017-04-29 10:37:44.375280,1.107,97.26
2017-04-29 10:37:44.725224,1.107,97.26
2017-04-29 10:37:45.075334,1.107,97.26
2017-04-29 10:37:45.425801,1.106,97.17
2017-04-29 10:37:45.775500,1.106,97.17
2017-04-29 10:37:46.125467,1.106,97.17
2017-04-29 10:37:46.475176,1.106,97.17
2017-04-29 10:37:46.825509,1.106,97.17
2017-04-29 10:37:47.175213,1.106,97.17
2017-04-29 10:37:47.525553,1.105,97.08
2017-04-29 10:37:47.875258,1.105,97.08
2017-04-29 10:37:48.225477,1.105,97.08
2017-04-29 10:37:48.575677,1.105,97.08
2017-04-29 10:37:48.925506,1.104,96.98
2017-04-29 10:37:49.275333,1.104,96.98
2017-04-29 10:37:49.625316,1.104,96.98
2017-04-29 10:37:49.975315,1.104,96.98
2017-04-29 10:37:50.325542,1.104,96.98
2017-04-29 10:37:50.675365,1.103,96.89
2017-04-29 10:37:51.025391,1.103,96.89
2017-04-29 10:37:51.375269,1.103,96.89
2017-04-29 10:37:51.725673,1.102,96.80
2017-04-29 10:37:52.075339,1.102,96.80
2017-04-29 10:37:52.425698,1.102,96.80
2017-04-29 10:37:52.775407,1.102,96.80
2017-04-29 10:37:53.125403,1.102,96.80
2017-04-29 10:37:53.475520,1.101,96.71
2017-04-29 10:37:53.825418,1.101,96.71
2017-04-29 10:37:54.175585,1.101,96.71
2017-04-29 10:37:54.525327,1.100,96.62
2017-04-29 10:37:54.875618,1.100,96.62
2017-04-29 10:37:55.225365,1.100,96.62
2017-04-29 10:37:55.575291,1.099,96.52
2017-04-29 10:37:55.925383,1.099,96.52
2017-04-29 10:37:56.275762,1.099,96.52
2017-04-29 10:37:56.625425,1.099,96.52
