volts,ppm,temp_c,ambient_c
1517900017.45,69997.02,-0.47,25.001,21.362
1517900018.45,69997.02,-0.47,25.001,21.351
1517900019.45,69997.043,-0.14,24.998,21.34
1517900020.45,69997.043,-0.14,25.0,21.362
1517900021.45,69997.043,-0.14,24.999,21.329
1517900022.45,69997.043,-0.14,25.001,21.329
1517900023.45,69997.056,0.05,25.001,21.34
1517900024.45,69997.056,0.05,25.005,21.34
1517900025.45,69997.056,0.05,25.002,21.329
1517900026.45,69997.033,-0.28,25.004,21.351
1517900027.45,69997.033,-0.28,25.002,21.34
1517900028.45,69997.033,-0.28,25.002,21.34
1517900029.45,69997.023,-0.42,25.0,21.329
1517900030.45,69997.023,-0.42,25.002,21.34
1517900031.45,69997.023,-0.42,24.998,21.362
1517900032.45,69997.023,-0.42,25.0,21.351
1517900033.45,69997.053,0.01,24.998,21.34
1517900034.45,69997.053,0.01,25.002,21.329
1517900035.45,69997.053,0.01,24.999,21.329
1517900036.45,69997.033,-0.28,25.003,21.351
1517900037.45,69997.033,-0.28,25.002,21.34
1517900038.45,69997.033,-0.28,25.003,21.319
1517900039.45,69997.043,-0.14,25.0,21.329
1517900040.45,69997.043,-0.14,25.001,21.329
1517900041.45,69997.043,-0.14,24.999,21.34
1517900042.45,69997.043,-0.14,25.001,21.351
1517900043.45,69997.051,-0.02,25.002,21.34
1517900044.45,69997.051,-0.02,25.005,21.329
1517900045.45,69997.051,-0.02,25.003,21.34
1517900046.45,69997.023,-0.42,25.003,21.329
1517900047.45,69997.023,-0.42,24.999,21.351
1517900048.45,69997.023,-0.42,25.0,21.362
1517900049.45,69996.995,-0.82,24.998,21.329
1517900050.45,69996.995,-0.82,25.003,21.34
1517900051.45,69996.995,-0.82,25.001,21.351
1517900052.45,69996.995,-0.82,25.003,21.351
1517900053.46,69997.038,-0.21,25.002,21.329
1517900054.46,69997.038,-0.21,25.003,21.329
1517900055.46,69997.038,-0.21,24.999,21.34
1517900056.45,69997.002,-0.72,25.0,21.329
1517900057.45,69997.002,-0.72,24.996,21.34
1517900058.45,69997.002,-0.72,24.999,21.329
1517900059.46,69997.068,0.22,24.998,21.329
1517900060.46,69997.068,0.22,25.001,21.351
1517900061.46,69997.068,0.22,25.0,21.329
1517900062.46,69997.068,0.22,25.004,21.329
1517900063.46,69997.068,0.22,25.001,21.329
1517900064.45,69997.068,0.22,25.003,21.329
1517900065.46,69997.068,0.22,24.998,21.329
1517900066.46,69997.03,-0.32,24.999,21.329
1517900067.46,69997.03,-0.32,24.995,21.34
1517900068.46,69997.03,-0.32,24.999,21.319
1517900069.46,69997.002,-0.72,24.999,21.319
1517900070.46,69997.002,-0.72,25.003,21.329
1517900071.46,69997.002,-0.72,25.002,21.319
1517900072.46,69997.002,-0.72,25.004,21.297
1517900073.46,69997.035,-0.25,25.002,21.308
1517900074.46,69997.035,-0.25,25.001,21.297
1517900075.46,69997.035,-0.25,24.997,21.329
1517900076.46,69997.035,-0.25,24.998,21.297
1517900077.46,69997.035,-0.25,24.994,21.308
1517900078.46,69997.035,-0.25,24.997,21.308
1517900079.46,69997.035,-0.25,24.999,21.297
1517900080.46,69997.051,-0.02,25.002,21.308
1517900081.46,69997.051,-0.02,25.0,21.34
1517900082.46,69997.051,-0.02,25.002,21.329
1517900083.46,69997.091,0.55,24.999,21.319
1517900084.46,69997.091,0.55,25.001,21.308
1517900085.46,69997.091,0.55,24.999,21.319
1517900086.46,69997.041,-0.17,25.002,21.297
1517900087.46,69997.041,-0.17,25.0,21.297
1517900088.46,69997.041,-0.17,25.001,21.308
1517900089.46,69997.041,-0.17,24.999,21.308
1517900090.46,69997.023,-0.42,25.002,21.308
1517900091.46,69997.023,-0.42,24.999,21.308
1517900092.46,69997.023,-0.42,25.003,21.297
1517900093.46,69997.023,-0.42,24.999,21.297
1517900094.46,69997.023,-0.42,25.001,21.308
1517900095.46,69997.023,-0.42,24.997,21.287
1517900096.46,69997.038,-0.21,25.001,21.319
1517900097.46,69997.038,-0.21,24.997,21.308
1517900098.46,69997.038,-0.21,25.001,21.329
1517900099.46,69997.038,-0.21,25.0,21.319
1517900100.46,69997.068,0.22,25.003,21.287
1517900101.47,69997.068,0.22,25.001,21.308
1517900102.47,69997.068,0.22,25.002,21.308
1517900103.46,69997.091,0.55,24.998,21.319
1517900104.46,69997.091,0.55,24.998,21.308
1517900105.46,69997.091,0.55,24.996,21.287
1517900106.46,69997.041,-0.17,24.997,21.297
1517900107.46,69997.041,-0.17,24.996,21.297
1517900108.47,69997.041,-0.17,25.001,21.308
1517900109.47,69997.041,-0.17,24.999,21.297
1517900110.47,69997.053,0.01,25.002,21.287
1517900111.47,69997.053,0.01,25.0,21.297
1517900112.46,69997.053,0.01,25.001,21.297
1517900113.47,69997.038,-0.21,24.997,21.297
1517900114.47,69997.038,-0.21,24.998,21.308
1517900115.47,69997.038,-0.21,24.995,21.319
1517900116.47,69997.002,-0.72,24.998,21.287
1517900117.47,69997.002,-0.72,24.996,21.297
1517900118.47,69997.002,-0.72,25.001,21.297
1517900119.47,69997.002,-0.72,24.998,21.329
1517900120.47,69997.066,0.19,25.001,21.297
1517900121.47,69997.066,0.19,24.999,21.287
